layer_from,node_from,layer_to,node_to,weight,directed
2012,Rubus_ulmifolius,2012,Cyanistes_caeruleus,1,
2012,Ficus_carica,2012,Erithacus_rubecula,2,
2012,Olea_europaea,2012,Erithacus_rubecula,1,
2012,Pistacia_lentiscus,2012,Erithacus_rubecula,9,
2012,Rhamnus_alaternus,2012,Erithacus_rubecula,4,
2012,Rubus_ulmifolius,2012,Erithacus_rubecula,10,
2012,Phytolacca_americana,2012,Ficedula_hypoleuca,2,
2012,Pistacia_lentiscus,2012,Ficedula_hypoleuca,5,
2012,Rhamnus_alaternus,2012,Ficedula_hypoleuca,7,
2012,Rubus_ulmifolius,2012,Ficedula_hypoleuca,9,
2012,Smilax_aspera,2012,Ficedula_hypoleuca,3,
2012,Solanum_nigrum,2012,Ficedula_hypoleuca,1,
2012,Arbutus_unedo,2012,Sylvia_atricapilla,1,
2012,Ficus_carica,2012,Sylvia_atricapilla,8,
2012,Pistacia_lentiscus,2012,Sylvia_atricapilla,5,
2012,Rhamnus_alaternus,2012,Sylvia_atricapilla,16,
2012,Rubus_ulmifolius,2012,Sylvia_atricapilla,2,
2012,Smilax_aspera,2012,Sylvia_atricapilla,5,
2012,Solanum_nigrum,2012,Sylvia_atricapilla,5,
2012,Vitis_vinifera,2012,Sylvia_atricapilla,3,
2012,Daphne_gnidium,2012,Sylvia_borin,1,
2012,Ficus_carica,2012,Sylvia_borin,15,
2012,Pistacia_lentiscus,2012,Sylvia_borin,6,
2012,Rhamnus_alaternus,2012,Sylvia_borin,21,
2012,Rubus_ulmifolius,2012,Sylvia_borin,6,
2012,Smilax_aspera,2012,Sylvia_borin,1,
2012,Vitis_vinifera,2012,Sylvia_borin,1,
2012,Rhamnus_alaternus,2012,Sylvia_communis,1,
2012,Rubus_ulmifolius,2012,Sylvia_communis,1,
2012,Daphne_gnidium,2012,Sylvia_melanocephala,1,
2012,Pistacia_lentiscus,2012,Sylvia_melanocephala,11,
2012,Rhamnus_alaternus,2012,Sylvia_melanocephala,5,
2012,Rubia_peregrina,2012,Sylvia_melanocephala,2,
2012,Rubus_ulmifolius,2012,Sylvia_melanocephala,3,
2012,Ficus_carica,2012,Turdus_merula,5,
2012,Rhamnus_alaternus,2012,Turdus_merula,1,
2012,Rubus_ulmifolius,2012,Turdus_merula,1,
2012,Vitis_vinifera,2012,Turdus_merula,5,
2013,Ficus_carica,2013,Cyanistes_caeruleus,2,
2013,Phillyrea_latifolia,2013,Erithacus_rubecula,2,
2013,Rubus_ulmifolius,2013,Erithacus_rubecula,6,
2013,Vitis_vinifera,2013,Erithacus_rubecula,2,
2013,Ficus_carica,2013,Ficedula_hypoleuca,1,
2013,Phillyrea_latifolia,2013,Ficedula_hypoleuca,1,
2013,Rhamnus_alaternus,2013,Ficedula_hypoleuca,1,
2013,Rubus_ulmifolius,2013,Ficedula_hypoleuca,2,
2013,Ficus_carica,2013,Sylvia_atricapilla,13,
2013,Lonicera_periclymenum,2013,Sylvia_atricapilla,3,
2013,Phillyrea_latifolia,2013,Sylvia_atricapilla,2,
2013,Rhamnus_alaternus,2013,Sylvia_atricapilla,2,
2013,Rubus_ulmifolius,2013,Sylvia_atricapilla,2,
2013,Smilax_aspera,2013,Sylvia_atricapilla,1,
2013,Vitis_vinifera,2013,Sylvia_atricapilla,5,
2013,Ficus_carica,2013,Sylvia_borin,8,
2013,Rhamnus_alaternus,2013,Sylvia_borin,4,
2013,Rubus_ulmifolius,2013,Sylvia_borin,3,
2013,Solanum_nigrum,2013,Sylvia_borin,1,
2013,Ficus_carica,2013,Sylvia_melanocephala,1,
2013,Rhamnus_alaternus,2013,Sylvia_melanocephala,2,
2013,Ficus_carica,2013,Turdus_merula,1,
2013,Vitis_vinifera,2013,Turdus_merula,4,
2014,Rubus_ulmifolius,2014,Cyanistes_caeruleus,1,
2014,Ficus_carica,2014,Dendrocopos_major,2,
2014,Pistacia_lentiscus,2014,Erithacus_rubecula,7,
2014,Rhamnus_alaternus,2014,Erithacus_rubecula,1,
2014,Rubia_peregrina,2014,Erithacus_rubecula,1,
2014,Rubus_ulmifolius,2014,Erithacus_rubecula,1,
2014,Smilax_aspera,2014,Erithacus_rubecula,2,
2014,Viburnum_tinus,2014,Erithacus_rubecula,2,
2014,Vitis_vinifera,2014,Erithacus_rubecula,1,
2014,Pistacia_lentiscus,2014,Ficedula_hypoleuca,6,
2014,Rubus_ulmifolius,2014,Ficedula_hypoleuca,1,
2014,Smilax_aspera,2014,Ficedula_hypoleuca,1,
2014,Viburnum_tinus,2014,Ficedula_hypoleuca,1,
2014,Viburnum_tinus,2014,Muscicapa_striata,1,
2014,Arbutus_unedo,2014,Sylvia_atricapilla,3,
2014,Ficus_carica,2014,Sylvia_atricapilla,9,
2014,Pistacia_lentiscus,2014,Sylvia_atricapilla,14,
2014,Rhamnus_alaternus,2014,Sylvia_atricapilla,2,
2014,Rubia_peregrina,2014,Sylvia_atricapilla,3,
2014,Smilax_aspera,2014,Sylvia_atricapilla,9,
2014,Solanum_nigrum,2014,Sylvia_atricapilla,1,
2014,Viburnum_tinus,2014,Sylvia_atricapilla,1,
2014,Arbutus_unedo,2014,Sylvia_borin,1,
2014,Ficus_carica,2014,Sylvia_borin,5,
2014,Pistacia_lentiscus,2014,Sylvia_borin,5,
2014,Rhamnus_alaternus,2014,Sylvia_borin,4,
2014,Smilax_aspera,2014,Sylvia_borin,1,
2014,Pistacia_lentiscus,2014,Sylvia_communis,2,
2014,Rubia_peregrina,2014,Sylvia_communis,1,
2014,Arbutus_unedo,2014,Sylvia_melanocephala,1,
2014,Daphne_gnidium,2014,Sylvia_melanocephala,1,
2014,Phillyrea_latifolia,2014,Sylvia_melanocephala,1,
2014,Pistacia_lentiscus,2014,Sylvia_melanocephala,13,
2014,Rhamnus_alaternus,2014,Sylvia_melanocephala,3,
