node_name,node_type,group,n_years,interaction_richness,interaction_frequency,degree,strength,d_specialisation,versatility
Cyanistes_caeruleus,bird,resident,5,1,1,1,0.0303,0.1275,0.177277
Erithacus_rubecula,bird,partialmigratory,5,5,26,5,1.6924,0.1916,0.622956
Ficedula_hypoleuca,bird,migratory,5,6,27,6,2.0389,0.1906,0.406447
Sylvia_atricapilla,bird,partialmigratory,5,8,45,8,3.4793,0.1546,1
Sylvia_borin,bird,migratory,5,7,51,7,1.9525,0.1261,0.80175
Sylvia_communis,bird,migratory,4,2,2,2,0.0485,0.0115,0.269776
Sylvia_melanocephala,bird,resident,5,5,22,5,1.9874,0.2829,0.506431
Turdus_merula,bird,resident,5,4,12,4,0.7707,0.3883,0.423721
Arbutus_unedo,plant,,5,1,1,1,0.0222,0.0318,0.256622
Daphne_gnidium,plant,,3,2,2,2,0.0651,0.0925,0.247103
Ficus_carica,plant,,5,4,30,4,0.9655,0.2305,0.892827
Olea_europaea,plant,,2,1,1,1,0.0385,0.1714,0.312945
Phytolacca_americana,plant,,2,1,2,1,0.0741,0.3273,0.261633
Pistacia_lentiscus,plant,,4,5,36,5,1.2601,0.1557,0.878505
Rhamnus_alaternus,plant,,5,7,55,7,1.991,0.0577,1
Rubia_peregrina,plant,,3,1,2,1,0.0909,0.3803,0.265003
Rubus_ulmifolius,plant,,5,8,33,8,2.5997,0.1565,0.847004
Smilax_aspera,plant,,5,3,9,3,0.2418,0.1991,0.476281
Solanum_nigrum,plant,,4,2,6,2,0.1481,0.2834,0.288725
Vitis_vinifera,plant,,5,3,9,3,0.5029,0.3881,0.467201
Lonicera_periclymenum,plant,,3,1,3,1,0.1071,0.203,0.218451
Phillyrea_latifolia,plant,,4,3,5,3,0.4714,0.1552,0.325987
Dendrocopos_major,bird,resident,3,1,2,1,0.1176,0.3655,0.246215
Muscicapa_striata,bird,migratory,4,1,1,1,0.2,0.5886,0.21341
Sylvia_undata,bird,resident,2,1,2,1,0.04,0.0456,0.2168
Viburnum_tinus,plant,,5,4,5,4,1.2683,0.3159,0.282932
Chloris_chloris,bird,resident,4,1,1,1,0.0222,,0.251466
Phillyrea_angustifolia,plant,,1,1,1,1,0.0147,,0.273921
Crataegus_monogyna,plant,,5,1,1,1,0.0455,,0.319005
