layer_from,node_from,layer_to,node_to,weight
Fuerteventura,Euphorbia.balsamifera..f.,Fuerteventura,Araneae_sp._1,0.007463
Fuerteventura,Euphorbia.balsamifera..f.,Fuerteventura,Aulacoderus_canariensis,0.044776
Fuerteventura,Euphorbia.balsamifera..f.,Fuerteventura,Chrysomya_albiceps,0.022388
Fuerteventura,Euphorbia.balsamifera..f.,Fuerteventura,Musca_osiris,0.007463
Fuerteventura,Euphorbia.balsamifera..f.,Fuerteventura,Plagiolepis_schmitzii,0.798507
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Aphthona_wachnitzae,0.0347
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Attalus_olivensis,0.044164
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Aulacoderus_canariensis,0.056782
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Cecidomyiidae_sp.,0.003155
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Chloropidae_sp._2,0.003155
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Lucilia_sericata,0.022082
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Milichiidae_sp.,0.003155
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Nyctia_lugubris,0.003155
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Phyto_nigrobarbata,0.003155
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Plagiolepis_schmitzii,0.451104
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Sarcophagidae_sp._5,0.056782
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Scaptomyza_sp._2,0.003155
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Sciaridae_sp.,0.025237
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Tachyagetes_aemulans,0.003155
Fuerteventura,Euphorbia.balsamifera..m.,Fuerteventura,Thysanoptera_sp._1,0.233438
Fuerteventura,Helianthemum.canariensis,Fuerteventura,Dischistus_atlanticus,0.076923
Fuerteventura,Helianthemum.canariensis,Fuerteventura,Sarcophagidae_sp._4,0.153846
Fuerteventura,Helianthemum.canariensis,Fuerteventura,Thysanoptera_sp._2,0.692308
Fuerteventura,Launaea.arborescens,Fuerteventura,Anaspis_proteus,0.021978
Fuerteventura,Launaea.arborescens,Fuerteventura,Anthophora_alluaudi,0.032967
Fuerteventura,Launaea.arborescens,Fuerteventura,Aphthona_wachnitzae,0.010989
Fuerteventura,Launaea.arborescens,Fuerteventura,Attagenus_abbreviatus,0.010989
Fuerteventura,Launaea.arborescens,Fuerteventura,Attalus_olivensis,0.032967
Fuerteventura,Launaea.arborescens,Fuerteventura,Aulacoderus_canariensis,0.043956
Fuerteventura,Launaea.arborescens,Fuerteventura,Campiglossa_martii,0.043956
Fuerteventura,Launaea.arborescens,Fuerteventura,Camponotus_cfr._feae,0.021978
Fuerteventura,Launaea.arborescens,Fuerteventura,Cephalodromia_sp.,0.010989
Fuerteventura,Launaea.arborescens,Fuerteventura,Dasytes_lanzarotensis,0.065934
Fuerteventura,Launaea.arborescens,Fuerteventura,Dischistus_atlanticus,0.010989
Fuerteventura,Launaea.arborescens,Fuerteventura,Eurytoma_sp._2,0.010989
Fuerteventura,Launaea.arborescens,Fuerteventura,Lasioglossum_loetum,0.010989
Fuerteventura,Launaea.arborescens,Fuerteventura,Lucilia_sericata,0.098901
Fuerteventura,Launaea.arborescens,Fuerteventura,Paragus_tibialis,0.010989
Fuerteventura,Launaea.arborescens,Fuerteventura,Plagiolepis_schmitzii,0.131868
Fuerteventura,Launaea.arborescens,Fuerteventura,Proconura_sp._2,0.010989
Fuerteventura,Launaea.arborescens,Fuerteventura,Pteromalus_sp._2,0.087912
Fuerteventura,Launaea.arborescens,Fuerteventura,Sarcophagidae_sp._6,0.021978
Fuerteventura,Launaea.arborescens,Fuerteventura,Sciaridae_sp.,0.076923
Fuerteventura,Launaea.arborescens,Fuerteventura,Thysanoptera_sp._2,0.021978
Fuerteventura,Launaea.arborescens,Fuerteventura,Urelliosoma_guimari,0.043956
Fuerteventura,Lycium.intricatum,Fuerteventura,Anthophora_alluaudi,0.423077
Fuerteventura,Lycium.intricatum,Fuerteventura,Camponotus_cfr._feae,0.038462
Fuerteventura,Lycium.intricatum,Fuerteventura,Camponotus_feae,0.038462
Fuerteventura,Lycium.intricatum,Fuerteventura,Thysanoptera_sp._1,0.076923
Fuerteventura,Lycium.intricatum,Fuerteventura,Thysanoptera_sp._2,0.038462
Fuerteventura,Lycium.intricatum,Fuerteventura,Thysanoptera_sp._4,0.038462
Fuerteventura,Phagnalon.purpurascens,Fuerteventura,Tetramesa_sp.,0.166667
Fuerteventura,Salvia.aegyptiaca,Fuerteventura,Anthophora_alluaudi,0.25
Fuerteventura,Salvia.aegyptiaca,Fuerteventura,Chetogena_acuminata,0.25
Fuerteventura,Salvia.aegyptiaca,Fuerteventura,Sarcophagidae_sp._4,0.5
Fuerteventura,Euphorbia.balsamifera..f.,Fuerteventura,Aphthona_wachnitzae,0.007463
Fuerteventura,Euphorbia.balsamifera..f.,Fuerteventura,Blaesoxipha_sp._1,0.029851
