"node_id","attribute","value"
1,"node_name","Achnanthes_spp."
1,"type","taxon"
1,"taxonomy_name","Achnanthes"
1,"taxonomy_rank","genus"
1,"taxa_verified","TRUE"
1,"verification_level","genus"
2,"node_name","Amphora_ovalis"
2,"type","taxon"
2,"taxonomy_name","Amphora ovalis"
2,"taxonomy_rank","species"
2,"taxa_verified","TRUE"
2,"verification_level","species"
3,"node_name","bryophyte"
3,"type","taxon"
3,"taxonomy_name","Bryophyta"
3,"taxonomy_rank","phylum"
3,"taxa_verified","TRUE"
3,"verification_level","clade"
4,"node_name","Cocconeis_sp."
4,"type","taxon"
4,"taxonomy_name","Cocconeis"
4,"taxonomy_rank","genus"
4,"taxa_verified","TRUE"
4,"verification_level","genus"
5,"node_name","Cymbella_spp."
5,"type","taxon"
5,"taxonomy_name","Cymbella"
5,"taxonomy_rank","genus"
5,"taxa_verified","TRUE"
5,"verification_level","genus"
6,"node_name","Diatoma_spp."
6,"type","taxon"
6,"taxonomy_name","Diatoma"
6,"taxonomy_rank","genus"
6,"taxa_verified","TRUE"
6,"verification_level","genus"
7,"node_name","Fragilaria_vaucheriae"
7,"type","taxon"
7,"taxonomy_name","Fragilaria vaucheriae"
7,"taxonomy_rank","species"
7,"taxa_verified","TRUE"
7,"verification_level","species"
8,"node_name","Gomphonema_angustatum"
8,"type","taxon"
8,"taxonomy_name","Gomphonema angustatum"
8,"taxonomy_rank","species"
8,"taxa_verified","TRUE"
8,"verification_level","species"
9,"node_name","Meridion_circulare"
9,"type","taxon"
9,"taxonomy_name","Meridion circulare"
9,"taxonomy_rank","species"
9,"taxa_verified","FALSE"
10,"node_name","Navicula_radiosa_v._tenella"
10,"type","taxon"
10,"taxonomy_name","Navicula radiosa"
10,"taxonomy_rank","species"
10,"taxa_verified","TRUE"
10,"verification_level","species"
11,"node_name","Staurosirella_leptostauron"
11,"type","taxon"
11,"taxonomy_name","Staurosirella leptostauron"
11,"taxonomy_rank","species"
11,"taxa_verified","FALSE"
12,"node_name","Synedra_ulna"
12,"type","taxon"
12,"taxonomy_name","Synedra ulna"
12,"taxonomy_rank","species"
12,"taxa_verified","TRUE"
12,"verification_level","species"
13,"node_name","Didymosphenia_geminata"
13,"type","taxon"
13,"taxonomy_name","Didymosphenia geminata"
13,"taxonomy_rank","species"
13,"taxa_verified","TRUE"
13,"verification_level","species"
14,"node_name","Hannaea_arcus"
14,"type","taxon"
14,"taxonomy_name","Hannaea arcus"
14,"taxonomy_rank","species"
14,"taxa_verified","FALSE"
15,"node_name","Zapada"
15,"type","taxon"
15,"taxonomy_name","Zapada"
15,"taxonomy_rank","genus"
15,"taxa_verified","TRUE"
15,"verification_level","genus"
16,"node_name","Baetis"
16,"type","taxon"
16,"taxonomy_name","Baetis"
16,"taxonomy_rank","genus"
16,"taxa_verified","TRUE"
16,"verification_level","genus"
17,"node_name","Ecclisiomyia"
17,"type","taxon"
17,"taxonomy_name","Ecclisomyia"
17,"taxonomy_rank","genus"
17,"taxa_verified","TRUE"
17,"verification_level","genus"
18,"node_name","Isoperla"
18,"type","taxon"
18,"taxonomy_name","Isoperla"
18,"taxonomy_rank","genus"
18,"taxa_verified","TRUE"
18,"verification_level","genus"
19,"node_name","Prosimulium"
19,"type","taxon"
19,"taxonomy_name","Prosimulium"
19,"taxonomy_rank","genus"
19,"taxa_verified","TRUE"
19,"verification_level","genus"
20,"node_name","Salvelinus_malma"
20,"type","taxon"
20,"taxonomy_name","Salvelinus malma"
20,"taxonomy_rank","species"
20,"taxa_verified","TRUE"
20,"verification_level","species"
21,"node_name","Chlorophyta_filament"
21,"type","taxon"
21,"taxonomy_name","Chlorophyta"
21,"taxonomy_rank","phylum"
21,"taxa_verified","TRUE"
21,"verification_level","phylum"
22,"node_name","Eukiefferiella"
22,"type","taxon"
22,"taxonomy_name","Eukiefferiella"
22,"taxonomy_rank","genus"
22,"taxa_verified","TRUE"
22,"verification_level","genus"
23,"node_name","Hydrurus_foetidus"
23,"type","taxon"
23,"taxonomy_name","Hydrurus foetidus"
23,"taxonomy_rank",NA
23,"taxa_verified","TRUE"
23,"verification_level","species"
24,"node_name","Orthocladiinae"
24,"type","taxon"
24,"taxonomy_name","Orthocladiinae"
24,"taxonomy_rank",NA
24,"taxa_verified","TRUE"
24,"verification_level","subfamily"
25,"node_name","Rheocricotopus"
25,"type","taxon"
25,"taxonomy_name","Rheocricotopus"
25,"taxonomy_rank","genus"
25,"taxa_verified","TRUE"
25,"verification_level","genus"
26,"node_name","amorphous_detritus"
26,"type","taxon"
26,"taxonomy_name",NA
26,"taxonomy_rank",NA
26,"taxa_verified","FALSE"
27,"node_name","Tanytarsini"
27,"type","taxon"
27,"taxonomy_name","Tanytarsini"
27,"taxonomy_rank",NA
27,"taxa_verified","TRUE"
27,"verification_level","tribe"
28,"node_name","Thienemanniella"
28,"type","taxon"
28,"taxonomy_name","Thienemanniella"
28,"taxonomy_rank","genus"
28,"taxa_verified","TRUE"
28,"verification_level","genus"
29,"node_name","Eunotia_sp."
29,"type","taxon"
29,"taxonomy_name","Eunotia"
29,"taxonomy_rank","genus"
29,"taxa_verified","TRUE"
29,"verification_level","genus"
30,"node_name","Ceratopogonidae"
30,"type","taxon"
30,"taxonomy_name","Ceratopogonidae"
30,"taxonomy_rank","family"
30,"taxa_verified","TRUE"
30,"verification_level","family"
31,"node_name","Chelifera"
31,"type","taxon"
31,"taxonomy_name","Chelifera"
31,"taxonomy_rank","genus"
31,"taxa_verified","TRUE"
31,"verification_level","genus"
32,"node_name","Diamesa"
32,"type","taxon"
32,"taxonomy_name","Diamesa"
32,"taxonomy_rank","genus"
32,"taxa_verified","TRUE"
32,"verification_level","genus"
33,"node_name","Dixa"
33,"type","taxon"
33,"taxonomy_name","Dixa"
33,"taxonomy_rank","genus"
33,"taxa_verified","TRUE"
33,"verification_level","genus"
