"node_id","attribute","value"
1,"node_name","Achnanthes_minutissima"
1,"type","taxon"
1,"taxonomy_name","Achnanthes minutissima"
1,"taxonomy_rank","species"
1,"taxa_verified","TRUE"
1,"verification_level","species"
2,"node_name","Frustulia_rhomboides"
2,"type","taxon"
2,"taxonomy_name","Frustulia rhomboides"
2,"taxonomy_rank","species"
2,"taxa_verified","TRUE"
2,"verification_level","species"
3,"node_name","Navicula_avenacea"
3,"type","taxon"
3,"taxonomy_name","Navicula avenacea"
3,"taxonomy_rank","species"
3,"taxa_verified","FALSE"
4,"node_name","Achnanthes_linearis"
4,"type","taxon"
4,"taxonomy_name","Rossithidium linearis"
4,"taxonomy_rank","species"
4,"taxa_verified","FALSE"
5,"node_name","Rhoicosphenia_curvata"
5,"type","taxon"
5,"taxonomy_name","Rhoicosphenia curvata"
5,"taxonomy_rank","species"
5,"taxa_verified","FALSE"
6,"node_name","Oligochaeta_type_II"
6,"type","taxon"
6,"taxonomy_name","Oligochaeta"
6,"taxonomy_rank","genus"
6,"taxa_verified","TRUE"
6,"verification_level","genus"
7,"node_name","Unknown_green_algal_cells"
7,"type","taxon"
7,"taxonomy_name","Archanara algae"
7,"taxonomy_rank","species"
7,"taxa_verified","FALSE"
8,"node_name","Pirara_matakiri_(Boothroyd_and_Cranston)"
8,"type","taxon"
8,"taxonomy_name","Pirara matakiri"
8,"taxonomy_rank","species"
8,"taxa_verified","TRUE"
8,"verification_level","species"
9,"node_name","pras"
9,"type","taxon"
9,"taxonomy_name","Pras"
9,"taxonomy_rank",NA
9,"taxa_verified","FALSE"
10,"node_name","Nitzschia_linearis"
10,"type","taxon"
10,"taxonomy_name","Nitzschia linearis"
10,"taxonomy_rank","species"
10,"taxa_verified","TRUE"
10,"verification_level","species"
11,"node_name","Gomphonema_subclavatum"
11,"type","taxon"
11,"taxonomy_name","Gomphonema subclavatum"
11,"taxonomy_rank","species"
11,"taxa_verified","TRUE"
11,"verification_level","species"
12,"node_name","Sphaerium_spp."
12,"type","taxon"
12,"taxonomy_name","Sphaerium"
12,"taxonomy_rank","genus"
12,"taxa_verified","TRUE"
12,"verification_level","genus"
13,"node_name","Gomphonema_truncatum"
13,"type","taxon"
13,"taxonomy_name","Gomphonema truncatum"
13,"taxonomy_rank","species"
13,"taxa_verified","TRUE"
13,"verification_level","species"
14,"node_name","Achnanthes_inflata"
14,"type","taxon"
14,"taxonomy_name","Achnanthes inflata"
14,"taxonomy_rank","species"
14,"taxa_verified","TRUE"
14,"verification_level","species"
15,"node_name","Gomphonema_parvulum"
15,"type","taxon"
15,"taxonomy_name","Gomphonema parvulum"
15,"taxonomy_rank","species"
15,"taxa_verified","TRUE"
15,"verification_level","species"
