interaction_id,attribute,value
1,node_from,primary_carnivores
1,layer_from,1
1,node_to,Oikopleura
1,layer_to,1
1,weight,1
1,type,predation
2,node_from,primary_carnivores
2,layer_from,1
2,node_to,II-III_copepodites
2,layer_to,1
2,weight,1
2,type,predation
3,node_from,primary_carnivores
3,layer_from,1
3,node_to,IV-VI_copepodites_of_Paracalanus
3,layer_to,1
3,weight,1
3,type,predation
4,node_from,primary_carnivores
4,layer_from,1
4,node_to,naupliuses
4,layer_to,1
4,weight,1
4,type,predation
5,node_from,primary_carnivores
5,layer_from,1
5,node_to,mixed-food_consumers
5,layer_to,1
5,weight,1
5,type,predation
6,node_from,Oikopleura
6,layer_from,1
6,node_to,phytoplankton
6,layer_to,1
6,weight,1
6,type,herbivory
7,node_from,Oikopleura
7,layer_from,1
7,node_to,saprophagous_plankton
7,layer_to,1
7,weight,1
7,type,predation
8,node_from,II-III_copepodites
8,layer_from,1
8,node_to,phytoplankton
8,layer_to,1
8,weight,1
8,type,herbivory
9,node_from,II-III_copepodites
9,layer_from,1
9,node_to,saprophagous_plankton
9,layer_to,1
9,weight,1
9,type,predation
10,node_from,II-III_copepodites
10,layer_from,1
10,node_to,large-sized_phytoplankton
10,layer_to,1
10,weight,1
10,type,herbivory
11,node_from,IV-VI_copepodites_of_Paracalanus
11,layer_from,1
11,node_to,phytoplankton
11,layer_to,1
11,weight,1
11,type,herbivory
12,node_from,larvae_of_molluscs_and_polychaetes
12,layer_from,1
12,node_to,phytoplankton
12,layer_to,1
12,weight,1
12,type,herbivory
13,node_from,larvae_of_molluscs_and_polychaetes
13,layer_from,1
13,node_to,saprophagous_plankton
13,layer_to,1
13,weight,1
13,type,predation
14,node_from,larvae_of_molluscs_and_polychaetes
14,layer_from,1
14,node_to,large-sized_phytoplankton
14,layer_to,1
14,weight,1
14,type,herbivory
15,node_from,naupliuses
15,layer_from,1
15,node_to,phytoplankton
15,layer_to,1
15,weight,1
15,type,herbivory
16,node_from,naupliuses
16,layer_from,1
16,node_to,saprophagous_plankton
16,layer_to,1
16,weight,1
16,type,predation
17,node_from,naupliuses
17,layer_from,1
17,node_to,large-sized_phytoplankton
17,layer_to,1
17,weight,1
17,type,herbivory
18,node_from,IV-VI_copepodites_of_Calanus_and_Pseudocalanus
18,layer_from,1
18,node_to,phytoplankton
18,layer_to,1
18,weight,1
18,type,herbivory
19,node_from,IV-VI_copepodites_of_Calanus_and_Pseudocalanus
19,layer_from,1
19,node_to,saprophagous_plankton
19,layer_to,1
19,weight,1
19,type,predation
20,node_from,IV-VI_copepodites_of_Calanus_and_Pseudocalanus
20,layer_from,1
20,node_to,large-sized_phytoplankton
20,layer_to,1
20,weight,1
20,type,herbivory
21,node_from,mixed-food_consumers
21,layer_from,1
21,node_to,phytoplankton
21,layer_to,1
21,weight,1
21,type,herbivory
22,node_from,mixed-food_consumers
22,layer_from,1
22,node_to,saprophagous_plankton
22,layer_to,1
22,weight,1
22,type,predation
23,node_from,mixed-food_consumers
23,layer_from,1
23,node_to,large-sized_phytoplankton
23,layer_to,1
23,weight,1
23,type,herbivory
24,node_from,mixed-food_consumers
24,layer_from,1
24,node_to,Oikopleura
24,layer_to,1
24,weight,1
24,type,predation
25,node_from,mixed-food_consumers
25,layer_from,1
25,node_to,II-III_copepodites
25,layer_to,1
25,weight,1
25,type,predation
26,node_from,mixed-food_consumers
26,layer_from,1
26,node_to,larvae_of_molluscs_and_polychaetes
26,layer_to,1
26,weight,1
26,type,predation
27,node_from,mixed-food_consumers
27,layer_from,1
27,node_to,naupliuses
27,layer_to,1
27,weight,1
27,type,predation
28,node_from,secondary_carnivores
28,layer_from,1
28,node_to,Oikopleura
28,layer_to,1
28,weight,1
28,type,predation
29,node_from,secondary_carnivores
29,layer_from,1
