"node_id","attribute","value"
1,"node_name","Oikopleura"
1,"type","taxon"
1,"taxonomy_name","Oikopleura"
1,"taxonomy_rank","genus"
1,"taxa_verified","TRUE"
1,"verification_level","genus"
2,"node_name","II-III_copepodites"
2,"type","taxon"
2,"taxonomy_name","Copepoda"
2,"taxonomy_rank",NA
2,"taxa_verified","TRUE"
2,"verification_level","subclass"
3,"node_name","IV-VI_copepodites_of_Paracalanus"
3,"type","taxon"
3,"taxonomy_name","Copepoda"
3,"taxonomy_rank",NA
3,"taxa_verified","TRUE"
3,"verification_level","subclass"
4,"node_name","larvae_of_molluscs_and_polychaetes"
4,"type","taxon"
4,"taxonomy_name","Polychaeta"
4,"taxonomy_rank","class"
4,"taxa_verified","TRUE"
4,"verification_level","class"
5,"node_name","naupliuses"
5,"type","taxon"
5,"taxonomy_name","Aegerita crustacea"
5,"taxonomy_rank","species"
5,"taxa_verified","FALSE"
6,"node_name","IV-VI_copepodites_of_Calanus_and_Pseudocalanus"
6,"type","taxon"
6,"taxonomy_name","Pseudocalanus"
6,"taxonomy_rank","genus"
6,"taxa_verified","TRUE"
6,"verification_level","genus"
7,"node_name","detritus"
7,"type","taxon"
7,"taxonomy_name",NA
7,"taxonomy_rank",NA
7,"taxa_verified","FALSE"
8,"node_name","phytoplankton"
8,"type","taxon"
8,"taxonomy_name",NA
8,"taxonomy_rank",NA
8,"taxa_verified","FALSE"
9,"node_name","saprophagous_plankton"
9,"type","taxon"
9,"taxonomy_name",NA
9,"taxonomy_rank",NA
9,"taxa_verified","FALSE"
10,"node_name","mixed-food_consumers"
10,"type","taxon"
10,"taxonomy_name",NA
10,"taxonomy_rank",NA
10,"taxa_verified","FALSE"
11,"node_name","primary_carnivores"
11,"type","taxon"
11,"taxonomy_name",NA
11,"taxonomy_rank",NA
11,"taxa_verified","FALSE"
12,"node_name","secondary_carnivores"
12,"type","taxon"
12,"taxonomy_name",NA
12,"taxonomy_rank",NA
12,"taxa_verified","FALSE"
13,"node_name","tertiary_carnivores"
13,"type","taxon"
13,"taxonomy_name",NA
13,"taxonomy_rank",NA
13,"taxa_verified","FALSE"
14,"node_name","large-sized_phytoplankton"
14,"type","taxon"
14,"taxonomy_name",NA
14,"taxonomy_rank",NA
14,"taxa_verified","FALSE"
