node_id,attribute,value
1,node_name,Ajuga_reptans
1,taxa_verified,TRUE
1,verification_level,species
2,node_name,Alliaria_petiolata
2,taxa_verified,TRUE
2,verification_level,species
3,node_name,Anthriscus_sylvestris
3,taxa_verified,TRUE
3,verification_level,species
4,node_name,Bellis_perennis
4,taxa_verified,TRUE
4,verification_level,species
5,node_name,Brassica_napus
5,taxa_verified,TRUE
5,verification_level,species
6,node_name,Capsella_bursa_pastoris
6,taxa_verified,TRUE
6,verification_level,species
7,node_name,Cerastium_fontanum
7,taxa_verified,TRUE
7,verification_level,species
8,node_name,Chaerophyllum_temulum
8,taxa_verified,TRUE
8,verification_level,species
9,node_name,Cirsium_arvense
9,taxa_verified,TRUE
9,verification_level,species
10,node_name,Cirsium_vulgare
10,taxa_verified,TRUE
10,verification_level,species
11,node_name,Conolvulus_Calystegia
11,taxa_verified,FALSE
11,verification_level,NA
12,node_name,Cornus_sanguinea
12,taxa_verified,TRUE
12,verification_level,species
13,node_name,Crataegus_monogyna
13,taxa_verified,TRUE
13,verification_level,species
14,node_name,Galium_aparine
14,taxa_verified,TRUE
14,verification_level,species
15,node_name,Galium_odoratum
15,taxa_verified,TRUE
15,verification_level,species
16,node_name,Geranium_robertianum
16,taxa_verified,TRUE
16,verification_level,species
17,node_name,Heracleum_sphondylium
17,taxa_verified,TRUE
17,verification_level,species
18,node_name,Lamiastrum_galeobdolon
18,taxa_verified,TRUE
18,verification_level,species
19,node_name,Lamium_album
19,taxa_verified,TRUE
19,verification_level,species
20,node_name,Lapsana_communis
20,taxa_verified,TRUE
20,verification_level,species
21,node_name,Leontodon_autumnalis
21,taxa_verified,TRUE
21,verification_level,species
22,node_name,Ligustrum_vulgare
22,taxa_verified,TRUE
22,verification_level,species
23,node_name,Matricaria_recutita
23,taxa_verified,TRUE
23,verification_level,varietas
24,node_name,Medicago_sativa_ssp__sativa
24,taxa_verified,FALSE
24,verification_level,NA
25,node_name,Mentha_arvensis
25,taxa_verified,TRUE
25,verification_level,species
26,node_name,Myosotis_arvensis
26,taxa_verified,TRUE
26,verification_level,species
27,node_name,Papaver_sp_
27,taxa_verified,TRUE
27,verification_level,genus
28,node_name,Prunus_spinosa
28,taxa_verified,TRUE
28,verification_level,species
29,node_name,Ranunculus_acris
29,taxa_verified,TRUE
29,verification_level,species
30,node_name,Ranunculus_repens
30,taxa_verified,TRUE
30,verification_level,species
31,node_name,Rosa_sp_
31,taxa_verified,TRUE
31,verification_level,genus
32,node_name,Rubus_fruticosus
32,taxa_verified,TRUE
32,verification_level,species
33,node_name,Senacio_jacobaea
33,taxa_verified,FALSE
33,verification_level,NA
34,node_name,Silene_dioica
34,taxa_verified,TRUE
34,verification_level,species
35,node_name,Sinapis_arvensis
35,taxa_verified,TRUE
35,verification_level,species
36,node_name,Sonchus_asper_oleraceus
36,taxa_verified,FALSE
36,verification_level,NA
37,node_name,Spergula_arvensis
37,taxa_verified,TRUE
37,verification_level,species
38,node_name,Stachys_sylvatica
38,taxa_verified,TRUE
38,verification_level,species
39,node_name,Stellaria_graminea
39,taxa_verified,TRUE
39,verification_level,species
40,node_name,Torilis_japonica
40,taxa_verified,TRUE
40,verification_level,species
41,node_name,Trifolium_pratense_repens
41,taxa_verified,FALSE
41,verification_level,NA
42,node_name,Veronica_chamaedrys
42,taxa_verified,TRUE
42,verification_level,species
43,node_name,Veronica_persica
43,taxa_verified,TRUE
43,verification_level,species
44,node_name,Viburnum_lanatum
44,taxa_verified,FALSE
44,verification_level,NA
45,node_name,Vicia_hirsute
45,taxa_verified,FALSE
45,verification_level,NA
46,node_name,Vicia_sativa
46,taxa_verified,TRUE
46,verification_level,species
47,node_name,Vicia_sepium
47,taxa_verified,TRUE
47,verification_level,species
48,node_name,Triticosecale
48,taxa_verified,TRUE
48,verification_level,genus
49,node_name,Aphanes_arvensis
49,taxa_verified,TRUE
49,verification_level,species
50,node_name,Avena_sativa_winter_sown
50,taxa_verified,FALSE
50,verification_level,NA
51,node_name,Corylus_avellana
51,taxa_verified,TRUE
51,verification_level,species
52,node_name,Euonymus_europaeus
52,taxa_verified,TRUE
52,verification_level,species
53,node_name,Matricaria_discoidea
53,taxa_verified,TRUE
53,verification_level,species
54,node_name,Plantago_sp_
54,taxa_verified,TRUE
54,verification_level,genus
55,node_name,Poaceae
55,taxa_verified,TRUE
55,verification_level,family
56,node_name,Rumex_sp_
56,taxa_verified,TRUE
56,verification_level,genus
57,node_name,Scrophularia_auriculata
57,taxa_verified,TRUE
57,verification_level,species
58,node_name,Triticum_aestivum
58,taxa_verified,TRUE
58,verification_level,species
59,node_name,Urtica_dioica
59,taxa_verified,TRUE
59,verification_level,species
60,node_name,Veronica_arvensis
60,taxa_verified,TRUE
60,verification_level,species
61,node_name,Acer_campestre
61,taxa_verified,TRUE
61,verification_level,species
62,node_name,Arctium_minus
62,taxa_verified,TRUE
62,verification_level,species
63,node_name,Avena_sativa_spring_sown
63,taxa_verified,FALSE
63,verification_level,NA
64,node_name,Dipsacus_fullonum
64,taxa_verified,TRUE
64,verification_level,species
65,node_name,Glechoma_hederacea
65,taxa_verified,TRUE
65,verification_level,species
66,node_name,Hordeum_vulgare
66,taxa_verified,TRUE
66,verification_level,species
67,node_name,Lonicera_periclymenum
67,taxa_verified,TRUE
67,verification_level,species
68,node_name,Potentilla_reptans
68,taxa_verified,TRUE
68,verification_level,species
69,node_name,Pulicaria_dysenterica
69,taxa_verified,TRUE
69,verification_level,species
70,node_name,Quercus_robur
70,taxa_verified,TRUE
70,verification_level,species
71,node_name,Ulmus_sp_
71,taxa_verified,TRUE
71,verification_level,genus
72,node_name,Trifolium_dubium
72,taxa_verified,TRUE
72,verification_level,species
73,node_name,Allium_ursinum
73,taxa_verified,TRUE
73,verification_level,species
74,node_name,Cardamine_flexuosa
74,taxa_verified,TRUE
74,verification_level,species
75,node_name,Cardamine_pratensis
75,taxa_verified,TRUE
75,verification_level,species
76,node_name,Chenopodium_sp_
76,taxa_verified,TRUE
76,verification_level,genus
77,node_name,Clematis_vitalba
77,taxa_verified,TRUE
77,verification_level,species
78,node_name,Epilobium_sp_
78,taxa_verified,TRUE
78,verification_level,genus
79,node_name,Euphorbia_helioscopia
79,taxa_verified,TRUE
79,verification_level,species
80,node_name,Fallopia_convolvulus
80,taxa_verified,TRUE
80,verification_level,species
81,node_name,Geranium_dissectum
81,taxa_verified,TRUE
81,verification_level,species
82,node_name,Geum_urbanum
82,taxa_verified,TRUE
82,verification_level,species
83,node_name,Hypochaeris__Crepis_sp_
83,taxa_verified,FALSE
83,verification_level,NA
84,node_name,Lamium_purpureum
84,taxa_verified,TRUE
84,verification_level,species
85,node_name,Mercurialis_perennis
85,taxa_verified,TRUE
85,verification_level,species
86,node_name,Persicaria_sp_
86,taxa_verified,TRUE
86,verification_level,genus
87,node_name,Picris_echioides
87,taxa_verified,TRUE
87,verification_level,species
88,node_name,Polygonum_sp_
88,taxa_verified,TRUE
88,verification_level,genus
89,node_name,Prunella_vulgaris
89,taxa_verified,TRUE
89,verification_level,species
90,node_name,Sambucus_nigra
90,taxa_verified,TRUE
90,verification_level,species
91,node_name,Senacio_vulgaris
91,taxa_verified,FALSE
91,verification_level,NA
92,node_name,Sonchus_arvensis
92,taxa_verified,TRUE
92,verification_level,species
93,node_name,Stellaria_media
93,taxa_verified,TRUE
93,verification_level,species
94,node_name,Taraxacum_officinale
94,taxa_verified,TRUE
94,verification_level,species
95,node_name,Veronica_hederifolia
