node_id,attribute,value
1,node_name,Zooplankton
1,type,organism
1,taxa_verified,FALSE
2,node_name,Chaetobranchopsis_australis
2,type,organism
2,taxa_verified,FALSE
3,node_name,Hemiodus_orthonops
3,type,organism
3,taxa_verified,TRUE
3,verification_level,species
4,node_name,Moenkhausia_spp
4,type,organism
4,taxa_verified,TRUE
4,verification_level,genus
5,node_name,Leporinus_spp
5,type,organism
5,taxa_verified,TRUE
5,verification_level,genus
6,node_name,Trachydoras_paraguayensis
6,type,organism
6,taxa_verified,TRUE
6,verification_level,species
7,node_name,Gymnogeophagus_balzanii
7,type,organism
7,taxa_verified,TRUE
7,verification_level,species
8,node_name,Steindachnerina_spp
8,type,organism
8,taxa_verified,TRUE
8,verification_level,genus
9,node_name,Triportheus_spp
9,type,organism
9,taxa_verified,TRUE
9,verification_level,genus
10,node_name,Pimelodella_spp
10,type,organism
10,taxa_verified,TRUE
10,verification_level,genus
11,node_name,Astyanax_sp
11,type,organism
11,taxa_verified,TRUE
11,verification_level,genus
12,node_name,Tetragonopterus_argenteus
12,type,organism
12,taxa_verified,TRUE
12,verification_level,species
13,node_name,Auchenipterus_nuchalis
13,type,organism
13,taxa_verified,TRUE
13,verification_level,species
14,node_name,Hypophthalmus_edentatus
14,type,organism
14,taxa_verified,TRUE
14,verification_level,species
15,node_name,Pimelodus_spp
15,type,organism
15,taxa_verified,TRUE
15,verification_level,genus
16,node_name,Roeboides_spp
16,type,organism
16,taxa_verified,TRUE
16,verification_level,genus
17,node_name,Schizodon_borellii
17,type,organism
17,taxa_verified,TRUE
17,verification_level,species
18,node_name,Cynopotamus_kincaidi
18,type,organism
18,taxa_verified,TRUE
18,verification_level,species
19,node_name,Serrasalmus_spp
19,type,organism
19,taxa_verified,TRUE
19,verification_level,genus
20,node_name,Acestrorhynchus_pantaneiro
20,type,organism
20,taxa_verified,TRUE
20,verification_level,species
21,node_name,Hoplias_malabaricus
21,type,organism
21,taxa_verified,TRUE
21,verification_level,species
22,node_name,Mammals
22,type,organism
22,taxa_verified,TRUE
22,verification_level,class
23,node_name,Pseudoplatystoma_reticulatum
23,type,organism
23,taxa_verified,TRUE
23,verification_level,species
24,node_name,Pseudoplatystoma_corruscans
24,type,organism
24,taxa_verified,TRUE
24,verification_level,species
25,node_name,Birds
25,type,organism
25,taxa_verified,TRUE
25,verification_level,class
26,node_name,Plagioscion_ternetzi
26,type,organism
26,taxa_verified,TRUE
26,verification_level,species
27,node_name,Caymans
27,type,organism
27,taxa_verified,FALSE
28,node_name,Hemisorubim_platyrhynchos
28,type,organism
28,taxa_verified,TRUE
28,verification_level,species
29,node_name,Aquatic_insects
29,type,organism
29,taxa_verified,FALSE
30,node_name,Terrestrial_insects
30,type,organism
30,taxa_verified,FALSE
31,node_name,Sturisoma_robustum
31,type,organism
31,taxa_verified,TRUE
31,verification_level,species
32,node_name,Hypostomus_spp
32,type,organism
32,taxa_verified,TRUE
32,verification_level,genus
33,node_name,Psectrogaster_curviventris
33,type,organism
33,taxa_verified,TRUE
33,verification_level,species
34,node_name,Loricaria_spp
34,type,organism
34,taxa_verified,TRUE
34,verification_level,genus
35,node_name,Potamorhina_squamoralevis
35,type,organism
35,taxa_verified,TRUE
35,verification_level,species
36,node_name,Loricariichthys_spp
36,type,organism
36,taxa_verified,TRUE
36,verification_level,genus
37,node_name,Curimatella_dorsalis
37,type,organism
37,taxa_verified,TRUE
37,verification_level,species
38,node_name,Curimatella_spp
38,type,organism
38,taxa_verified,TRUE
38,verification_level,genus
39,node_name,Pseudoplatystoma_reticulatus
39,type,organism
39,taxa_verified,FALSE
40,node_name,Hypostomus_plecostomus
40,type,organism
40,taxa_verified,TRUE
40,verification_level,species
41,node_name,Phytoplankton
41,type,organism
42,node_name,Detritus
42,type,organism
43,node_name,Import
43,type,organism
44,node_name,Macrophytes
44,type,organism
45,node_name,Detritos
45,type,organism
