interaction_id,attribute,value
1,node_from,Catostomus_catostomus
1,layer_from,1
1,node_to,Diplostomum_spathaceum_(L)
1,layer_to,1
1,weight,83.299999999999997
1,type,host-parasite
1,category,prevalence
2,node_from,Catostomus_catostomus
2,layer_from,1
2,node_to,Glaridacris_catostomi
2,layer_to,1
2,weight,83.299999999999997
2,type,host-parasite
2,category,prevalence
3,node_from,Catostomus_catostomus
3,layer_from,1
3,node_to,Cystidicola_farionis
3,layer_to,1
3,weight,16.699999999999999
3,type,host-parasite
3,category,prevalence
4,node_from,Coregonus_clupeaformis
4,layer_from,1
4,node_to,Discocotyle_sagittata
4,layer_to,1
4,weight,79.400000000000006
4,type,host-parasite
4,category,prevalence
5,node_from,Coregonus_clupeaformis
5,layer_from,1
5,node_to,Crepidostomum_farionis
5,layer_to,1
5,weight,42.899999999999999
5,type,host-parasite
5,category,prevalence
6,node_from,Coregonus_clupeaformis
6,layer_from,1
6,node_to,Diplostomum_spathaceum_(L)
6,layer_to,1
6,weight,96.799999999999997
6,type,host-parasite
6,category,prevalence
7,node_from,Coregonus_clupeaformis
7,layer_from,1
7,node_to,Tetracotyle_sp._(L)
7,layer_to,1
7,weight,84.099999999999994
7,type,host-parasite
7,category,prevalence
8,node_from,Coregonus_clupeaformis
8,layer_from,1
8,node_to,Cyathocephalus_truncatus
8,layer_to,1
8,weight,34.899999999999999
8,type,host-parasite
8,category,prevalence
9,node_from,Coregonus_clupeaformis
9,layer_from,1
9,node_to,Diphyllobothrium_sp._(L)
9,layer_to,1
9,weight,47.600000000000001
9,type,host-parasite
9,category,prevalence
10,node_from,Coregonus_clupeaformis
10,layer_from,1
10,node_to,Eubothrium_salvelini
10,layer_to,1
10,weight,12.699999999999999
10,type,host-parasite
10,category,prevalence
11,node_from,Coregonus_clupeaformis
11,layer_from,1
11,node_to,Proteocephalus_tumidocollus
11,layer_to,1
11,weight,80.900000000000006
11,type,host-parasite
11,category,prevalence
12,node_from,Coregonus_clupeaformis
12,layer_from,1
12,node_to,Triaenophorus_crassus_(L)
12,layer_to,1
12,weight,96.799999999999997
12,type,host-parasite
12,category,prevalence
13,node_from,Coregonus_clupeaformis
13,layer_from,1
13,node_to,Cystidicola_farionis
13,layer_to,1
13,weight,76.200000000000003
13,type,host-parasite
13,category,prevalence
14,node_from,Coregonus_clupeaformis
14,layer_from,1
14,node_to,Raphidascaris_acus_(L)
14,layer_to,1
14,weight,9.5
14,type,host-parasite
14,category,prevalence
15,node_from,Coregonus_clupeaformis
15,layer_from,1
15,node_to,Neoechinorhynchus_tumidus
15,layer_to,1
15,weight,95.200000000000003
15,type,host-parasite
15,category,prevalence
16,node_from,Coregonus_clupeaformis
16,layer_from,1
16,node_to,Piscicola_milneri
16,layer_to,1
16,weight,1.6000000000000001
16,type,host-parasite
16,category,prevalence
17,node_from,Coregonus_clupeaformis
17,layer_from,1
17,node_to,Salmincola_extensus
17,layer_to,1
17,weight,4.7999999999999998
17,type,host-parasite
17,category,prevalence
18,node_from,Cottus_cognatus
18,layer_from,1
18,node_to,Dactylogyrus_buddi
18,layer_to,1
18,weight,95.099999999999994
18,type,host-parasite
18,category,prevalence
19,node_from,Cottus_cognatus
19,layer_from,1
19,node_to,Crepidostomum_farionis
19,layer_to,1
19,weight,31.100000000000001
19,type,host-parasite
19,category,prevalence
20,node_from,Cottus_cognatus
20,layer_from,1
20,node_to,Diplostomum_spathaceum_(L)
20,layer_to,1
20,weight,98.400000000000006
20,type,host-parasite
20,category,prevalence
