layer_id,node_id,attribute,value
1,1,node_name,Catostomus catostomus
1,1,sample_size,6
8,1,node_name,Catostomus catostomus
8,1,sample_size,6
2,1,node_name,Catostomus catostomus
2,1,sample_size,12
9,1,node_name,Catostomus catostomus
9,1,sample_size,12
3,1,node_name,Catostomus catostomus
3,1,sample_size,0
4,1,node_name,Catostomus catostomus
4,1,sample_size,49
10,1,node_name,Catostomus catostomus
10,1,sample_size,49
5,1,node_name,Catostomus catostomus
5,1,sample_size,51
11,1,node_name,Catostomus catostomus
11,1,sample_size,51
6,1,node_name,Catostomus catostomus
6,1,sample_size,39
7,1,node_name,Catostomus catostomus
7,1,sample_size,14
12,1,node_name,Catostomus catostomus
12,1,sample_size,14
1,2,node_name,Coregonus clupeaformis
1,2,sample_size,63
8,2,node_name,Coregonus clupeaformis
8,2,sample_size,63
2,2,node_name,Coregonus clupeaformis
2,2,sample_size,836
9,2,node_name,Coregonus clupeaformis
9,2,sample_size,836
3,2,node_name,Coregonus clupeaformis
3,2,sample_size,15
4,2,node_name,Coregonus clupeaformis
4,2,sample_size,0
10,2,node_name,Coregonus clupeaformis
10,2,sample_size,0
5,2,node_name,Coregonus clupeaformis
5,2,sample_size,86
11,2,node_name,Coregonus clupeaformis
11,2,sample_size,86
6,2,node_name,Coregonus clupeaformis
6,2,sample_size,99
7,2,node_name,Coregonus clupeaformis
7,2,sample_size,102
12,2,node_name,Coregonus clupeaformis
12,2,sample_size,102
1,3,node_name,Cottus cognatus
1,3,sample_size,61
8,3,node_name,Cottus cognatus
8,3,sample_size,61
2,3,node_name,Cottus cognatus
2,3,sample_size,0
9,3,node_name,Cottus cognatus
9,3,sample_size,0
3,3,node_name,Cottus cognatus
3,3,sample_size,0
4,3,node_name,Cottus cognatus
4,3,sample_size,23
10,3,node_name,Cottus cognatus
10,3,sample_size,23
5,3,node_name,Cottus cognatus
5,3,sample_size,29
11,3,node_name,Cottus cognatus
11,3,sample_size,29
6,3,node_name,Cottus cognatus
6,3,sample_size,0
7,3,node_name,Cottus cognatus
7,3,sample_size,0
12,3,node_name,Cottus cognatus
12,3,sample_size,0
1,4,node_name,Esox lucius
1,4,sample_size,14
8,4,node_name,Esox lucius
8,4,sample_size,14
2,4,node_name,Esox lucius
2,4,sample_size,62
9,4,node_name,Esox lucius
9,4,sample_size,62
3,4,node_name,Esox lucius
3,4,sample_size,23
4,4,node_name,Esox lucius
4,4,sample_size,0
10,4,node_name,Esox lucius
10,4,sample_size,0
5,4,node_name,Esox lucius
5,4,sample_size,0
11,4,node_name,Esox lucius
11,4,sample_size,0
6,4,node_name,Esox lucius
6,4,sample_size,66
7,4,node_name,Esox lucius
7,4,sample_size,107
12,4,node_name,Esox lucius
12,4,sample_size,107
1,5,node_name,Prosopium cylindraceum
1,5,sample_size,57
8,5,node_name,Prosopium cylindraceum
8,5,sample_size,57
2,5,node_name,Prosopium cylindraceum
2,5,sample_size,0
9,5,node_name,Prosopium cylindraceum
9,5,sample_size,0
3,5,node_name,Prosopium cylindraceum
3,5,sample_size,0
4,5,node_name,Prosopium cylindraceum
4,5,sample_size,0
10,5,node_name,Prosopium cylindraceum
10,5,sample_size,0
5,5,node_name,Prosopium cylindraceum
5,5,sample_size,0
11,5,node_name,Prosopium cylindraceum
11,5,sample_size,0
6,5,node_name,Prosopium cylindraceum
6,5,sample_size,22
7,5,node_name,Prosopium cylindraceum
7,5,sample_size,0
12,5,node_name,Prosopium cylindraceum
12,5,sample_size,0
1,6,node_name,Salvelinus namaycush
1,6,sample_size,61
8,6,node_name,Salvelinus namaycush
8,6,sample_size,61
2,6,node_name,Salvelinus namaycush
2,6,sample_size,35
9,6,node_name,Salvelinus namaycush
9,6,sample_size,35
3,6,node_name,Salvelinus namaycush
3,6,sample_size,7
4,6,node_name,Salvelinus namaycush
4,6,sample_size,13
10,6,node_name,Salvelinus namaycush
10,6,sample_size,13
5,6,node_name,Salvelinus namaycush
5,6,sample_size,24
11,6,node_name,Salvelinus namaycush
11,6,sample_size,24
6,6,node_name,Salvelinus namaycush
6,6,sample_size,18
7,6,node_name,Salvelinus namaycush
7,6,sample_size,32
12,6,node_name,Salvelinus namaycush
12,6,sample_size,32
1,7,node_name,Thymallus arcticus
1,7,sample_size,44
8,7,node_name,Thymallus arcticus
8,7,sample_size,44
2,7,node_name,Thymallus arcticus
2,7,sample_size,0
9,7,node_name,Thymallus arcticus
9,7,sample_size,0
3,7,node_name,Thymallus arcticus
3,7,sample_size,0
4,7,node_name,Thymallus arcticus
4,7,sample_size,0
10,7,node_name,Thymallus arcticus
10,7,sample_size,0
5,7,node_name,Thymallus arcticus
5,7,sample_size,100
11,7,node_name,Thymallus arcticus
11,7,sample_size,100
6,7,node_name,Thymallus arcticus
6,7,sample_size,0
7,7,node_name,Thymallus arcticus
7,7,sample_size,0
12,7,node_name,Thymallus arcticus
12,7,sample_size,0
1,8,node_name,Coregonus artedii
1,8,sample_size,0
8,8,node_name,Coregonus artedii
8,8,sample_size,0
2,8,node_name,Coregonus artedii
2,8,sample_size,757
9,8,node_name,Coregonus artedii
9,8,sample_size,757
3,8,node_name,Coregonus artedii
3,8,sample_size,52
4,8,node_name,Coregonus artedii
4,8,sample_size,0
10,8,node_name,Coregonus artedii
10,8,sample_size,0
5,8,node_name,Coregonus artedii
5,8,sample_size,0
11,8,node_name,Coregonus artedii
11,8,sample_size,0
6,8,node_name,Coregonus artedii
6,8,sample_size,0
7,8,node_name,Coregonus artedii
7,8,sample_size,0
12,8,node_name,Coregonus artedii
12,8,sample_size,0
1,9,node_name,Oncorhynchus kisutch
1,9,sample_size,0
8,9,node_name,Oncorhynchus kisutch
8,9,sample_size,0
2,9,node_name,Oncorhynchus kisutch
2,9,sample_size,291
9,9,node_name,Oncorhynchus kisutch
9,9,sample_size,291
3,9,node_name,Oncorhynchus kisutch
3,9,sample_size,0
4,9,node_name,Oncorhynchus kisutch
4,9,sample_size,0
10,9,node_name,Oncorhynchus kisutch
10,9,sample_size,0
5,9,node_name,Oncorhynchus kisutch
5,9,sample_size,0
11,9,node_name,Oncorhynchus kisutch
11,9,sample_size,0
6,9,node_name,Oncorhynchus kisutch
6,9,sample_size,0
7,9,node_name,Oncorhynchus kisutch
7,9,sample_size,0
12,9,node_name,Oncorhynchus kisutch
12,9,sample_size,0
1,10,node_name,Catostomus commersoni
1,10,sample_size,0
8,10,node_name,Catostomus commersoni
8,10,sample_size,0
2,10,node_name,Catostomus commersoni
2,10,sample_size,36
9,10,node_name,Catostomus commersoni
9,10,sample_size,36
3,10,node_name,Catostomus commersoni
3,10,sample_size,51
4,10,node_name,Catostomus commersoni
4,10,sample_size,0
10,10,node_name,Catostomus commersoni
10,10,sample_size,0
5,10,node_name,Catostomus commersoni
5,10,sample_size,22
11,10,node_name,Catostomus commersoni
11,10,sample_size,22
6,10,node_name,Catostomus commersoni
6,10,sample_size,152
7,10,node_name,Catostomus commersoni
