interaction_id,attribute,value
1,node_from,Bombus_terrestris/lucorum
1,layer_from,1
1,node_to,Leucanthemum_vulgare
1,layer_to,1
1,weight,33
1,type,pollination
1,method,observation
2,node_from,Bombus_terrestris/lucorum
2,layer_from,1
2,node_to,Lotus_corniculatus
2,layer_to,1
2,weight,965
2,type,pollination
2,method,observation
3,node_from,Bombus_terrestris/lucorum
3,layer_from,1
3,node_to,Lathyrus_pratensis
3,layer_to,1
3,weight,175
3,type,pollination
3,method,observation
4,node_from,Bombus_terrestris/lucorum
4,layer_from,1
4,node_to,Vicia_cracca
4,layer_to,1
4,weight,69
4,type,pollination
4,method,observation
5,node_from,Bombus_terrestris/lucorum
5,layer_from,1
5,node_to,Hypochoeris_radicata
5,layer_to,1
5,weight,15
5,type,pollination
5,method,observation
6,node_from,Bombus_terrestris/lucorum
6,layer_from,1
6,node_to,Ranunculus_acris
6,layer_to,1
6,weight,1
6,type,pollination
6,method,observation
7,node_from,Bombus_terrestris/lucorum
7,layer_from,1
7,node_to,Trifolium_dubium
7,layer_to,1
7,weight,7
7,type,pollination
7,method,observation
8,node_from,Bombus_terrestris/lucorum
8,layer_from,1
8,node_to,Prunella_vulgaris
8,layer_to,1
8,weight,1
8,type,pollination
8,method,observation
9,node_from,Bombus_terrestris/lucorum
9,layer_from,1
9,node_to,Trifolium_repens
9,layer_to,1
9,weight,7
9,type,pollination
9,method,observation
10,node_from,Bombus_terrestris/lucorum
10,layer_from,1
10,node_to,Vicia_sativa
10,layer_to,1
10,weight,3
10,type,pollination
10,method,observation
11,node_from,Phaonia_incarna
11,layer_from,1
11,node_to,Leucanthemum_vulgare
11,layer_to,1
11,weight,426
11,type,pollination
11,method,observation
12,node_from,Phaonia_incarna
12,layer_from,1
12,node_to,Lotus_corniculatus
12,layer_to,1
12,weight,3
12,type,pollination
12,method,observation
13,node_from,Phaonia_incarna
13,layer_from,1
13,node_to,Lathyrus_pratensis
13,layer_to,1
13,weight,1
13,type,pollination
13,method,observation
14,node_from,Phaonia_incarna
14,layer_from,1
14,node_to,Vicia_cracca
14,layer_to,1
14,weight,1
14,type,pollination
14,method,observation
15,node_from,Phaonia_incarna
15,layer_from,1
15,node_to,Hypochoeris_radicata
15,layer_to,1
15,weight,12
15,type,pollination
15,method,observation
16,node_from,Phaonia_incarna
16,layer_from,1
16,node_to,Ranunculus_acris
16,layer_to,1
16,weight,3
16,type,pollination
16,method,observation
17,node_from,Phaonia_incarna
17,layer_from,1
17,node_to,Achillea_millefolium
17,layer_to,1
17,weight,1
17,type,pollination
17,method,observation
18,node_from,Phaonia_incarna
18,layer_from,1
18,node_to,Centaurea_nigra
18,layer_to,1
18,weight,1
18,type,pollination
18,method,observation
19,node_from,Tropidia_scitta
19,layer_from,1
19,node_to,Leucanthemum_vulgare
19,layer_to,1
19,weight,252
19,type,pollination
19,method,observation
20,node_from,Tropidia_scitta
20,layer_from,1
20,node_to,Hypochoeris_radicata
20,layer_to,1
20,weight,3
20,type,pollination
20,method,observation
21,node_from,Tropidia_scitta
21,layer_from,1
21,node_to,Ranunculus_acris
21,layer_to,1
21,weight,1
21,type,pollination
21,method,observation
22,node_from,Helophilus_sp1_M_PL_006
22,layer_from,1
22,node_to,Leucanthemum_vulgare
22,layer_to,1
22,weight,225
22,type,pollination
22,method,observation
23,node_from,Helophilus_sp1_M_PL_006
23,layer_from,1
23,node_to,Lotus_corniculatus
23,layer_to,1
23,weight,8
23,type,pollination
23,method,observation
24,node_from,Helophilus_sp1_M_PL_006
24,layer_from,1
24,node_to,Vicia_cracca
24,layer_to,1
24,weight,1
24,type,pollination
24,method,observation
25,node_from,Helophilus_sp1_M_PL_006
25,layer_from,1
25,node_to,Hypochoeris_radicata
25,layer_to,1
25,weight,4
25,type,pollination
25,method,observation
26,node_from,Helophilus_sp1_M_PL_006
26,layer_from,1
26,node_to,Ranunculus_acris
26,layer_to,1
26,weight,1
26,type,pollination
26,method,observation
27,node_from,Helophilus_sp1_M_PL_006
27,layer_from,1
27,node_to,Trifolium_dubium
27,layer_to,1
27,weight,1
27,type,pollination
27,method,observation
28,node_from,Helophilus_sp1_M_PL_006
28,layer_from,1
28,node_to,Achillea_millefolium
28,layer_to,1
28,weight,1
28,type,pollination
28,method,observation
