"node_id","attribute","value"
1,"node_name","Adela_rufimatrella"
1,"type","Pollinator"
1,"kingdom","Animals"
1,"taxa_verified","FALSE"
2,"node_name","Andrena_haemorrhoa"
2,"type","Pollinator"
2,"kingdom","Animals"
2,"taxa_verified","TRUE"
2,"verification_level","species"
3,"node_name","Andrena_pubescens"
3,"type","Pollinator"
3,"kingdom","Animals"
3,"taxa_verified","FALSE"
4,"node_name","Andrena_wilkella"
4,"type","Pollinator"
4,"kingdom","Animals"
4,"taxa_verified","TRUE"
4,"verification_level","species"
5,"node_name","Anosymia_sp1_M_PL_006"
5,"type","Pollinator"
5,"kingdom","Animals"
5,"taxa_verified","FALSE"
6,"node_name","Anthomyidae_sp1_M_PL_006"
6,"type","Pollinator"
6,"kingdom","Animals"
6,"taxa_verified","FALSE"
7,"node_name","Autographa_sp1_M_PL_006"
7,"type","Pollinator"
7,"kingdom","Animals"
7,"taxa_verified","TRUE"
7,"verification_level","genus"
8,"node_name","Bombus_hortorum"
8,"type","Pollinator"
8,"kingdom","Animals"
8,"taxa_verified","TRUE"
8,"verification_level","species"
9,"node_name","Bombus_lapidarius"
9,"type","Pollinator"
9,"kingdom","Animals"
9,"taxa_verified","TRUE"
9,"verification_level","species"
10,"node_name","Bombus_pascuorum"
10,"type","Pollinator"
10,"kingdom","Animals"
10,"taxa_verified","TRUE"
10,"verification_level","species"
11,"node_name","Bombus_pratorum"
11,"type","Pollinator"
11,"kingdom","Animals"
11,"taxa_verified","TRUE"
11,"verification_level","species"
12,"node_name","Bombus_terrestris/lucorum"
12,"type","Pollinator"
12,"kingdom","Animals"
12,"taxa_verified","FALSE"
13,"node_name","Cheilosia_albitarsis"
13,"type","Pollinator"
13,"kingdom","Animals"
13,"taxa_verified","TRUE"
13,"verification_level","species"
14,"node_name","Chloromyia_formosa"
14,"type","Pollinator"
14,"kingdom","Animals"
14,"taxa_verified","TRUE"
14,"verification_level","species"
15,"node_name","Chrysogaster_sp1_M_PL_006"
15,"type","Pollinator"
15,"kingdom","Animals"
15,"taxa_verified","TRUE"
15,"verification_level","genus"
16,"node_name","Empis_livida"
16,"type","Pollinator"
16,"kingdom","Animals"
16,"taxa_verified","TRUE"
16,"verification_level","species"
17,"node_name","Eriothrix_rufomaculatus"
17,"type","Pollinator"
17,"kingdom","Animals"
17,"taxa_verified","TRUE"
17,"verification_level","species"
18,"node_name","Eristalinus_sepulcharius"
18,"type","Pollinator"
18,"kingdom","Animals"
18,"taxa_verified","FALSE"
19,"node_name","Eristalis_intricarius"
19,"type","Pollinator"
19,"kingdom","Animals"
19,"taxa_verified","TRUE"
19,"verification_level","species"
20,"node_name","Eristalis_nemorum"
20,"type","Pollinator"
20,"kingdom","Animals"
20,"taxa_verified","TRUE"
20,"verification_level","species"
21,"node_name","Eristalis_pertinax"
21,"type","Pollinator"
21,"kingdom","Animals"
21,"taxa_verified","TRUE"
21,"verification_level","species"
22,"node_name","Eristalis_tenax"
22,"type","Pollinator"
22,"kingdom","Animals"
22,"taxa_verified","TRUE"
22,"verification_level","species"
23,"node_name","Helophilus_sp1_M_PL_006"
23,"type","Pollinator"
23,"kingdom","Animals"
23,"taxa_verified","TRUE"
23,"verification_level","genus"
24,"node_name","Helophilus_trivittatus"
24,"type","Pollinator"
24,"kingdom","Animals"
24,"taxa_verified","TRUE"
24,"verification_level","species"
25,"node_name","Lasioglossum_calceatum"
25,"type","Pollinator"
25,"kingdom","Animals"
25,"taxa_verified","TRUE"
25,"verification_level","species"
26,"node_name","Lasioglossum_leucozonium"
26,"type","Pollinator"
26,"kingdom","Animals"
26,"taxa_verified","TRUE"
26,"verification_level","species"
27,"node_name","Lasioglossum_villosulum"
27,"type","Pollinator"
27,"kingdom","Animals"
27,"taxa_verified","TRUE"
27,"verification_level","species"
28,"node_name","Lasiommata_megera"
28,"type","Pollinator"
28,"kingdom","Animals"
28,"taxa_verified","TRUE"
28,"verification_level","species"
29,"node_name","Lejogaster_splendida"
29,"type","Pollinator"
29,"kingdom","Animals"
29,"taxa_verified","TRUE"
29,"verification_level","genus"
30,"node_name","Lucillia_sp1_M_PL_006"
30,"type","Pollinator"
30,"kingdom","Animals"
30,"taxa_verified","TRUE"
30,"verification_level","genus"
31,"node_name","Lycaena_phlaeas"
31,"type","Pollinator"
31,"kingdom","Animals"
31,"taxa_verified","TRUE"
31,"verification_level","species"
32,"node_name","Malachius_viridus"
32,"type","Pollinator"
32,"kingdom","Animals"
32,"taxa_verified","FALSE"
33,"node_name","Maniola_jurtina"
33,"type","Pollinator"
33,"kingdom","Animals"
33,"taxa_verified","TRUE"
33,"verification_level","species"
34,"node_name","Megachile_willughbiella"
34,"type","Pollinator"
34,"kingdom","Animals"
34,"taxa_verified","TRUE"
34,"verification_level","species"
35,"node_name","Melanostoma_sp1_M_PL_006"
35,"type","Pollinator"
35,"kingdom","Animals"
35,"taxa_verified","TRUE"
35,"verification_level","genus"
36,"node_name","Meliscaeva_sp1_M_PL_006"
36,"type","Pollinator"
36,"kingdom","Animals"
36,"taxa_verified","TRUE"
36,"verification_level","genus"
37,"node_name","Micromoth_sp1_M_PL_006"
37,"type","Pollinator"
37,"kingdom","Animals"
37,"taxa_verified","FALSE"
38,"node_name","Nemotelus_pantherinus"
38,"type","Pollinator"
38,"kingdom","Animals"
38,"taxa_verified","TRUE"
38,"verification_level","species"
39,"node_name","Neoascia_tenur"
39,"type","Pollinator"
39,"kingdom","Animals"
39,"taxa_verified","TRUE"
