"node_id","attribute","value"
1,"node_name","Salix_repens"
1,"type","plant"
1,"taxa_verified","TRUE"
1,"verification_level","species"
2,"node_name","Calluna_vulgaris"
2,"type","plant"
2,"taxa_verified","TRUE"
2,"verification_level","species"
3,"node_name","Potentilla_erecta"
3,"type","plant"
3,"taxa_verified","TRUE"
3,"verification_level","species"
4,"node_name","Solidago_virgaurea"
4,"type","plant"
4,"taxa_verified","TRUE"
4,"verification_level","species"
5,"node_name","Erica_tetralix"
5,"type","plant"
5,"taxa_verified","TRUE"
5,"verification_level","species"
6,"node_name","Vaccinium_uliginosum"
6,"type","plant"
6,"taxa_verified","TRUE"
6,"verification_level","species"
7,"node_name","Hypochoeris_radicata"
7,"type","plant"
7,"taxa_verified","TRUE"
7,"verification_level","species"
8,"node_name","Galium_saxatile"
8,"type","plant"
8,"taxa_verified","TRUE"
8,"verification_level","species"
9,"node_name","Vaccinium_vitis-idaea"
9,"type","plant"
9,"taxa_verified","TRUE"
9,"verification_level","species"
10,"node_name","Hieracium_umbellatum"
10,"type","plant"
10,"taxa_verified","TRUE"
10,"verification_level","species"
11,"node_name","Vaccinium_myrtillus"
11,"type","plant"
11,"taxa_verified","TRUE"
11,"verification_level","species"
12,"node_name","Scorzonea_humilis"
12,"type","plant"
12,"taxa_verified","FALSE"
13,"node_name","Genista_anglica"
13,"type","plant"
13,"taxa_verified","TRUE"
13,"verification_level","species"
14,"node_name","Trientalis_europaea"
14,"type","plant"
14,"taxa_verified","TRUE"
14,"verification_level","species"
15,"node_name","Salix_aurita"
15,"type","plant"
15,"taxa_verified","TRUE"
15,"verification_level","species"
16,"node_name","Campanula_rotundifolia"
16,"type","plant"
16,"taxa_verified","TRUE"
16,"verification_level","species"
17,"node_name","Hieracium_pilosella"
17,"type","plant"
17,"taxa_verified","TRUE"
17,"verification_level","species"
18,"node_name","Empetrum_nigrum"
18,"type","plant"
18,"taxa_verified","TRUE"
18,"verification_level","species"
19,"node_name","Epilobium_angustifolium"
19,"type","plant"
19,"taxa_verified","TRUE"
19,"verification_level","species"
20,"node_name","Arnica_montana"
20,"type","plant"
20,"taxa_verified","TRUE"
20,"verification_level","species"
21,"node_name","Succisa_pratensis"
21,"type","plant"
21,"taxa_verified","TRUE"
21,"verification_level","species"
22,"node_name","Sorbus_sp1_M_PL_048"
22,"type","plant"
22,"taxa_verified","TRUE"
22,"verification_level","genus"
23,"node_name","Cytisus_scoparius"
23,"type","plant"
23,"taxa_verified","TRUE"
23,"verification_level","species"
24,"node_name","Galeopsis_sp1_M_PL_048"
24,"type","plant"
24,"taxa_verified","TRUE"
24,"verification_level","genus"
25,"node_name","Genista_pilosa"
25,"type","plant"
25,"taxa_verified","TRUE"
25,"verification_level","species"
26,"node_name","Hieracium_sp1_M_PL_048"
26,"type","plant"
26,"taxa_verified","TRUE"
26,"verification_level","genus"
27,"node_name","Salix_cinerea"
27,"type","plant"
