"node_id","attribute","value"
1,"node_name","Achillea_clavennae"
1,"type","plant"
1,"family","Asteraceae"
1,"color","white"
1,"kugler_type","7"
1,"order",NA
1,"taxa_verified","TRUE"
1,"verification_level","species"
2,"node_name","Achillea_millefolium"
2,"type","plant"
2,"family","Asteraceae"
2,"color","white"
2,"kugler_type","7"
2,"order",NA
2,"taxa_verified","TRUE"
2,"verification_level","species"
3,"node_name","Acinos_alpinus"
3,"type","plant"
3,"family","Lamiaceae"
3,"color","violet"
3,"kugler_type","5"
3,"order",NA
3,"taxa_verified","TRUE"
3,"verification_level","species"
4,"node_name","Aconitum_lycoctonum"
4,"type","plant"
4,"family","Ranunculaceae"
4,"color","yellow"
4,"kugler_type","5"
4,"order",NA
4,"taxa_verified","TRUE"
4,"verification_level","species"
5,"node_name","Aconitum_napellus"
5,"type","plant"
5,"family","Ranunculaceae"
5,"color","blue"
5,"kugler_type","5"
5,"order",NA
5,"taxa_verified","TRUE"
5,"verification_level","species"
6,"node_name","Adenostyles_alliariae"
6,"type","plant"
6,"family","Asteraceae"
6,"color","red"
6,"kugler_type","7"
6,"order",NA
6,"taxa_verified","TRUE"
6,"verification_level","species"
7,"node_name","Ajuga_reptans"
7,"type","plant"
7,"family","Lamiaceae"
7,"color","blue"
7,"kugler_type","5"
7,"order",NA
7,"taxa_verified","TRUE"
7,"verification_level","species"
8,"node_name","Allium_lusitanicum"
8,"type","plant"
8,"family","Alliaceae"
8,"color","violet"
8,"kugler_type","1"
8,"order",NA
8,"taxa_verified","TRUE"
8,"verification_level","species"
9,"node_name","Androsace_chamaejasme"
9,"type","plant"
9,"family","Primulaceae"
9,"color","white"
9,"kugler_type","4"
9,"order",NA
9,"taxa_verified","TRUE"
9,"verification_level","species"
10,"node_name","Anemone_narcissiflora"
10,"type","plant"
10,"family","Ranunculaceae"
10,"color","white"
10,"kugler_type","1"
10,"order",NA
10,"taxa_verified","TRUE"
10,"verification_level","species"
11,"node_name","Antennaria_carpatica"
11,"type","plant"
11,"family","Asteraceae"
11,"color","white"
11,"kugler_type","7"
11,"order",NA
11,"taxa_verified","TRUE"
11,"verification_level","species"
12,"node_name","Anthericum_ramosum"
12,"type","plant"
12,"family","Liliaceae"
12,"color","white"
12,"kugler_type","1"
12,"order",NA
12,"taxa_verified","TRUE"
12,"verification_level","species"
13,"node_name","Anthriscus_nitidus"
13,"type","plant"
13,"family","Apiaceae"
13,"color","white"
13,"kugler_type","1"
13,"order",NA
13,"taxa_verified","TRUE"
13,"verification_level","species"
14,"node_name","Anthyllis_vulneraria"
14,"type","plant"
14,"family","Fabaceae"
14,"color","yellow"
14,"kugler_type","6"
14,"order",NA
14,"taxa_verified","TRUE"
14,"verification_level","species"
15,"node_name","Aquilegia_vulgaris"
15,"type","plant"
15,"family","Ranunculaceae"
15,"color","violet"
15,"kugler_type","3"
15,"order",NA
15,"taxa_verified","TRUE"
15,"verification_level","species"
16,"node_name","Arabis_ciliata"
16,"type","plant"
16,"family","Brassicaceae"
16,"color","white"
16,"kugler_type","1"
16,"order",NA
16,"taxa_verified","TRUE"
16,"verification_level","species"
17,"node_name","Asteraceae_sp._1"
17,"type","plant"
17,"family","Asteraceae"
17,"color","yellow"
17,"kugler_type","7"
17,"order",NA
17,"taxa_verified","TRUE"
17,"verification_level","family"
18,"node_name","Asteraceae_sp._2"
18,"type","plant"
18,"family","Asteraceae"
18,"color","yellow"
18,"kugler_type","7"
18,"order",NA
18,"taxa_verified","TRUE"
18,"verification_level","family"
19,"node_name","Asteraceae_sp._3"
19,"type","plant"
19,"family","Asteraceae"
19,"color","yellow"
19,"kugler_type","7"
19,"order",NA
19,"taxa_verified","TRUE"
19,"verification_level","family"
20,"node_name","Asteraceae_sp._4"
20,"type","plant"
20,"family","Asteraceae"
20,"color","yellow"
20,"kugler_type","7"
20,"order",NA
20,"taxa_verified","TRUE"
20,"verification_level","family"
21,"node_name","Asteraceae_sp._5"
21,"type","plant"
21,"family","Asteraceae"
21,"color","yellow"
21,"kugler_type","7"
21,"order",NA
21,"taxa_verified","TRUE"
21,"verification_level","family"
22,"node_name","Aster_bellidiastrum"
22,"type","plant"
22,"family","Asteraceae"
22,"color","white"
22,"kugler_type","7"
22,"order",NA
22,"taxa_verified","TRUE"
22,"verification_level","species"
23,"node_name","Bartsia_alpina"
23,"type","plant"
23,"family","Lamiaceae"
23,"color","violet"
23,"kugler_type","5"
23,"order",NA
23,"taxa_verified","TRUE"
23,"verification_level","species"
24,"node_name","Betonica_alopecuros"
24,"type","plant"
24,"family","Lamiaceae"
24,"color","yellow"
24,"kugler_type","5"
24,"order",NA
24,"taxa_verified","TRUE"
24,"verification_level","species"
25,"node_name","Biscutella_laevigata"
25,"type","plant"
25,"family","Brassicaceae"
25,"color","yellow"
25,"kugler_type","1"
25,"order",NA
25,"taxa_verified","TRUE"
25,"verification_level","species"
26,"node_name","Buphthalmum_salicifolium"
26,"type","plant"
26,"family","Asteraceae"
26,"color","yellow"
26,"kugler_type","7"
26,"order",NA
26,"taxa_verified","TRUE"
26,"verification_level","species"
27,"node_name","Campanula_cochleariifolia"
27,"type","plant"
27,"family","Campanulaceae"
27,"color","blue"
27,"kugler_type","3"
27,"order",NA
27,"taxa_verified","TRUE"
27,"verification_level","species"
28,"node_name","Campanula_scheuchzeri"
28,"type","plant"
28,"family","Campanulaceae"
28,"color","violet"
28,"kugler_type","3"
28,"order",NA
28,"taxa_verified","TRUE"
28,"verification_level","species"
29,"node_name","Cardamine_enneaphyllos"
29,"type","plant"
29,"family","Brassicaceae"
29,"color","white"
29,"kugler_type","1"
29,"order",NA
29,"taxa_verified","TRUE"
29,"verification_level","species"
30,"node_name","Cardamine_pratensis"
30,"type","plant"
30,"family","Brassicaceae"
30,"color","violet"
30,"kugler_type","1"
30,"order",NA
30,"taxa_verified","TRUE"
30,"verification_level","species"
31,"node_name","Carduus_defloratus"
31,"type","plant"
31,"family","Asteraceae"
31,"color","purple"
31,"kugler_type","7"
31,"order",NA
31,"taxa_verified","TRUE"
31,"verification_level","species"
32,"node_name","Carlina_acaulis"
32,"type","plant"
32,"family","Asteraceae"
32,"color","white"
32,"kugler_type","7"
32,"order",NA
32,"taxa_verified","TRUE"
32,"verification_level","species"
33,"node_name","Carum_carvi"
33,"type","plant"
33,"family","Apiaceae"
33,"color","white"
33,"kugler_type","1"
33,"order",NA
33,"taxa_verified","TRUE"
33,"verification_level","species"
34,"node_name","Centaurea_jacea"
34,"type","plant"
34,"family","Asteraceae"
34,"color","purple"
34,"kugler_type","7"
34,"order",NA
34,"taxa_verified","TRUE"
34,"verification_level","species"
35,"node_name","Cerastium_fontanum"
35,"type","plant"
35,"family","Caryophyllaceae"
35,"color","white"
35,"kugler_type","1"
35,"order",NA
35,"taxa_verified","TRUE"
35,"verification_level","species"
36,"node_name","Chaerophyllum_hirsutum"
36,"type","plant"
36,"family","Apiaceae"
36,"color","white"
36,"kugler_type","1"
36,"order",NA
36,"taxa_verified","TRUE"
36,"verification_level","species"
37,"node_name","Chaerophyllum_hirsutum_ssp._Villarsii"
37,"type","plant"
37,"family","Apiaceae"
37,"color","white"
37,"kugler_type","1"
37,"order",NA
37,"taxa_verified","FALSE"
38,"node_name","Cicerbita_alpina"
38,"type","plant"
38,"family","Asteraceae"
38,"color","violet"
38,"kugler_type","7"
38,"order",NA
38,"taxa_verified","TRUE"
38,"verification_level","species"
39,"node_name","Cirsium_arvense"
39,"type","plant"
39,"family","Asteraceae"
39,"color","pink"
39,"kugler_type","7"
39,"order",NA
39,"taxa_verified","TRUE"
39,"verification_level","species"
