"node_id","attribute","value"
1,"node_name","carcass"
1,"type","taxon"
1,"taxonomy_name","Leporidae"
1,"taxonomy_rank","family"
1,"taxa_verified","TRUE"
1,"verification_level","family"
2,"node_name","Pogonomyrmex_desertorum"
2,"type","taxon"
2,"taxonomy_name","Pogonomyrmex desertorum"
2,"taxonomy_rank","species"
2,"taxa_verified","TRUE"
2,"verification_level","species"
3,"node_name","Dialictus_sp."
3,"type","taxon"
3,"taxonomy_name","Lasioglossum flavipes"
3,"taxonomy_rank","species"
3,"taxa_verified","FALSE"
4,"node_name","Lasioglossum_morilli"
4,"type","taxon"
4,"taxonomy_name",NA
4,"taxonomy_rank",NA
4,"taxa_verified","FALSE"
5,"node_name","Dialictus_microlepiodes"
5,"type","taxon"
5,"taxonomy_name",NA
5,"taxonomy_rank",NA
5,"taxa_verified","FALSE"
6,"node_name","Taenipoda_equus"
6,"type","taxon"
6,"taxonomy_name",NA
6,"taxonomy_rank",NA
6,"taxa_verified","FALSE"
7,"node_name","C._macellaria_larvae"
7,"type","taxon"
7,"taxonomy_name","Musca macellaria"
7,"taxonomy_rank","species"
7,"taxa_verified","FALSE"
8,"node_name","S._utilis_larvae"
8,"type","taxon"
8,"taxonomy_name","Sarcophaga utilis"
8,"taxonomy_rank","species"
8,"taxa_verified","TRUE"
8,"verification_level","species"
9,"node_name","O._ochripyga_larvae"
9,"type","taxon"
9,"taxonomy_name","Oxysarcodexia ochripyga"
9,"taxonomy_rank","species"
9,"taxa_verified","FALSE"
10,"node_name","Cochliomyia_macellaria"
10,"type","taxon"
10,"taxonomy_name","Musca macellaria"
10,"taxonomy_rank","species"
10,"taxa_verified","FALSE"
11,"node_name","Saprinus_discoidalis"
11,"type","taxon"
11,"taxonomy_name","Saprinus discoidalis"
11,"taxonomy_rank","species"
11,"taxa_verified","FALSE"
12,"node_name","Eleodes_hispilabris"
12,"type","taxon"
12,"taxonomy_name","Eleodes hispilabris"
12,"taxonomy_rank",NA
12,"taxa_verified","TRUE"
12,"verification_level","species"
13,"node_name","T._nodosus"
13,"type","taxon"
13,"taxonomy_name","Trox nodosus"
13,"taxonomy_rank",NA
13,"taxa_verified","FALSE"
14,"node_name","Euxesta_sp."
14,"type","taxon"
14,"taxonomy_name","Euxesta"
14,"taxonomy_rank","genus"
14,"taxa_verified","TRUE"
14,"verification_level","genus"
15,"node_name","Coenosia_sp."
15,"type","taxon"
15,"taxonomy_name","Coenosia"
15,"taxonomy_rank","genus"
15,"taxa_verified","TRUE"
15,"verification_level","genus"
16,"node_name","Sarcophaga_utilis"
16,"type","taxon"
16,"taxonomy_name","Sarcophaga utilis"
16,"taxonomy_rank","species"
16,"taxa_verified","TRUE"
16,"verification_level","species"
17,"node_name","Oxysarcodexia_ochripyga"
17,"type","taxon"
17,"taxonomy_name","Oxysarcodexia ochripyga"
17,"taxonomy_rank","species"
17,"taxa_verified","FALSE"
18,"node_name","Idiasta_sp."
18,"type","taxon"
18,"taxonomy_name","Idiasta"
18,"taxonomy_rank","genus"
18,"taxa_verified","TRUE"
18,"verification_level","genus"
19,"node_name","Pogonomyrmex_apache"
19,"type","taxon"
19,"taxonomy_name","Pogonomyrmex apache"
19,"taxonomy_rank","species"
