layer,attribute,value
1,type,space
1,location,Twin Lake West
1,latitude,43.6202777777778
1,longitude,-74.6355555555556
1,date,01/06/1984
2,type,space
2,location,Twin Lake East
2,latitude,44.3416666666667
2,longitude,-74.3416666666667
2,date,01/06/1984
3,type,space
3,location,Beaver Lake
3,latitude,44.5119444444444
3,longitude,-74.125
3,date,01/06/1984
4,type,space
4,location,Gull Lake
4,latitude,43.5513888888889
4,longitude,-75.0680555555556
4,date,01/06/1984
5,type,space
5,location,Burntbridge Lake
5,latitude,43.6511111111111
5,longitude,-74.7522222222222
5,date,01/06/1984
6,type,space
6,location,Goose Lake
6,latitude,43.7802777777778
6,longitude,-74.9052777777778
6,date,01/06/1984
7,type,space
7,location,Grass Lake
7,latitude,44.3769444444444
7,longitude,-74.3472222222222
7,date,01/06/1984
8,type,space
8,location,Brandy Lake
8,latitude,44.1625
8,longitude,-74.5697222222222
8,date,01/06/1984
9,type,space
9,location,Owl Lake
9,latitude,44.2683333333333
9,longitude,-74.1530555555556
9,date,01/06/1984
10,type,space
10,location,Rat Lake
10,latitude,44.3527777777778
10,longitude,-74.3116666666667
10,date,01/06/1984
11,type,space
11,location,Razorback Lake
11,latitude,43.8486111111111
11,longitude,-74.9230555555555
11,date,01/06/1984
12,type,space
12,location,OswegoLake
12,latitude,43.8502777777778
12,longitude,-74.9
12,date,01/06/1984
13,type,space
13,location,Balsom Lake
13,latitude,43.6283333333333
13,longitude,-74.7972222222222
13,date,01/06/1984
14,type,space
14,location,Safford Lake
14,latitude,43.7841666666667
14,longitude,-74.9152777777778
14,date,01/06/1984
15,type,space
15,location,Sand Lake
15,latitude,44.0105555555556
15,longitude,-75.0108333333333
15,date,01/06/1984
16,type,space
16,location,BigHope Lake
16,latitude,44.2847222222222
16,longitude,-74.3594444444444
16,date,01/06/1984
17,type,space
17,location,Fawn Lake
17,latitude,43.7133333333333
17,longitude,-74.7794444444445
17,date,01/06/1984
18,type,space
18,location,Federation Lake
18,latitude,44.3397222222222
18,longitude,-74.4122222222222
18,date,01/06/1984
19,type,space
19,location,Squaw Lake
19,latitude,45.6361111111111
19,longitude,-74.7388888888889
19,date,01/06/1984
20,type,space
20,location,Little Rainbow Lake
20,latitude,43.6877777777778
20,longitude,-74.6661111111111
20,date,01/06/1984
21,type,space
21,location,Stink Lake
21,latitude,43.6308333333333
21,longitude,-74.8102777777778
21,date,01/06/1984
22,type,space
22,location,Cascade Lake
22,latitude,43.7891666666667
22,longitude,-74.8127777777778
22,date,01/06/1984
23,type,space
23,location,Whipple Lake
23,latitude,44.3938888888889
23,longitude,-74.3027777777778
23,date,01/06/1984
24,type,space
24,location,Wolf Lake
24,latitude,43.6272222222222
24,longitude,-74.6563888888889
24,date,01/06/1984
25,type,space
25,location,Rock Lake
25,latitude,44.0105555555556
25,longitude,-75.0183333333333
