node_id,attribute,value
1,node_name,Ageneotettix_deorum
1,type,herbivore
1,kingdom,animals
2,node_name,Arphia_crassa
2,type,herbivore
2,kingdom,animals
3,node_name,Aulocara_femoratum
3,type,herbivore
3,kingdom,animals
4,node_name,Boopedon_nubilum
4,type,herbivore
4,kingdom,animals
5,node_name,Campylacantha_olivacea
5,type,herbivore
5,kingdom,animals
6,node_name,Cordillacris_crenulata
6,type,herbivore
6,kingdom,animals
7,node_name,Dactylotum_variegatum
7,type,herbivore
7,kingdom,animals
8,node_name,Eritettix_variabilis
8,type,herbivore
8,kingdom,animals
9,node_name,Leprus_cyaneus
9,type,herbivore
9,kingdom,animals
10,node_name,Melanoplus_arizonae
10,type,herbivore
10,kingdom,animals
11,node_name,Melanoplus_desultorius
11,type,herbivore
11,kingdom,animals
12,node_name,Melanoplus_gladstoni
12,type,herbivore
12,kingdom,animals
13,node_name,Melanoplus_glaucipes
13,type,herbivore
13,kingdom,animals
14,node_name,Melanoplus_lakinus
14,type,herbivore
14,kingdom,animals
15,node_name,Opeia_obscura
15,type,herbivore
15,kingdom,animals
16,node_name,Philbostroma_quadrimaculatum
16,type,herbivore
16,kingdom,animals
17,node_name,Phoetaliotes_nebrascensis
17,type,herbivore
17,kingdom,animals
18,node_name,Psoloessa_texana
18,type,herbivore
18,kingdom,animals
19,node_name,Syrbula_fuscovittata
19,type,herbivore
19,kingdom,animals
20,node_name,Trachyrachys_kiowa
20,type,herbivore
20,kingdom,animals
21,node_name,Trimerotropis_pallidipennis
21,type,herbivore
21,kingdom,animals
22,node_name,Tropidolophus_formosus
22,type,herbivore
22,kingdom,animals
23,node_name,Aristida_hamulosa
23,type,plant
23,kingdom,plants
24,node_name,Bouteloua_curtipendula
24,type,plant
24,kingdom,plants
25,node_name,Bouteloua_gracilis
25,type,plant
25,kingdom,plants
26,node_name,Bouteloua_hirsuta
26,type,plant
26,kingdom,plants
27,node_name,Buchloe_dactyloides
27,type,plant
27,kingdom,plants
28,node_name,Calyophus_hartwegii
28,type,plant
28,kingdom,plants
29,node_name,Condalia_ericoides
29,type,plant
29,kingdom,plants
30,node_name,Convolvulus_equitans
30,type,plant
30,kingdom,plants
31,node_name,Conyza_coulteri
31,type,plant
31,kingdom,plants
32,node_name,Croton_pottsii
32,type,plant
32,kingdom,plants
33,node_name,Cryptantha_mexicana
33,type,plant
33,kingdom,plants
34,node_name,Dyschoriste_linearis
34,type,plant
34,kingdom,plants
35,node_name,Eragrostis_intermedia
35,type,plant
35,kingdom,plants
36,node_name,Eupatorium_greggii
36,type,plant
36,kingdom,plants
37,node_name,Gaura_coccinea
37,type,plant
37,kingdom,plants
38,node_name,Gilia_rigida
38,type,plant
38,kingdom,plants
39,node_name,Hoffmannseggia_glauca
39,type,plant
39,kingdom,plants
40,node_name,Iva_dealbata
40,type,plant
40,kingdom,plants
41,node_name,Leptaloma_cognata
41,type,plant
41,kingdom,plants
42,node_name,Linum_rigidum
42,type,plant
42,kingdom,plants
43,node_name,Machaeranthera_scabrella
43,type,plant
43,kingdom,plants
44,node_name,Muhlenbergia_sp1
44,type,plant
44,kingdom,plants
45,node_name,Oenothera_sp1
45,type,plant
45,kingdom,plants
46,node_name,Panicum_obtusum
46,type,plant
46,kingdom,plants
47,node_name,Polygala_longa
47,type,plant
47,kingdom,plants
48,node_name,Prosopis_glandulosa
48,type,plant
48,kingdom,plants
49,node_name,Ratibida_columnaris
49,type,plant
49,kingdom,plants
50,node_name,Scleropogon_brevifolius
50,type,plant
50,kingdom,plants
51,node_name,Setaria_leucopila
51,type,plant
51,kingdom,plants
52,node_name,Sporobolus_sp1
52,type,plant
52,kingdom,plants
53,node_name,Unidentified_sp1
53,type,plant
53,kingdom,plants
54,node_name,Unidentified_sp10
54,type,plant
54,kingdom,plants
55,node_name,Unidentified_sp11
55,type,plant
55,kingdom,plants
56,node_name,Unidentified_sp12
56,type,plant
56,kingdom,plants
57,node_name,Unidentified_sp13
57,type,plant
57,kingdom,plants
58,node_name,Unidentified_sp14
58,type,plant
58,kingdom,plants
59,node_name,Unidentified_sp15
59,type,plant
59,kingdom,plants
60,node_name,Unidentified_sp16
60,type,plant
60,kingdom,plants
61,node_name,Unidentified_sp17
61,type,plant
61,kingdom,plants
62,node_name,Unidentified_sp2
62,type,plant
62,kingdom,plants
63,node_name,Unidentified_sp3
63,type,plant
63,kingdom,plants
64,node_name,Unidentified_sp4
64,type,plant
64,kingdom,plants
65,node_name,Unidentified_sp5
65,type,plant
65,kingdom,plants
66,node_name,Unidentified_sp6
66,type,plant
66,kingdom,plants
67,node_name,Unidentified_sp7
67,type,plant
67,kingdom,plants
68,node_name,Unidentified_sp8
68,type,plant
68,kingdom,plants
69,node_name,Unidentified_sp9
69,type,plant
69,kingdom,plants
70,node_name,Verbena_wrightii
70,type,plant
70,kingdom,plants
71,node_name,Xanthocephalum_sp1
71,type,plant
71,kingdom,plants
72,node_name,Xanthocephalum_texanum
72,type,plant
72,kingdom,plants
73,node_name,Zinnia_grandiflora
73,type,plant
73,kingdom,plants
74,node_name,Ziziphus_obtusifolius
74,type,plant
74,kingdom,plants
75,node_name,Acrolophitus_variegatus
75,type,herbivore
75,kingdom,animals
76,node_name,Arphia_aberrans
76,type,herbivore
76,kingdom,animals
77,node_name,Cibolacris_parviceps
77,type,herbivore
77,kingdom,animals
78,node_name,Hadrotettix_trifasciatus
78,type,herbivore
78,kingdom,animals
79,node_name,Heliaula_rufa
79,type,herbivore
79,kingdom,animals
80,node_name,Hesperotettix_viridis
80,type,herbivore
80,kingdom,animals
81,node_name,Mermiria_bivittata
81,type,herbivore
81,kingdom,animals
82,node_name,Parapomala_wyomingensis
82,type,herbivore
82,kingdom,animals
83,node_name,Pedioscirtetes_maculipennis
83,type,herbivore
83,kingdom,animals
84,node_name,Trachyrachys_aspera
84,type,herbivore
84,kingdom,animals
85,node_name,Xanthippus_corallipes
85,type,herbivore
85,kingdom,animals
86,node_name,Acacia_constricta
86,type,plant
86,kingdom,plants
87,node_name,Allionia_incarnata
87,type,plant
87,kingdom,plants
88,node_name,Argythamnia_neomexicana
88,type,plant
88,kingdom,plants
89,node_name,Aristida_writgii
89,type,plant
89,kingdom,plants
90,node_name,Asclepius_sp1
90,type,plant
90,kingdom,plants
91,node_name,Buddleja_scordioides
91,type,plant
91,kingdom,plants
92,node_name,Cassia_roemeriana
92,type,plant
92,kingdom,plants
93,node_name,Castilleja_sp1
93,type,plant
93,kingdom,plants
94,node_name,Choenopodium_sp1
94,type,plant
94,kingdom,plants
95,node_name,Dalea_greggii
95,type,plant
95,kingdom,plants
96,node_name,Dyssodia_acerosa
96,type,plant
96,kingdom,plants
97,node_name,Gaillardia_pinnatifida
97,type,plant
97,kingdom,plants
98,node_name,Gilia_rigidula
98,type,plant
98,kingdom,plants
99,node_name,Guara_coccinea
99,type,plant
99,kingdom,plants
100,node_name,Hilaria_mutica
100,type,plant
100,kingdom,plants
101,node_name,Iva_ambrosiaefolia
101,type,plant
101,kingdom,plants
102,node_name,Lepidium_lasiocarpum
102,type,plant
102,kingdom,plants
103,node_name,Lesquerella_fendleri
103,type,plant
103,kingdom,plants
104,node_name,Sida_filicaulis
104,type,plant
104,kingdom,plants
105,node_name,Tidestromia_lanuginosa
105,type,plant
105,kingdom,plants
