interaction_id,attribute,value
1,node_from,Juniperus_communis
1,layer_from,1
1,node_to,Turdus.torquatus
1,layer_to,1
1,weight,1
1,type,seed-dispersal
2,node_from,Juniperus_communis
2,layer_from,1
2,node_to,Turdus.viscivorus
2,layer_to,1
2,weight,1
2,type,seed-dispersal
3,node_from,Juniperus_communis
3,layer_from,1
3,node_to,Turdus.iliacus
3,layer_to,1
3,weight,1
3,type,seed-dispersal
4,node_from,Juniperus_sabina
4,layer_from,1
4,node_to,Turdus.torquatus
4,layer_to,1
4,weight,1
4,type,seed-dispersal
5,node_from,Juniperus_sabina
5,layer_from,1
5,node_to,Turdus.viscivorus
5,layer_to,1
5,weight,1
5,type,seed-dispersal
6,node_from,Berberis_vulgaris
6,layer_from,1
6,node_to,Turdus.torquatus
6,layer_to,1
6,weight,1
6,type,seed-dispersal
7,node_from,Crataegus_monogyna
7,layer_from,2
7,node_to,Turdus.merula
7,layer_to,2
7,weight,1
7,type,seed-dispersal
8,node_from,Crataegus_monogyna
8,layer_from,2
8,node_to,Turdus.viscivorus
8,layer_to,2
8,weight,1
8,type,seed-dispersal
9,node_from,Crataegus_monogyna
9,layer_from,2
9,node_to,Turdus.iliacus
9,layer_to,2
9,weight,1
9,type,seed-dispersal
10,node_from,Crataegus_monogyna
10,layer_from,2
10,node_to,Turdus.torquatus
10,layer_to,2
10,weight,1
10,type,seed-dispersal
11,node_from,Juniperus_communis
11,layer_from,2
11,node_to,Turdus.merula
11,layer_to,2
11,weight,1
11,type,seed-dispersal
12,node_from,Juniperus_communis
12,layer_from,2
12,node_to,Turdus.viscivorus
12,layer_to,2
12,weight,1
12,type,seed-dispersal
13,node_from,Juniperus_communis
13,layer_from,2
13,node_to,Turdus.iliacus
13,layer_to,2
13,weight,1
13,type,seed-dispersal
14,node_from,Juniperus_communis
14,layer_from,2
14,node_to,Turdus.torquatus
14,layer_to,2
14,weight,1
14,type,seed-dispersal
15,node_from,Juniperus_sabina
15,layer_from,2
15,node_to,Turdus.merula
15,layer_to,2
15,weight,1
15,type,seed-dispersal
16,node_from,Juniperus_sabina
16,layer_from,2
16,node_to,Turdus.viscivorus
16,layer_to,2
16,weight,1
16,type,seed-dispersal
17,node_from,Juniperus_sabina
17,layer_from,2
17,node_to,Turdus.iliacus
17,layer_to,2
17,weight,1
17,type,seed-dispersal
18,node_from,Juniperus_sabina
18,layer_from,2
18,node_to,Turdus.torquatus
18,layer_to,2
18,weight,1
18,type,seed-dispersal
19,node_from,Rosa_canina
19,layer_from,2
19,node_to,Turdus.merula
19,layer_to,2
19,weight,1
19,type,seed-dispersal
20,node_from,Rosa_canina
20,layer_from,2
20,node_to,Turdus.viscivorus
20,layer_to,2
20,weight,1
20,type,seed-dispersal
21,node_from,Rosa_canina
21,layer_from,2
21,node_to,Turdus.iliacus
21,layer_to,2
21,weight,1
21,type,seed-dispersal
22,node_from,Rosa_canina
22,layer_from,2
22,node_to,Turdus.torquatus
22,layer_to,2
22,weight,1
22,type,seed-dispersal
23,node_from,Berberis_vulgaris
23,layer_from,2
23,node_to,Turdus.merula
23,layer_to,2
23,weight,1
23,type,seed-dispersal
24,node_from,Berberis_vulgaris
24,layer_from,2
24,node_to,Turdus.viscivorus
24,layer_to,2
24,weight,1
24,type,seed-dispersal
25,node_from,Berberis_vulgaris
25,layer_from,2
25,node_to,Turdus.iliacus
25,layer_to,2
25,weight,1
25,type,seed-dispersal
26,node_from,Juniperus_phoenicea
26,layer_from,2
26,node_to,Turdus.merula
26,layer_to,2
26,weight,1
26,type,seed-dispersal
27,node_from,Juniperus_phoenicea
27,layer_from,2
27,node_to,Turdus.viscivorus
27,layer_to,2
27,weight,1
27,type,seed-dispersal
28,node_from,Juniperus_phoenicea
28,layer_from,2
28,node_to,Turdus.torquatus
28,layer_to,2
28,weight,1
28,type,seed-dispersal
29,node_from,Hedera_helix
29,layer_from,2
29,node_to,Turdus.merula
29,layer_to,2
29,weight,1
29,type,seed-dispersal
30,node_from,Hedera_helix
30,layer_from,2
30,node_to,Turdus.viscivorus
30,layer_to,2
30,weight,1
30,type,seed-dispersal
31,node_from,Lonicera_arborea
31,layer_from,2
31,node_to,Turdus.merula
31,layer_to,2
31,weight,1
31,type,seed-dispersal
32,node_from,Lonicera_arborea
32,layer_from,2
32,node_to,Turdus.torquatus
32,layer_to,2
32,weight,1
32,type,seed-dispersal
33,node_from,Taxus_baccata
33,layer_from,2
33,node_to,Turdus.merula
33,layer_to,2
33,weight,1
33,type,seed-dispersal
34,node_from,Taxus_baccata
34,layer_from,2
34,node_to,Turdus.viscivorus
34,layer_to,2
34,weight,1
34,type,seed-dispersal
35,node_from,Prunus_prostrata
35,layer_from,2
35,node_to,Turdus.merula
35,layer_to,2
35,weight,1
35,type,seed-dispersal
36,node_from,Rhamnus_myrtifolius
36,layer_from,2
36,node_to,Turdus.merula
36,layer_to,2
36,weight,1
36,type,seed-dispersal
37,node_from,Rhamnus_saxatilis
37,layer_from,2
37,node_to,Turdus.iliacus
37,layer_to,2
37,weight,1
37,type,seed-dispersal
38,node_from,Berberis_vulgaris
38,layer_from,3
38,node_to,Turdus.torquatus
38,layer_to,3
38,weight,1
38,type,seed-dispersal
39,node_from,Berberis_vulgaris
39,layer_from,3
39,node_to,Turdus.merula
39,layer_to,3
39,weight,1
39,type,seed-dispersal
40,node_from,Berberis_vulgaris
40,layer_from,3
40,node_to,Turdus.viscivorus
40,layer_to,3
40,weight,1
40,type,seed-dispersal
41,node_from,Berberis_vulgaris
41,layer_from,3
41,node_to,Turdus.iliacus
41,layer_to,3
41,weight,1
41,type,seed-dispersal
42,node_from,Berberis_vulgaris
42,layer_from,3
42,node_to,Turdus.philomelos
42,layer_to,3
42,weight,1
42,type,seed-dispersal
43,node_from,Crataegus_monogyna
43,layer_from,3
43,node_to,Turdus.torquatus
43,layer_to,3
43,weight,1
43,type,seed-dispersal
44,node_from,Crataegus_monogyna
44,layer_from,3
44,node_to,Turdus.merula
44,layer_to,3
44,weight,1
44,type,seed-dispersal
45,node_from,Crataegus_monogyna
45,layer_from,3
45,node_to,Turdus.viscivorus
45,layer_to,3
45,weight,1
45,type,seed-dispersal
46,node_from,Crataegus_monogyna
46,layer_from,3
46,node_to,Turdus.iliacus
46,layer_to,3
46,weight,1
46,type,seed-dispersal
47,node_from,Crataegus_monogyna
47,layer_from,3
47,node_to,Turdus.philomelos
47,layer_to,3
47,weight,1
47,type,seed-dispersal
48,node_from,Hedera_helix
48,layer_from,3
48,node_to,Turdus.torquatus
48,layer_to,3
48,weight,1
48,type,seed-dispersal
49,node_from,Hedera_helix
49,layer_from,3
49,node_to,Turdus.merula
49,layer_to,3
49,weight,1
49,type,seed-dispersal
50,node_from,Hedera_helix
50,layer_from,3
50,node_to,Turdus.viscivorus
50,layer_to,3
50,weight,1
50,type,seed-dispersal
51,node_from,Hedera_helix
51,layer_from,3
51,node_to,Turdus.iliacus
51,layer_to,3
51,weight,1
51,type,seed-dispersal
52,node_from,Taxus_baccata
52,layer_from,3
52,node_to,Turdus.torquatus
52,layer_to,3
52,weight,1
52,type,seed-dispersal
53,node_from,Taxus_baccata
53,layer_from,3
53,node_to,Turdus.merula
53,layer_to,3
53,weight,1
53,type,seed-dispersal
54,node_from,Taxus_baccata
54,layer_from,3
54,node_to,Turdus.viscivorus
54,layer_to,3
54,weight,1
54,type,seed-dispersal
55,node_from,Taxus_baccata
55,layer_from,3
55,node_to,Turdus.iliacus
55,layer_to,3
55,weight,1
55,type,seed-dispersal
56,node_from,Rosa_canina
56,layer_from,3
56,node_to,Turdus.torquatus
56,layer_to,3
56,weight,1
56,type,seed-dispersal
57,node_from,Rosa_canina
57,layer_from,3
57,node_to,Turdus.merula
57,layer_to,3
57,weight,1
57,type,seed-dispersal
58,node_from,Rosa_canina
58,layer_from,3
58,node_to,Turdus.viscivorus
58,layer_to,3
58,weight,1
58,type,seed-dispersal
59,node_from,Lonicera_arborea
59,layer_from,3
59,node_to,Turdus.torquatus
59,layer_to,3
59,weight,1
59,type,seed-dispersal
60,node_from,Lonicera_arborea
60,layer_from,3
60,node_to,Turdus.merula
60,layer_to,3
60,weight,1
60,type,seed-dispersal
61,node_from,Viscum_album
61,layer_from,3
61,node_to,Turdus.torquatus
61,layer_to,3
61,weight,1
61,type,seed-dispersal
62,node_from,Viscum_album
62,layer_from,3
62,node_to,Turdus.viscivorus
62,layer_to,3
62,weight,1
62,type,seed-dispersal
63,node_from,Juniperus_communis
63,layer_from,3
63,node_to,Turdus.torquatus
63,layer_to,3
63,weight,1
63,type,seed-dispersal
64,node_from,Juniperus_phoenicea
64,layer_from,4
64,node_to,Turdus.merula
64,layer_to,4
64,weight,1
64,type,seed-dispersal
65,node_from,Juniperus_phoenicea
65,layer_from,4
65,node_to,Turdus.iliacus
65,layer_to,4
65,weight,1
65,type,seed-dispersal
66,node_from,Juniperus_phoenicea
66,layer_from,4
66,node_to,Turdus.philomelos
66,layer_to,4
66,weight,1
66,type,seed-dispersal
67,node_from,Juniperus_phoenicea
67,layer_from,4
67,node_to,Turdus.torquatus
67,layer_to,4
67,weight,1
67,type,seed-dispersal
68,node_from,Juniperus_phoenicea
68,layer_from,4
68,node_to,Turdus.viscivorus
68,layer_to,4
68,weight,1
68,type,seed-dispersal
69,node_from,Osyris_quadripartita
69,layer_from,4
69,node_to,Turdus.merula
69,layer_to,4
69,weight,1
69,type,seed-dispersal
70,node_from,Osyris_quadripartita
70,layer_from,4
70,node_to,Turdus.iliacus
70,layer_to,4
70,weight,1
70,type,seed-dispersal
71,node_from,Osyris_quadripartita
71,layer_from,4
71,node_to,Turdus.philomelos
71,layer_to,4
71,weight,1
71,type,seed-dispersal
72,node_from,Corema_album
72,layer_from,4
72,node_to,Turdus.merula
72,layer_to,4
72,weight,1
72,type,seed-dispersal
73,node_from,Phillyrea_angustifolia
73,layer_from,4
73,node_to,Turdus.merula
73,layer_to,4
73,weight,1
73,type,seed-dispersal
74,node_from,Berberis_vulgaris
74,layer_from,5
74,node_to,Turdus.torquatus
74,layer_to,5
74,weight,1
74,type,seed-dispersal
75,node_from,Berberis_vulgaris
75,layer_from,5
75,node_to,Turdus.viscivorus
75,layer_to,5
75,weight,1
75,type,seed-dispersal
76,node_from,Berberis_vulgaris
76,layer_from,5
76,node_to,Turdus.iliacus
76,layer_to,5
76,weight,1
76,type,seed-dispersal
77,node_from,Berberis_vulgaris
77,layer_from,5
77,node_to,Turdus.merula
77,layer_to,5
77,weight,1
77,type,seed-dispersal
78,node_from,Juniperus_sabina
78,layer_from,5
78,node_to,Turdus.torquatus
78,layer_to,5
78,weight,1
78,type,seed-dispersal
79,node_from,Juniperus_sabina
79,layer_from,5
79,node_to,Turdus.viscivorus
79,layer_to,5
79,weight,1
79,type,seed-dispersal
80,node_from,Juniperus_sabina
80,layer_from,5
80,node_to,Turdus.iliacus
80,layer_to,5
80,weight,1
80,type,seed-dispersal
81,node_from,Juniperus_sabina
81,layer_from,5
81,node_to,Turdus.merula
81,layer_to,5
81,weight,1
81,type,seed-dispersal
82,node_from,Daphne_oleoides
82,layer_from,5
82,node_to,Turdus.viscivorus
82,layer_to,5
82,weight,1
82,type,seed-dispersal
83,node_from,Juniperus_communis
83,layer_from,5
83,node_to,Turdus.torquatus
83,layer_to,5
83,weight,1
83,type,seed-dispersal
84,node_from,Rosa_canina
84,layer_from,5
84,node_to,Turdus.torquatus
84,layer_to,5
84,weight,1
84,type,seed-dispersal
