"node_id","attribute","value"
1,"node_name","Abraxas_grossulariata"
1,"type","Herbivore"
1,"kingdom","Animals"
1,"taxa_verified","TRUE"
1,"verification_level","species"
2,"node_name","Acronicta_aceris"
2,"type","Herbivore"
2,"kingdom","Animals"
2,"taxa_verified","TRUE"
2,"verification_level","species"
3,"node_name","Acronicta_psi"
3,"type","Herbivore"
3,"kingdom","Animals"
3,"taxa_verified","TRUE"
3,"verification_level","species"
4,"node_name","Acronicta_strigosa"
4,"type","Herbivore"
4,"kingdom","Animals"
4,"taxa_verified","TRUE"
4,"verification_level","species"
5,"node_name","Acronicta_tridens"
5,"type","Herbivore"
5,"kingdom","Animals"
5,"taxa_verified","TRUE"
5,"verification_level","species"
6,"node_name","Agriopis_aurantiaria"
6,"type","Herbivore"
6,"kingdom","Animals"
6,"taxa_verified","TRUE"
6,"verification_level","species"
7,"node_name","Agriopis_marginaria"
7,"type","Herbivore"
7,"kingdom","Animals"
7,"taxa_verified","TRUE"
7,"verification_level","species"
8,"node_name","Agrochola_lota"
8,"type","Herbivore"
8,"kingdom","Animals"
8,"taxa_verified","TRUE"
8,"verification_level","species"
9,"node_name","Aleucis_distinctata"
9,"type","Herbivore"
9,"kingdom","Animals"
9,"taxa_verified","TRUE"
9,"verification_level","species"
10,"node_name","Allophyes_oxycanthae"
10,"type","Herbivore"
10,"kingdom","Animals"
10,"taxa_verified","FALSE"
11,"node_name","Alsophila_aescularia"
11,"type","Herbivore"
11,"kingdom","Animals"
11,"taxa_verified","TRUE"
11,"verification_level","species"
12,"node_name","Amphipyra_pyramidea"
12,"type","Herbivore"
12,"kingdom","Animals"
12,"taxa_verified","TRUE"
12,"verification_level","species"
13,"node_name","Angerona_prunaria"
13,"type","Herbivore"
13,"kingdom","Animals"
13,"taxa_verified","TRUE"
13,"verification_level","species"
14,"node_name","Apocheima_pilosaria"
14,"type","Herbivore"
14,"kingdom","Animals"
14,"taxa_verified","TRUE"
14,"verification_level","species"
15,"node_name","Aporia_crataegi"
15,"type","Herbivore"
15,"kingdom","Animals"
15,"taxa_verified","TRUE"
15,"verification_level","species"
16,"node_name","Biston_betularia"
16,"type","Herbivore"
16,"kingdom","Animals"
16,"taxa_verified","TRUE"
16,"verification_level","species"
17,"node_name","Blepharita_satura"
17,"type","Herbivore"
17,"kingdom","Animals"
17,"taxa_verified","TRUE"
17,"verification_level","species"
18,"node_name","Brachionycha_sphinx"
18,"type","Herbivore"
18,"kingdom","Animals"
18,"taxa_verified","TRUE"
18,"verification_level","genus"
19,"node_name","Callimorpha_dominula"
19,"type","Herbivore"
19,"kingdom","Animals"
19,"taxa_verified","TRUE"
19,"verification_level","species"
20,"node_name","Campaea_margaritata"
20,"type","Herbivore"
20,"kingdom","Animals"
20,"taxa_verified","TRUE"
20,"verification_level","species"
21,"node_name","Catocala_nupta"
21,"type","Herbivore"
21,"kingdom","Animals"
21,"taxa_verified","TRUE"
21,"verification_level","species"
22,"node_name","Chloroclysta_siterata"
22,"type","Herbivore"
22,"kingdom","Animals"
22,"taxa_verified","TRUE"
22,"verification_level","species"
23,"node_name","Chloroclystis_chloerata"
23,"type","Herbivore"
23,"kingdom","Animals"
23,"taxa_verified","FALSE"
24,"node_name","Chloroclystis_rectangulata"
24,"type","Herbivore"
24,"kingdom","Animals"
24,"taxa_verified","FALSE"
25,"node_name","Cilix_glaucata"
25,"type","Herbivore"
25,"kingdom","Animals"
25,"taxa_verified","TRUE"
25,"verification_level","species"
26,"node_name","Colocasia_coryli"
26,"type","Herbivore"
26,"kingdom","Animals"
26,"taxa_verified","TRUE"
26,"verification_level","species"
27,"node_name","Colotois_pennaria"
27,"type","Herbivore"
27,"kingdom","Animals"
27,"taxa_verified","TRUE"
27,"verification_level","species"
28,"node_name","Conistra_ligula"
28,"type","Herbivore"
28,"kingdom","Animals"
28,"taxa_verified","TRUE"
28,"verification_level","species"
29,"node_name","Cosmia_pyralina"
29,"type","Herbivore"
29,"kingdom","Animals"
29,"taxa_verified","TRUE"
29,"verification_level","species"
30,"node_name","Crocallis_elinguaria"
30,"type","Herbivore"
30,"kingdom","Animals"
30,"taxa_verified","TRUE"
30,"verification_level","species"
31,"node_name","Dasycampa_rubiginea"
31,"type","Herbivore"
31,"kingdom","Animals"
31,"taxa_verified","FALSE"
32,"node_name","Dasychira_fascelina"
32,"type","Herbivore"
32,"kingdom","Animals"
32,"taxa_verified","FALSE"
33,"node_name","Diarsia_mendica"
33,"type","Herbivore"
33,"kingdom","Animals"
33,"taxa_verified","TRUE"
33,"verification_level","species"
34,"node_name","Diloba_caeruleocephala"
34,"type","Herbivore"
34,"kingdom","Animals"
34,"taxa_verified","TRUE"
34,"verification_level","species"
35,"node_name","Egira_conspicillaris"
35,"type","Herbivore"
35,"kingdom","Animals"
35,"taxa_verified","TRUE"
35,"verification_level","species"
36,"node_name","Electrophaes_corylata"
36,"type","Herbivore"
36,"kingdom","Animals"
36,"taxa_verified","TRUE"
36,"verification_level","species"
37,"node_name","Ennomos_autumnaria"
37,"type","Herbivore"
37,"kingdom","Animals"
37,"taxa_verified","TRUE"
37,"verification_level","species"
38,"node_name","Epirrita_christyi"
38,"type","Herbivore"
38,"kingdom","Animals"
38,"taxa_verified","TRUE"
38,"verification_level","species"
39,"node_name","Epirrita_dilutata"
39,"type","Herbivore"
39,"kingdom","Animals"
39,"taxa_verified","TRUE"
39,"verification_level","species"
40,"node_name","Erannis_defoliaria"
40,"type","Herbivore"
40,"kingdom","Animals"
40,"taxa_verified","TRUE"
40,"verification_level","species"
41,"node_name","Eriogaster_lanestris"
41,"type","Herbivore"
41,"kingdom","Animals"
41,"taxa_verified","TRUE"
41,"verification_level","species"
42,"node_name","Eupithecia_exiguata"
42,"type","Herbivore"
42,"kingdom","Animals"
42,"taxa_verified","TRUE"
42,"verification_level","species"
43,"node_name","Euproctis_chrysorrhoea"
43,"type","Herbivore"
43,"kingdom","Animals"
43,"taxa_verified","TRUE"
43,"verification_level","species"
44,"node_name","Eupsilia_transversa"
44,"type","Herbivore"
44,"kingdom","Animals"
44,"taxa_verified","TRUE"
44,"verification_level","species"
45,"node_name","Eurois_occulata"
45,"type","Herbivore"
45,"kingdom","Animals"
45,"taxa_verified","FALSE"
46,"node_name","Gastropacha_quercifolia"
46,"type","Herbivore"
46,"kingdom","Animals"
46,"taxa_verified","TRUE"
46,"verification_level","species"
47,"node_name","Graphiphora_augur"
47,"type","Herbivore"
47,"kingdom","Animals"
47,"taxa_verified","TRUE"
47,"verification_level","species"
48,"node_name","Hydrelia_sylvata"
48,"type","Herbivore"
48,"kingdom","Animals"
48,"taxa_verified","TRUE"
48,"verification_level","species"
49,"node_name","Lasiocampa_quercus"
49,"type","Herbivore"
49,"kingdom","Animals"
49,"taxa_verified","TRUE"
49,"verification_level","species"
50,"node_name","Lasiocampa_trifolii"
50,"type","Herbivore"
50,"kingdom","Animals"
50,"taxa_verified","TRUE"
50,"verification_level","species"
51,"node_name","Lithophane_semibrunnea"
51,"type","Herbivore"
51,"kingdom","Animals"
51,"taxa_verified","TRUE"
51,"verification_level","species"
52,"node_name","Lithophane_socia"
52,"type","Herbivore"
52,"kingdom","Animals"
52,"taxa_verified","TRUE"
52,"verification_level","species"
53,"node_name","Lomographa_bimaculata"
53,"type","Herbivore"
53,"kingdom","Animals"
53,"taxa_verified","TRUE"
53,"verification_level","species"
54,"node_name","Lomographa_temerata"
54,"type","Herbivore"
54,"kingdom","Animals"
54,"taxa_verified","TRUE"
54,"verification_level","species"
55,"node_name","Malacosoma_neustria"
55,"type","Herbivore"
55,"kingdom","Animals"
55,"taxa_verified","TRUE"
55,"verification_level","species"
56,"node_name","Naenia_typica"
56,"type","Herbivore"
56,"kingdom","Animals"
56,"taxa_verified","TRUE"
56,"verification_level","species"
57,"node_name","Nola_confusalis"
57,"type","Herbivore"
57,"kingdom","Animals"
57,"taxa_verified","TRUE"
57,"verification_level","species"
58,"node_name","Nola_cucullatella"
58,"type","Herbivore"
58,"kingdom","Animals"
58,"taxa_verified","TRUE"
58,"verification_level","species"
59,"node_name","Nymphalis_polychlorus"
59,"type","Herbivore"
59,"kingdom","Animals"
59,"taxa_verified","FALSE"
60,"node_name","Odontopera_bidentata"
60,"type","Herbivore"
60,"kingdom","Animals"
60,"taxa_verified","TRUE"
60,"verification_level","species"
61,"node_name","Operophtera_brumata"
61,"type","Herbivore"
61,"kingdom","Animals"
61,"taxa_verified","TRUE"
61,"verification_level","species"
62,"node_name","Opisthograptis_luteolata"
62,"type","Herbivore"
62,"kingdom","Animals"
62,"taxa_verified","TRUE"
62,"verification_level","species"
63,"node_name","Orgyia_antiqua"
63,"type","Herbivore"
63,"kingdom","Animals"
63,"taxa_verified","TRUE"
63,"verification_level","species"
64,"node_name","Orgyia_recens"
64,"type","Herbivore"
64,"kingdom","Animals"
64,"taxa_verified","TRUE"
64,"verification_level","species"
65,"node_name","Orthosia_gothica"
65,"type","Herbivore"
65,"kingdom","Animals"
65,"taxa_verified","TRUE"
65,"verification_level","species"
66,"node_name","Orthosia_gracilis"
66,"type","Herbivore"
66,"kingdom","Animals"
66,"taxa_verified","TRUE"
66,"verification_level","species"
67,"node_name","Orthosia_incerta"
67,"type","Herbivore"
67,"kingdom","Animals"
67,"taxa_verified","TRUE"
67,"verification_level","species"
68,"node_name","Orthosia_munda"
68,"type","Herbivore"
68,"kingdom","Animals"
68,"taxa_verified","FALSE"
69,"node_name","Ourapteryx_sambucaria"
69,"type","Herbivore"
69,"kingdom","Animals"
69,"taxa_verified","TRUE"
69,"verification_level","species"
70,"node_name","Perconia_strigillaria"
70,"type","Herbivore"
70,"kingdom","Animals"
70,"taxa_verified","TRUE"
70,"verification_level","species"
71,"node_name","Phalera_bucephala"
71,"type","Herbivore"
71,"kingdom","Animals"
