layer,attribute,value
1,name,5354
1,type,space
2,name,5454
2,type,space
3,name,5557
3,type,space
4,name,5648
4,type,space
5,name,5854
5,type,space
6,name,5855
6,type,space
7,name,5858
7,type,space
8,name,5952
8,type,space
9,name,5954
9,type,space
10,name,5955
10,type,space
11,name,6051
11,type,space
12,name,6152
12,type,space
13,name,6455
13,type,space
14,name,6458
14,type,space
15,name,6549
15,type,space
16,name,6550
16,type,space
17,name,6559
17,type,space
18,name,6654
18,type,space
19,name,6670
19,type,space
20,name,6750
20,type,space
21,name,6751
21,type,space
22,name,6758
22,type,space
23,name,6854
23,type,space
24,name,6855
24,type,space
25,name,6863
25,type,space
26,name,6949
26,type,space
27,name,6950
27,type,space
28,name,6952
28,type,space
29,name,6955
29,type,space
30,name,6956
30,type,space
31,name,7052
31,type,space
32,name,7066
32,type,space
33,name,7069
33,type,space
34,name,7165
34,type,space
35,name,7166
35,type,space
36,name,7254
36,type,space
37,name,7266
37,type,space
38,name,5451
38,type,space
39,name,5548
39,type,space
40,name,5555
40,type,space
41,name,6250
41,type,space
42,name,6948
42,type,space
43,name,7049
43,type,space
44,name,6359
44,type,space
45,name,6753
45,type,space
46,name,6759
46,type,space
47,name,6849
47,type,space
48,name,6954
48,type,space
49,name,7051
49,type,space
50,name,7055
50,type,space
51,name,7264
51,type,space
52,name,5550
52,type,space
53,name,5559
53,type,space
54,name,5650
54,type,space
55,name,5748
55,type,space
56,name,5749
56,type,space
57,name,5848
57,type,space
58,name,5851
58,type,space
59,name,5852
59,type,space
60,name,5853
60,type,space
61,name,5959
61,type,space
62,name,6058
62,type,space
63,name,6143
63,type,space
64,name,6149
64,type,space
65,name,6243
65,type,space
66,name,6245
66,type,space
67,name,6264
67,type,space
68,name,6349
68,type,space
69,name,6351
69,type,space
70,name,6354
70,type,space
71,name,6356
71,type,space
72,name,6357
72,type,space
73,name,6454
73,type,space
74,name,6471
74,type,space
75,name,6555
75,type,space
76,name,6556
76,type,space
77,name,6557
77,type,space
78,name,6566
78,type,space
79,name,6568
79,type,space
80,name,6571
80,type,space
81,name,6572
81,type,space
82,name,6573
82,type,space
83,name,6652
83,type,space
84,name,6672
84,type,space
85,name,6755
85,type,space
86,name,6756
86,type,space
87,name,6757
87,type,space
88,name,6851
88,type,space
89,name,6859
89,type,space
90,name,6865
90,type,space
91,name,6953
91,type,space
92,name,6960
92,type,space
93,name,6965
93,type,space
94,name,6967
94,type,space
95,name,6969
95,type,space
96,name,6971
96,type,space
97,name,7062
97,type,space
98,name,7065
98,type,space
99,name,7067
99,type,space
100,name,7070
100,type,space
101,name,7152
101,type,space
102,name,7162
102,type,space
103,name,7163
103,type,space
104,name,7164
104,type,space
105,name,7167
105,type,space
106,name,7168
106,type,space
107,name,7267
107,type,space
108,name,5357
108,type,space
109,name,5450
109,type,space
110,name,5549
110,type,space
111,name,5552
111,type,space
112,name,5754
112,type,space
113,name,6062
113,type,space
114,name,6253
114,type,space
115,name,6773
115,type,space
116,name,5257
116,type,space
117,name,5358
117,type,space
118,name,5360
118,type,space
119,name,7171
119,type,space
120,name,5953
120,type,space
121,name,5742
121,type,space
122,name,6050
122,type,space
123,name,6254
123,type,space
124,name,6369
124,type,space
125,name,6443
125,type,space
126,name,6451
126,type,space
127,name,6553
127,type,space
128,name,6763
128,type,space
129,name,6765
129,type,space
130,name,7048
130,type,space
131,name,5457
131,type,space
132,name,5663
132,type,space
133,name,6853
133,type,space
134,name,6158
134,type,space
135,name,6554
135,type,space
136,name,6575
136,type,space
137,name,6772
137,type,space
138,name,5455
138,type,space
139,name,5969
139,type,space
140,name,6052
140,type,space
141,name,6169
141,type,space
142,name,6273
142,type,space
143,name,6355
143,type,space
144,name,6370
144,type,space
145,name,6547
145,type,space
146,name,6671
146,type,space
147,name,7063
147,type,space
148,name,5155
148,type,space
149,name,5764
149,type,space
150,name,6847
150,type,space
151,name,7263
151,type,space
152,name,5951
152,type,space
153,name,6257
153,type,space
154,name,6649
154,type,space
155,name,6748
155,type,space
156,name,6574
156,type,space
157,name,6647
157,type,space
158,name,5653
158,type,space
159,name,6265
159,type,space
160,name,7252
160,type,space
161,name,5945
161,type,space
162,name,6673
162,type,space
163,name,6650
163,type,space
164,name,7155
164,type,space
165,name,6053
165,type,space
166,name,5363
166,type,space
167,name,6064
167,type,space
168,name,6259
168,type,space
169,name,6353
169,type,space
170,name,5750
170,type,space
171,name,5849
171,type,space
172,name,5946
172,type,space
173,name,5960
173,type,space
174,name,5961
174,type,space
175,name,6248
175,type,space
176,name,6270
176,type,space
177,name,6347
177,type,space
178,name,6350
178,type,space
179,name,6447
179,type,space
180,name,6449
180,type,space
181,name,6456
181,type,space
182,name,6565
182,type,space
183,name,6570
183,type,space
184,name,6578
184,type,space
185,name,6648
185,type,space
186,name,6858
186,type,space
187,name,6869
187,type,space
188,name,6947
188,type,space
189,name,6961
189,type,space
190,name,6970
190,type,space
191,name,7068
191,type,space
192,name,7151
192,type,space
193,name,6164
193,type,space
194,name,6665
194,type,space
195,name,6669
195,type,space
196,name,6771
196,type,space
197,name,6867
197,type,space
198,name,6951
198,type,space
199,name,7050
199,type,space
200,name,7059
200,type,space
201,name,7154
201,type,space
202,name,7250
202,type,space
203,name,7251
203,type,space
204,name,7253
204,type,space
205,name,5362
205,type,space
206,name,5453
206,type,space
207,name,5551
207,type,space
208,name,5649
208,type,space
209,name,5753
209,type,space
210,name,5759
210,type,space
211,name,6145
211,type,space
