"node_id","attribute","value"
1,"node_name","algae"
1,"type","taxon"
1,"taxonomy_name","Archanara algae"
1,"taxonomy_rank","species"
1,"taxa_verified","FALSE"
2,"node_name","plankton"
2,"type","taxon"
2,"taxonomy_name","Plankton"
2,"taxonomy_rank",NA
2,"taxa_verified","FALSE"
3,"node_name","Acmaea_testudinalis"
3,"type","taxon"
3,"taxonomy_name",NA
3,"taxonomy_rank",NA
3,"taxa_verified","FALSE"
4,"node_name","Littorina"
4,"type","taxon"
4,"taxonomy_name","Littorina"
4,"taxonomy_rank","genus"
4,"taxa_verified","TRUE"
4,"verification_level","genus"
5,"node_name","Mytilus_edulis"
5,"type","taxon"
5,"taxonomy_name","Mytilus edulis"
5,"taxonomy_rank","species"
5,"taxa_verified","TRUE"
5,"verification_level","species"
6,"node_name","Balanus_balanoides"
6,"type","taxon"
6,"taxonomy_name","Semibalanus balanoides"
6,"taxonomy_rank","species"
6,"taxa_verified","TRUE"
6,"verification_level","species"
7,"node_name","Thais_lapillus"
7,"type","taxon"
7,"taxonomy_name","Nucella lapillus"
7,"taxonomy_rank","species"
7,"taxa_verified","TRUE"
7,"verification_level","species"
8,"node_name","detritus"
8,"type","taxon"
8,"taxonomy_name",NA
8,"taxonomy_rank",NA
8,"taxa_verified","FALSE"
9,"node_name","acorn_barnacles"
9,"type","taxon"
9,"taxonomy_name","Sessilia"
9,"taxonomy_rank","order"
9,"taxa_verified","FALSE"
10,"node_name","limpets"
10,"type","taxon"
10,"taxonomy_name","Gastropoda"
10,"taxonomy_rank","class"
10,"taxa_verified","TRUE"
10,"verification_level","class"
11,"node_name","chitons"
11,"type","taxon"
11,"taxonomy_name","Neoloricata"
11,"taxonomy_rank",NA
11,"taxa_verified","TRUE"
11,"verification_level","subclass"
12,"node_name","other_herbivorous_gastropods"
12,"type","taxon"
12,"taxonomy_name","Gastropoda"
12,"taxonomy_rank","class"
12,"taxa_verified","TRUE"
12,"verification_level","class"
13,"node_name","Thais"
13,"type","taxon"
13,"taxonomy_name","Thais"
13,"taxonomy_rank","genus"
13,"taxa_verified","TRUE"
13,"verification_level","genus"
14,"node_name","Seariesia"
14,"type","taxon"
14,"taxonomy_name","Lirabuccinum fuscolabiatum"
14,"taxonomy_rank","species"
14,"taxa_verified","TRUE"
14,"verification_level","species"
15,"node_name","Mytilus_californianus"
15,"type","taxon"
15,"taxonomy_name","Mytilus californianus"
15,"taxonomy_rank","species"
15,"taxa_verified","TRUE"
15,"verification_level","species"
16,"node_name","Pisaster"
16,"type","taxon"
16,"taxonomy_name","Pisaster"
16,"taxonomy_rank","genus"
16,"taxa_verified","TRUE"
16,"verification_level","genus"
17,"node_name","Leptasterias"
17,"type","taxon"
17,"taxonomy_name","Leptasterias"
17,"taxonomy_rank","genus"
17,"taxa_verified","TRUE"
17,"verification_level","genus"
