"interaction_id","attribute","value"
1,"node_from","Cirsium_arvense"
1,"layer_from","1"
1,"node_to","Meligethes_sp1_M_PL_037"
1,"layer_to","1"
1,"weight","1"
1,"type","pollination"
2,"node_from","Cirsium_arvense"
2,"layer_from","1"
2,"node_to","Bombus_lapidarius"
2,"layer_to","1"
2,"weight","1"
2,"type","pollination"
3,"node_from","Cirsium_arvense"
3,"layer_from","1"
3,"node_to","Bombus_pascuorum"
3,"layer_to","1"
3,"weight","1"
3,"type","pollination"
4,"node_from","Cirsium_arvense"
4,"layer_from","1"
4,"node_to","Unidentified_sp1_M_PL_037"
4,"layer_to","1"
4,"weight","1"
4,"type","pollination"
5,"node_from","Cirsium_arvense"
5,"layer_from","1"
5,"node_to","Unidentified_sp2_M_PL_037"
5,"layer_to","1"
5,"weight","1"
5,"type","pollination"
6,"node_from","Cirsium_arvense"
6,"layer_from","1"
6,"node_to","Apocrita_sp1_M_PL_037"
6,"layer_to","1"
6,"weight","1"
6,"type","pollination"
7,"node_from","Cirsium_arvense"
7,"layer_from","1"
7,"node_to","Unidentified_sp3_M_PL_037"
7,"layer_to","1"
7,"weight","1"
7,"type","pollination"
8,"node_from","Cirsium_arvense"
8,"layer_from","1"
8,"node_to","Bombus_terrestris"
8,"layer_to","1"
8,"weight","1"
8,"type","pollination"
9,"node_from","Cirsium_arvense"
9,"layer_from","1"
9,"node_to","Olibrus_aeneus"
9,"layer_to","1"
9,"weight","1"
9,"type","pollination"
10,"node_from","Cirsium_arvense"
10,"layer_from","1"
10,"node_to","Thymelicus_sylvestris"
10,"layer_to","1"
10,"weight","1"
10,"type","pollination"
11,"node_from","Cirsium_arvense"
11,"layer_from","1"
11,"node_to","Unidentified_sp5_M_PL_037"
11,"layer_to","1"
11,"weight","1"
11,"type","pollination"
12,"node_from","Cirsium_arvense"
12,"layer_from","1"
12,"node_to","Unidentified_sp6_M_PL_037"
12,"layer_to","1"
12,"weight","1"
12,"type","pollination"
13,"node_from","Cirsium_arvense"
13,"layer_from","1"
13,"node_to","Epuraea_depressa_Illiger"
13,"layer_to","1"
13,"weight","1"
13,"type","pollination"
14,"node_from","Cirsium_arvense"
14,"layer_from","1"
14,"node_to","Pieris_napi"
14,"layer_to","1"
14,"weight","1"
14,"type","pollination"
15,"node_from","Cirsium_arvense"
15,"layer_from","1"
15,"node_to","Strangalia_maculata"
15,"layer_to","1"
15,"weight","1"
15,"type","pollination"
16,"node_from","Cirsium_arvense"
16,"layer_from","1"
16,"node_to","Unidentified_sp12_M_PL_037"
16,"layer_to","1"
16,"weight","1"
16,"type","pollination"
17,"node_from","Cirsium_arvense"
17,"layer_from","1"
17,"node_to","Unidentified_sp13_M_PL_037"
17,"layer_to","1"
17,"weight","1"
17,"type","pollination"
18,"node_from","Eupatorium_cannabinum"
18,"layer_from","1"
18,"node_to","Meligethes_sp1_M_PL_037"
18,"layer_to","1"
18,"weight","1"
18,"type","pollination"
19,"node_from","Eupatorium_cannabinum"
19,"layer_from","1"
19,"node_to","Bombus_lapidarius"
19,"layer_to","1"
19,"weight","1"
19,"type","pollination"
20,"node_from","Eupatorium_cannabinum"
20,"layer_from","1"
20,"node_to","Bombus_pascuorum"
20,"layer_to","1"
20,"weight","1"
20,"type","pollination"
21,"node_from","Eupatorium_cannabinum"
21,"layer_from","1"
21,"node_to","Apocrita_sp1_M_PL_037"
21,"layer_to","1"
21,"weight","1"
21,"type","pollination"
22,"node_from","Eupatorium_cannabinum"
22,"layer_from","1"
22,"node_to","Bombus_terrestris"
22,"layer_to","1"
22,"weight","1"
22,"type","pollination"
23,"node_from","Eupatorium_cannabinum"
23,"layer_from","1"
23,"node_to","Bombus_lucorum"
23,"layer_to","1"
23,"weight","1"
23,"type","pollination"
24,"node_from","Eupatorium_cannabinum"
24,"layer_from","1"
24,"node_to","Ceuthorrhynchus_assimilis"
24,"layer_to","1"
24,"weight","1"
24,"type","pollination"
25,"node_from","Eupatorium_cannabinum"
25,"layer_from","1"
25,"node_to","Eoseristalis_horticola"
25,"layer_to","1"
25,"weight","1"
25,"type","pollination"
26,"node_from","Eupatorium_cannabinum"
26,"layer_from","1"
26,"node_to","Psithyrus_bohemicus"
26,"layer_to","1"
26,"weight","1"
26,"type","pollination"
27,"node_from","Stachys_palustris"
27,"layer_from","1"
27,"node_to","Meligethes_sp1_M_PL_037"
27,"layer_to","1"
27,"weight","1"
27,"type","pollination"
28,"node_from","Stachys_palustris"
28,"layer_from","1"
28,"node_to","Bombus_pascuorum"
28,"layer_to","1"
28,"weight","1"
28,"type","pollination"
29,"node_from","Stachys_palustris"
29,"layer_from","1"
29,"node_to","Unidentified_sp1_M_PL_037"
29,"layer_to","1"
29,"weight","1"
29,"type","pollination"
30,"node_from","Stachys_palustris"
30,"layer_from","1"
30,"node_to","Episyrphus_balteatus"
30,"layer_to","1"
30,"weight","1"
30,"type","pollination"
31,"node_from","Stachys_palustris"
31,"layer_from","1"
31,"node_to","Eumerus_tuberculatus"
31,"layer_to","1"
31,"weight","1"
31,"type","pollination"
32,"node_from","Stachys_palustris"
32,"layer_from","1"
32,"node_to","Chrysomela_fastuosa"
32,"layer_to","1"
32,"weight","1"
32,"type","pollination"
33,"node_from","Stachys_palustris"
33,"layer_from","1"
33,"node_to","Mesapamea_secalis"
33,"layer_to","1"
33,"weight","1"
33,"type","pollination"
34,"node_from","Stachys_palustris"
34,"layer_from","1"
34,"node_to","Unidentified_sp11_M_PL_037"
34,"layer_to","1"
34,"weight","1"
34,"type","pollination"
35,"node_from","Stachys_palustris"
35,"layer_from","1"
35,"node_to","Unidentified_sp15_M_PL_037"
35,"layer_to","1"
35,"weight","1"
35,"type","pollination"
36,"node_from","Sonchus_palustris"
36,"layer_from","1"
36,"node_to","Meligethes_sp1_M_PL_037"
36,"layer_to","1"
36,"weight","1"
36,"type","pollination"
37,"node_from","Sonchus_palustris"
37,"layer_from","1"
37,"node_to","Bombus_lapidarius"
37,"layer_to","1"
37,"weight","1"
37,"type","pollination"
38,"node_from","Sonchus_palustris"
38,"layer_from","1"
38,"node_to","Episyrphus_balteatus"
38,"layer_to","1"
38,"weight","1"
38,"type","pollination"
39,"node_from","Sonchus_palustris"
39,"layer_from","1"
39,"node_to","Unidentified_sp3_M_PL_037"
39,"layer_to","1"
39,"weight","1"
39,"type","pollination"
40,"node_from","Sonchus_palustris"
40,"layer_from","1"
40,"node_to","Scaeva_pyrastri"
40,"layer_to","1"
40,"weight","1"
40,"type","pollination"
41,"node_from","Sonchus_palustris"
41,"layer_from","1"
41,"node_to","Syrphus_ribesii"
41,"layer_to","1"
41,"weight","1"
41,"type","pollination"
42,"node_from","Sonchus_palustris"
42,"layer_from","1"
42,"node_to","Syrphus_vitripennis"
42,"layer_to","1"
42,"weight","1"
42,"type","pollination"
43,"node_from","Sonchus_palustris"
43,"layer_from","1"
43,"node_to","Unidentified_sp9_M_PL_037"
43,"layer_to","1"
43,"weight","1"
43,"type","pollination"
44,"node_from","Juncus_effusus"
44,"layer_from","1"
44,"node_to","Meligethes_sp1_M_PL_037"
44,"layer_to","1"
44,"weight","1"
44,"type","pollination"
45,"node_from","Juncus_effusus"
45,"layer_from","1"
45,"node_to","Unidentified_sp1_M_PL_037"
45,"layer_to","1"
45,"weight","1"
45,"type","pollination"
46,"node_from","Juncus_effusus"
46,"layer_from","1"
46,"node_to","Unidentified_sp2_M_PL_037"
46,"layer_to","1"
46,"weight","1"
46,"type","pollination"
47,"node_from","Juncus_effusus"
47,"layer_from","1"
47,"node_to","Unidentified_sp4_M_PL_037"
47,"layer_to","1"
47,"weight","1"
47,"type","pollination"
48,"node_from","Juncus_effusus"
48,"layer_from","1"
48,"node_to","Olibrus_aeneus"
48,"layer_to","1"
48,"weight","1"
48,"type","pollination"
49,"node_from","Juncus_effusus"
49,"layer_from","1"
49,"node_to","Unidentified_sp8_M_PL_037"
49,"layer_to","1"
49,"weight","1"
49,"type","pollination"
50,"node_from","Lychnis_flos_cuculi"
50,"layer_from","1"
50,"node_to","Unidentified_sp1_M_PL_037"
50,"layer_to","1"
50,"weight","1"
50,"type","pollination"
