interaction_id,attribute,value
1,node_from,Halictus_sp.
1,layer_from,1
1,node_to,Azorina_vidalii
1,layer_to,1
1,weight,98
1,type,pollination
1,method,field observations
2,node_from,Sepsis_thoracica
2,layer_from,1
2,node_to,Azorina_vidalii
2,layer_to,1
2,weight,51
2,type,pollination
2,method,field observations
3,node_from,Bombus_ruderatus
3,layer_from,1
3,node_to,Azorina_vidalii
3,layer_to,1
3,weight,9
3,type,pollination
3,method,field observations
4,node_from,Colias_crocea
4,layer_from,1
4,node_to,Azorina_vidalii
4,layer_to,1
4,weight,9
4,type,pollination
4,method,field observations
5,node_from,Musca_domestica
5,layer_from,1
5,node_to,Azorina_vidalii
5,layer_to,1
5,weight,23
5,type,pollination
5,method,field observations
6,node_from,Apis_mellifera
6,layer_from,1
6,node_to,Azorina_vidalii
6,layer_to,1
6,weight,89
6,type,pollination
6,method,field observations
7,node_from,Lasius_niger
7,layer_from,1
7,node_to,Azorina_vidalii
7,layer_to,1
7,weight,37
7,type,pollination
7,method,field observations
8,node_from,Calliphora_vemitoria
8,layer_from,1
8,node_to,Azorina_vidalii
8,layer_to,1
8,weight,13
8,type,pollination
8,method,field observations
9,node_from,Sepsis_thoracica
9,layer_from,1
9,node_to,Crithmum_maritimum
9,layer_to,1
9,weight,87
9,type,pollination
9,method,field observations
10,node_from,Musca_domestica
10,layer_from,1
10,node_to,Crithmum_maritimum
10,layer_to,1
10,weight,83
10,type,pollination
10,method,field observations
11,node_from,Lucilia_sericata
11,layer_from,1
11,node_to,Crithmum_maritimum
11,layer_to,1
11,weight,93
11,type,pollination
11,method,field observations
12,node_from,Eristalix_tenax
12,layer_from,1
12,node_to,Crithmum_maritimum
12,layer_to,1
12,weight,12
12,type,pollination
12,method,field observations
13,node_from,Halictus_sp.
13,layer_from,1
13,node_to,Solidago_sempervivens
13,layer_to,1
13,weight,141
13,type,pollination
13,method,field observations
14,node_from,Agrotis_ipsilon
14,layer_from,1
14,node_to,Solidago_sempervivens
14,layer_to,1
14,weight,22
14,type,pollination
14,method,field observations
15,node_from,Sepsis_thoracica
15,layer_from,1
15,node_to,Beta_vulgaris
15,layer_to,1
15,weight,8
15,type,pollination
15,method,field observations
16,node_from,Halictus_sp.
16,layer_from,1
16,node_to,Daucus_carota
16,layer_to,1
16,weight,11
16,type,pollination
16,method,field observations
17,node_from,Musca_domestica
17,layer_from,1
17,node_to,Daucus_carota
17,layer_to,1
17,weight,102
17,type,pollination
17,method,field observations
18,node_from,Lucilia_sericata
18,layer_from,1
18,node_to,Daucus_carota
18,layer_to,1
18,weight,8
18,type,pollination
18,method,field observations
19,node_from,Halictus_sp.
19,layer_from,1
19,node_to,Silene_vulgaris
19,layer_to,1
19,weight,7
19,type,pollination
19,method,field observations
20,node_from,Sepsis_thoracica
20,layer_from,1
20,node_to,Silene_vulgaris
20,layer_to,1
20,weight,30
20,type,pollination
20,method,field observations
21,node_from,Halictus_sp.
21,layer_from,1
21,node_to,Chamomilla_suaveolens
21,layer_to,1
21,weight,21
21,type,pollination
21,method,field observations
22,node_from,Musca_domestica
22,layer_from,1
22,node_to,Chamomilla_suaveolens
22,layer_to,1
22,weight,42
22,type,pollination
22,method,field observations
23,node_from,Anothomyia_pluvialis
23,layer_from,1
23,node_to,Chamomilla_suaveolens
23,layer_to,1
23,weight,23
23,type,pollination
23,method,field observations
24,node_from,Bombus_ruderatus
24,layer_from,1
24,node_to,Lotus_corniculatus
24,layer_to,1
24,weight,47
24,type,pollination
24,method,field observations
25,node_from,Colias_crocea
25,layer_from,1
25,node_to,Lotus_corniculatus
25,layer_to,1
25,weight,21
25,type,pollination
25,method,field observations
26,node_from,Apis_mellifera
26,layer_from,1
26,node_to,Lotus_corniculatus
26,layer_to,1
26,weight,9
26,type,pollination
26,method,field observations
27,node_from,Bombus_ruderatus
27,layer_from,1
27,node_to,Freesia_refracta
27,layer_to,1
27,weight,11
27,type,pollination
27,method,field observations
28,node_from,Colias_crocea
28,layer_from,1
28,node_to,Freesia_refracta
28,layer_to,1
28,weight,12
28,type,pollination
28,method,field observations
29,node_from,Halictus_sp.
29,layer_from,1
29,node_to,Reseda_luteola
29,layer_to,1
29,weight,11
29,type,pollination
29,method,field observations
30,node_from,Apis_mellifera
30,layer_from,1
30,node_to,Reseda_luteola
30,layer_to,1
30,weight,9
30,type,pollination
30,method,field observations
31,node_from,Stratiomydae_sp.
31,layer_from,2
31,node_to,Leucaena_leucocephala
31,layer_to,2
31,weight,5
31,type,pollination
31,method,field observations
32,node_from,Phelsuma_ornata
32,layer_from,2
32,node_to,Passiflora_suberosa
32,layer_to,2
32,weight,7
32,type,pollination
32,method,field observations
33,node_from,Phalantha_phalantha
33,layer_from,2
33,node_to,Stachytapheta_jamaicencis
33,layer_to,2
33,weight,26
33,type,pollination
33,method,field observations
34,node_from,Leptotes_pirithous
34,layer_from,2
34,node_to,Stachytapheta_jamaicencis
34,layer_to,2
34,weight,1
34,type,pollination
34,method,field observations
35,node_from,Syrphid_sp.
35,layer_from,2
35,node_to,Stachytapheta_jamaicencis
35,layer_to,2
35,weight,2
35,type,pollination
35,method,field observations
36,node_from,Xylocopa_fenestrata
36,layer_from,2
36,node_to,Turnera_angustifolia
36,layer_to,2
36,weight,2
36,type,pollination
36,method,field observations
37,node_from,Borbo_borbonica
37,layer_from,2
37,node_to,Turnera_angustifolia
37,layer_to,2
37,weight,1
37,type,pollination
37,method,field observations
38,node_from,Phelsuma_ornata
38,layer_from,2
38,node_to,Gastonia_mauritiana
38,layer_to,2
38,weight,30
38,type,pollination
38,method,field observations
39,node_from,Stratiomydae_sp.
39,layer_from,2
39,node_to,Gastonia_mauritiana
39,layer_to,2
39,weight,16
39,type,pollination
39,method,field observations
