"node_id","attribute","value"
1,"node_name","Azorina_vidalii"
1,"type","plant"
1,"taxonomy_name","Azorina vidalii"
1,"taxonomy_rank","species"
1,"taxa_verified","TRUE"
1,"verification_level","species"
2,"node_name","Crithmum_maritimum"
2,"type","plant"
2,"taxonomy_name","Crithmum maritimum"
2,"taxonomy_rank","species"
2,"taxa_verified","TRUE"
2,"verification_level","species"
3,"node_name","Beta_vulgaris"
3,"type","plant"
3,"taxonomy_name","Beta vulgaris"
3,"taxonomy_rank","species"
3,"taxa_verified","TRUE"
3,"verification_level","species"
4,"node_name","Daucus_carota"
4,"type","plant"
4,"taxonomy_name","Daucus carota"
4,"taxonomy_rank","species"
4,"taxa_verified","TRUE"
4,"verification_level","species"
5,"node_name","Silene_vulgaris"
5,"type","plant"
5,"taxonomy_name","Silene vulgaris"
5,"taxonomy_rank","species"
5,"taxa_verified","TRUE"
5,"verification_level","species"
6,"node_name","Lotus_corniculatus"
6,"type","plant"
6,"taxonomy_name","Lotus corniculatus"
6,"taxonomy_rank","species"
6,"taxa_verified","TRUE"
6,"verification_level","species"
7,"node_name","Freesia_refracta"
7,"type","plant"
7,"taxonomy_name","Freesia refracta"
7,"taxonomy_rank","species"
7,"taxa_verified","TRUE"
7,"verification_level","species"
8,"node_name","Reseda_luteola"
8,"type","plant"
8,"taxonomy_name","Reseda luteola"
8,"taxonomy_rank","species"
8,"taxa_verified","TRUE"
8,"verification_level","species"
9,"node_name","Halictus_sp."
9,"type","pollinator"
9,"taxonomy_name","Halictus"
9,"taxonomy_rank","genus"
9,"taxa_verified","TRUE"
9,"verification_level","subgenus"
10,"node_name","Sepsis_thoracica"
10,"type","pollinator"
10,"taxonomy_name","Micropeza thoracicum"
10,"taxonomy_rank","species"
10,"taxa_verified","FALSE"
11,"node_name","Bombus_ruderatus"
11,"type","pollinator"
11,"taxonomy_name","Bombus ruderatus"
11,"taxonomy_rank","species"
11,"taxa_verified","TRUE"
11,"verification_level","species"
12,"node_name","Colias_crocea"
12,"type","pollinator"
12,"taxonomy_name","Colias crocea"
12,"taxonomy_rank",NA
12,"taxa_verified","TRUE"
12,"verification_level","species"
13,"node_name","Musca_domestica"
13,"type","pollinator"
13,"taxonomy_name","Musca domestica"
13,"taxonomy_rank","species"
13,"taxa_verified","TRUE"
13,"verification_level","species"
14,"node_name","Apis_mellifera"
14,"type","pollinator"
14,"taxonomy_name","Apis mellifera"
14,"taxonomy_rank","species"
14,"taxa_verified","TRUE"
14,"verification_level","species"
15,"node_name","Lasius_niger"
15,"type","pollinator"
15,"taxonomy_name","Lasius niger"
15,"taxonomy_rank","species"
15,"taxa_verified","TRUE"
15,"verification_level","species"
16,"node_name","Lucilia_sericata"
16,"type","pollinator"
16,"taxonomy_name","Lucilia sericata"
16,"taxonomy_rank","species"
16,"taxa_verified","TRUE"
16,"verification_level","species"
17,"node_name","Eristalix_tenax"
17,"type","pollinator"
17,"taxonomy_name","Eristalix tenax"
17,"taxonomy_rank",NA
17,"taxa_verified","TRUE"
17,"verification_level","species"
18,"node_name","Agrotis_ipsilon"
18,"type","pollinator"
18,"taxonomy_name","Agrotis ipsilon"
18,"taxonomy_rank","species"
18,"taxa_verified","TRUE"
18,"verification_level","species"
19,"node_name","Anothomyia_pluvialis"
19,"type","pollinator"
19,"taxonomy_name","Anothomyia pluvialis"
19,"taxonomy_rank",NA
19,"taxa_verified","FALSE"
20,"node_name","Solidago_sempervivens"
20,"type","plant"
20,"taxonomy_name",NA
20,"taxonomy_rank",NA
20,"taxa_verified","FALSE"
21,"node_name","Chamomilla_suaveolens"
21,"type","plant"
21,"taxonomy_name",NA
21,"taxonomy_rank",NA
21,"taxa_verified","FALSE"
22,"node_name","Calliphora_vemitoria"
22,"type","pollinator"
22,"taxonomy_name",NA
22,"taxonomy_rank",NA
22,"taxa_verified","FALSE"
23,"node_name","Gastonia_mauritiana"
23,"type","plant"
23,"taxonomy_name","Polyscias maraisiana"
23,"taxonomy_rank","species"
23,"taxa_verified","TRUE"
23,"verification_level","species"
24,"node_name","Dracaena_concinna"
24,"type","plant"
24,"taxonomy_name","Dracaena concinna"
24,"taxonomy_rank","species"
24,"taxa_verified","TRUE"
24,"verification_level","species"
25,"node_name","Scaevola_sericea"
25,"type","plant"
25,"taxonomy_name","Scaevola sericea"
25,"taxonomy_rank","species"
25,"taxa_verified","TRUE"
25,"verification_level","species"
26,"node_name","Ipomoea_macrantha"
26,"type","plant"
26,"taxonomy_name","Ipomoea murucoides"
26,"taxonomy_rank","species"
26,"taxa_verified","TRUE"
26,"verification_level","species"
27,"node_name","Pemphis_acidula"
27,"type","plant"
27,"taxonomy_name","Pemphis acidula"
27,"taxonomy_rank","species"
27,"taxa_verified","TRUE"
27,"verification_level","species"
28,"node_name","Hibiscus_tiliaceus"
28,"type","plant"
28,"taxonomy_name","Talipariti tiliaceum"
28,"taxonomy_rank","species"
28,"taxa_verified","TRUE"
28,"verification_level","species"
29,"node_name","Suriana_maritima"
29,"type","plant"
29,"taxonomy_name","Suriana maritima"
29,"taxonomy_rank","species"
29,"taxa_verified","TRUE"
29,"verification_level","species"
30,"node_name","Argusia_argentea"
30,"type","plant"
30,"taxonomy_name","Heliotropium foertherianum"
30,"taxonomy_rank","species"
30,"taxa_verified","TRUE"
30,"verification_level","species"
31,"node_name","Thespesia_populnea"
31,"type","plant"
31,"taxonomy_name","Thespesia populnea"
31,"taxonomy_rank","species"
31,"taxa_verified","TRUE"
31,"verification_level","species"
32,"node_name","Morinda_citrifolia"
32,"type","plant"
32,"taxonomy_name","Morinda citrifolia"
32,"taxonomy_rank","species"
32,"taxa_verified","TRUE"
32,"verification_level","species"
33,"node_name","Leucaena_leucocephala"
33,"type","plant"
33,"taxonomy_name","Leucaena leucocephala"
33,"taxonomy_rank","species"
33,"taxa_verified","TRUE"
33,"verification_level","species"
34,"node_name","Passiflora_suberosa"
34,"type","plant"
34,"taxonomy_name","Passiflora suberosa"
34,"taxonomy_rank","species"
34,"taxa_verified","TRUE"
34,"verification_level","species"
35,"node_name","Turnera_angustifolia"
35,"type","plant"
35,"taxonomy_name","Turnera angustifolia"
35,"taxonomy_rank",NA
35,"taxa_verified","TRUE"
35,"verification_level","species"
36,"node_name","Phelsuma_ornata"
36,"type","pollinator"
36,"taxonomy_name","Phelsuma ornata"
36,"taxonomy_rank","species"
36,"taxa_verified","TRUE"
36,"verification_level","species"
37,"node_name","Protaetia_aurichalcea"
37,"type","pollinator"
37,"taxonomy_name","Protaetia aurichalcea"
