layer,attribute,value
1,type,space
1,decsription,anemonefish-anemone network
1,location,"Manado region of Sulawesi, Indonesia,  Bajo"
1,latitude,1.787
1,longitude,124.778
1,date,01/07/2006
2,type,space
2,decsription,anemonefish-anemone network
2,location,"Manado region of Sulawesi, Indonesia,  Bahowo"
2,latitude,1.585
2,longitude,124.819
2,date,01/07/2006
3,type,space
3,decsription,anemonefish-anemone network
3,location,"Manado region of Sulawesi, Indonesia,  Batu Kapal"
3,latitude,1.616
3,longitude,124.704
3,date,01/07/2006
4,type,space
4,decsription,anemonefish-anemone network
4,location,"Manado region of Sulawesi, Indonesia,  Fukui"
4,latitude,1.767
4,longitude,124.793
4,date,01/07/2006
5,type,space
5,decsription,anemonefish-anemone network
5,location,"Manado region of Sulawesi, Indonesia,  Mandolin"
5,latitude,1.608
5,longitude,124.735
5,date,01/07/2006
6,type,space
6,decsription,anemonefish-anemone network
6,location,"Manado region of Sulawesi, Indonesia,  Mapia"
6,latitude,1.455
6,longitude,124.744
6,date,01/07/2006
7,type,space
7,decsription,anemonefish-anemone network
7,location,"Manado region of Sulawesi, Indonesia,  Bualo"
7,latitude,1.606
7,longitude,124.752
7,date,01/07/2006
8,type,space
8,decsription,anemonefish-anemone network
8,location,"Manado region of Sulawesi, Indonesia,  Likuan 1"
8,latitude,1.594
8,longitude,124.773
8,date,01/07/2006
9,type,space
9,decsription,anemonefish-anemone network
9,location,"Manado region of Sulawesi, Indonesia,  T. Kopi"
9,latitude,1.651
9,longitude,124.698
9,date,01/07/2006
10,type,space
10,decsription,anemonefish-anemone network
10,location,"Manado region of Sulawesi, Indonesia,  T. Pisok"
10,latitude,1.578
10,longitude,124.792
10,date,01/07/2006
11,type,space
11,decsription,anemonefish-anemone network
11,location,"Manado region of Sulawesi, Indonesia,  Mike"
11,latitude,1.639
11,longitude,124.743
11,date,01/07/2006
12,type,space
12,decsription,anemonefish-anemone network
12,location,"Manado region of Sulawesi, Indonesia,  Sachiko"
12,latitude,1.63
12,longitude,124.768
12,date,01/07/2006
13,type,space
13,decsription,anemonefish-anemone network
13,location,"Manado region of Sulawesi, Indonesia,  Kasegaran"
13,latitude,1.464
13,longitude,124.793
13,date,01/07/2006
14,type,space
14,decsription,anemonefish-anemone network
14,location,"Manado region of Sulawesi, Indonesia,  Timur"
14,latitude,1.612
14,longitude,124.786
14,date,01/07/2006
15,type,space
15,decsription,anemonefish-anemone network
15,location,"Manado region of Sulawesi, Indonesia,  Jalan m."
15,latitude,1.616
15,longitude,124.756
15,date,01/07/2006
16,type,space
16,decsription,anemonefish-anemone network
16,location,"Manado region of Sulawesi, Indonesia,  Johnson"
16,latitude,1.608
16,longitude,124.864
16,date,01/07/2006
