layer,attribute,value
1,type,space
1,type,time
1,population_no,1
1,latitude,48.4731806
1,longitude,22.1095583
1,biotop,N
1,region,East Slovakian Lowland
1,locality,Botany
1,files,BotanHos
1,year,1995
1,month,5
1,first_date,1995-05-23
1,last_date,1995-05-25
1,num_traps,1400
1,nights,2
2,type,space
2,type,time
2,population_no,2
2,latitude,48.4731806
2,longitude,22.1095583
2,biotop,N
2,region,East Slovakian Lowland
2,locality,Botany
2,files,BotanHos
2,year,1995
2,month,6
2,first_date,1995-06-21
2,last_date,1995-06-22
2,num_traps,1000
2,nights,1
3,type,space
3,type,time
3,population_no,3
3,latitude,48.4731806
3,longitude,22.1095583
3,biotop,N
3,region,East Slovakian Lowland
3,locality,Botany
3,files,BotanHos
3,year,1995
3,month,8
3,first_date,1995-08-16
3,last_date,1995-08-17
3,num_traps,800
3,nights,1
4,type,space
4,type,time
4,population_no,4
4,latitude,48.4731806
4,longitude,22.1095583
4,biotop,N
4,region,East Slovakian Lowland
4,locality,Botany
4,files,BotanHos
4,year,1995
4,month,10
4,first_date,1995-10-10
4,last_date,1995-10-11
4,num_traps,600
4,nights,1
5,type,space
5,type,time
5,population_no,5
5,latitude,48.4731806
5,longitude,22.1095583
5,biotop,N
5,region,East Slovakian Lowland
5,locality,Botany
5,files,BotanHos
5,year,1995
5,month,11
5,first_date,1995-11-29
5,last_date,1995-11-30
5,num_traps,700
5,nights,1
6,type,space
6,type,time
6,population_no,6
6,latitude,48.4731806
6,longitude,22.1095583
6,biotop,N
6,region,East Slovakian Lowland
6,locality,Botany
6,files,BotanHos
6,year,1996
6,month,2
6,first_date,1996-02-21
6,last_date,1996-02-21
6,num_traps,350
6,nights,1
7,type,space
7,type,time
7,population_no,7
7,latitude,48.4731806
7,longitude,22.1095583
7,biotop,N
7,region,East Slovakian Lowland
7,locality,Botany
7,files,BotanHos
7,year,1996
7,month,4
7,first_date,1996-04-25
7,last_date,1996-04-26
7,num_traps,800
7,nights,1
8,type,space
8,type,time
8,population_no,8
8,latitude,48.4731806
8,longitude,22.1095583
8,biotop,N
8,region,East Slovakian Lowland
8,locality,Botany
8,files,BotanHos
8,year,1996
8,month,6
8,first_date,1996-06-13
8,last_date,1996-06-14
8,num_traps,800
8,nights,1
9,type,space
9,type,time
9,population_no,9
9,latitude,48.4731806
9,longitude,22.1095583
9,biotop,N
9,region,East Slovakian Lowland
9,locality,Botany
9,files,BotanHos
9,year,1996
9,month,7
9,first_date,1996-07-03
9,last_date,1996-07-04
9,num_traps,600
9,nights,1
10,type,space
10,type,time
10,population_no,10
10,latitude,48.4731806
10,longitude,22.1095583
10,biotop,N
10,region,East Slovakian Lowland
10,locality,Botany
10,files,BotanHos
10,year,1996
10,month,9
10,first_date,1996-09-27
10,last_date,1996-09-27
10,num_traps,300
10,nights,1
11,type,space
11,type,time
11,population_no,11
11,latitude,48.4731806
11,longitude,22.1095583
11,biotop,N
11,region,East Slovakian Lowland
11,locality,Botany
11,files,BotanHos
11,year,1996
11,month,11
11,first_date,1996-11-26
11,last_date,1996-11-27
11,num_traps,700
11,nights,1
12,type,space
12,type,time
12,population_no,12
12,latitude,48.4731806
12,longitude,22.1095583
12,biotop,N
12,region,East Slovakian Lowland
12,locality,Botany
12,files,BotanHos
12,year,1997
12,month,5
12,first_date,1997-05-01
12,last_date,1997-05-02
12,num_traps,800
12,nights,1
13,type,space
13,type,time
13,population_no,13
13,latitude,48.4731806
13,longitude,22.1095583
13,biotop,N
13,region,East Slovakian Lowland
13,locality,Botany
13,files,BotanHos
13,year,1997
13,month,5
13,first_date,1997-05-28
13,last_date,1997-05-29
13,num_traps,800
13,nights,1
14,type,space
14,type,time
14,population_no,14
14,latitude,48.4731806
14,longitude,22.1095583
14,biotop,N
14,region,East Slovakian Lowland
14,locality,Botany
14,files,BotanHos
14,year,1997
14,month,6
14,first_date,1997-06-18
14,last_date,1997-06-19
14,num_traps,800
14,nights,1
15,type,space
15,type,time
15,population_no,15
15,latitude,48.4731806
15,longitude,22.1095583
15,biotop,N
15,region,East Slovakian Lowland
15,locality,Botany
15,files,BotanHos
15,year,1997
15,month,8
15,first_date,1997-08-21
15,last_date,1997-08-22
15,num_traps,700
15,nights,1
16,type,space
16,type,time
16,population_no,16
16,latitude,48.5847694
16,longitude,21.7877889
16,biotop,N
16,region,East Slovakian Lowland
16,locality,Hran
16,files,HranHost
16,year,1986
16,month,10
16,first_date,1986-10-08
16,last_date,1986-10-09
16,num_traps,550
16,nights,1
17,type,space
17,type,time
17,population_no,17
17,latitude,48.5847694
17,longitude,21.7877889
17,biotop,N
17,region,East Slovakian Lowland
17,locality,Hran
17,files,HranHost
17,year,1986
17,month,11
17,first_date,1986-11-05
17,last_date,1986-11-06
17,num_traps,800
17,nights,1
18,type,space
18,type,time
18,population_no,18
18,latitude,48.5847694
18,longitude,21.7877889
18,biotop,N
18,region,East Slovakian Lowland
18,locality,Hran
18,files,HranHost
18,year,1987
18,month,3
18,first_date,1987-03-18
18,last_date,1987-03-18
18,num_traps,350
18,nights,1
19,type,space
19,type,time
19,population_no,19
19,latitude,48.5847694
19,longitude,21.7877889
19,biotop,N
19,region,East Slovakian Lowland
19,locality,Hran
19,files,HranHost
19,year,1987
19,month,4
19,first_date,1987-04-07
19,last_date,1987-04-07
19,num_traps,350
19,nights,1
20,type,space
20,type,time
20,population_no,20
20,latitude,48.5847694
20,longitude,21.7877889
20,biotop,N
20,region,East Slovakian Lowland
20,locality,Hran
20,files,HranHost
20,year,1987
20,month,6
20,first_date,1987-06-24
20,last_date,1987-06-25
20,num_traps,700
20,nights,1
21,type,space
21,type,time
21,population_no,21
21,latitude,48.5847694
21,longitude,21.7877889
21,biotop,N
21,region,East Slovakian Lowland
21,locality,Hran
21,files,HranHost
21,year,1988
21,month,4
21,first_date,1988-04-06
21,last_date,1988-04-08
21,num_traps,950
21,nights,2
22,type,space
22,type,time
22,population_no,22
22,latitude,48.5847694
22,longitude,21.7877889
22,biotop,N
22,region,East Slovakian Lowland
22,locality,Hran
22,files,HranHost
22,year,1988
22,month,4
22,first_date,1988-04-20
22,last_date,1988-04-22
