interaction_id,attribute,value
1,node_from,Bracon_romani
1,layer_from,1
1,node_to,Pontania_viminalis
1,layer_to,1
1,type,host-parasite
1,method,field_observation
1,weight,1
2,node_from,Chalcidoidea_indet.
2,layer_from,1
2,node_to,Pontania_viminalis
2,layer_to,1
2,type,host-parasite
2,method,field_observation
2,weight,1
3,node_from,Pontania_viminalis
3,layer_from,1
3,node_to,Salix_purpurea
3,layer_to,1
3,type,host-parasite
3,method,field_observation
3,weight,1
4,node_from,Eurytoma_aciculata
4,layer_from,2
4,node_to,Pontania_viminalis
4,layer_to,2
4,type,host-parasite
4,method,field_observation
4,weight,1
5,node_from,Chalcidoidea_indet.
5,layer_from,2
5,node_to,Pontania_viminalis
5,layer_to,2
5,type,host-parasite
5,method,field_observation
5,weight,1
6,node_from,Pontania_viminalis
6,layer_from,2
6,node_to,Salix_purpurea
6,layer_to,2
6,type,host-parasite
6,method,field_observation
6,weight,1
7,node_from,Eulonchetron_torymoides
7,layer_from,3
7,node_to,Pontania_viminalis
7,layer_to,3
7,type,host-parasite
7,method,field_observation
7,weight,1
8,node_from,Pontania_viminalis
8,layer_from,3
8,node_to,Salix_purpurea
8,layer_to,3
8,type,host-parasite
8,method,field_observation
8,weight,1
9,node_from,Chalcidoidea_indet.
9,layer_from,3
9,node_to,Pontania_viminalis
9,layer_to,3
9,type,host-parasite
9,method,field_observation
9,weight,1
10,node_from,Eurytoma_sp.
10,layer_from,3
10,node_to,Pontania_viminalis
10,layer_to,3
10,type,host-parasite
10,method,field_observation
10,weight,1
11,node_from,Pteromalus_dolichurus
11,layer_from,3
11,node_to,Pontania_viminalis
11,layer_to,3
11,type,host-parasite
11,method,field_observation
11,weight,1
12,node_from,Eurytoma_aciculata
12,layer_from,3
12,node_to,Pontania_viminalis
12,layer_to,3
12,type,host-parasite
12,method,field_observation
12,weight,1
13,node_from,Pontania_varia
13,layer_from,4
13,node_to,Salix_apennina
13,layer_to,4
13,type,host-parasite
13,method,field_observation
13,weight,1
14,node_from,Ichneumonidae_indet.
14,layer_from,5
14,node_to,Pontania_pedunculi
14,layer_to,5
14,type,host-parasite
14,method,field_observation
14,weight,1
15,node_from,Curculio_crux
15,layer_from,5
15,node_to,Pontania_pedunculi
15,layer_to,5
15,type,host-parasite
15,method,field_observation
15,weight,1
16,node_from,Chalcidoidea_indet.
16,layer_from,5
16,node_to,Pontania_pedunculi
16,layer_to,5
16,type,host-parasite
16,method,field_observation
16,weight,1
17,node_from,Eurytoma_aciculata
17,layer_from,6
17,node_to,Pontania_vesicator
17,layer_to,6
17,type,host-parasite
17,method,field_observation
17,weight,1
18,node_from,Pontania_viminalis
18,layer_from,6
18,node_to,Salix_purpurea
18,layer_to,6
18,type,host-parasite
18,method,field_observation
18,weight,1
19,node_from,Ichneumonidae_indet.
19,layer_from,6
19,node_to,Pontania_vesicator
19,layer_to,6
19,type,host-parasite
19,method,field_observation
19,weight,1
20,node_from,Eurytoma_aciculata
20,layer_from,6
20,node_to,Pontania_viminalis
20,layer_to,6
20,type,host-parasite
20,method,field_observation
20,weight,1
21,node_from,Chalcidoidea_indet.
21,layer_from,6
21,node_to,Pontania_vesicator
21,layer_to,6
21,type,host-parasite
21,method,field_observation
21,weight,1
22,node_from,Chalcidoidea_indet.
22,layer_from,6
22,node_to,Pontania_viminalis
22,layer_to,6
22,type,host-parasite
22,method,field_observation
22,weight,1
23,node_from,Pontania_vesicator
23,layer_from,6
23,node_to,Salix_purpurea
23,layer_to,6
23,type,host-parasite
23,method,field_observation
23,weight,1
24,node_from,Phyllocolpa_Ph._sp._/_S._glabra
24,layer_from,7
24,node_to,Salix_glabra
24,layer_to,7
24,type,host-parasite
24,method,field_observation
24,weight,1
25,node_from,Adelognathus_sp.
25,layer_from,7
25,node_to,Phyllocolpa_Ph._sp._/_S._glabra
25,layer_to,7
25,type,host-parasite
25,method,field_observation
25,weight,1
26,node_from,Adelognathus_sp.
26,layer_from,7
26,node_to,Phyllocolpa_spirappendiculata
26,layer_to,7
26,type,host-parasite
26,method,field_observation
26,weight,1
27,node_from,Phyllocolpa_spirappendiculata
27,layer_from,7
27,node_to,Salix_appendiculata
27,layer_to,7
27,type,host-parasite
27,method,field_observation
27,weight,1
28,node_from,Pontania_bridgmanii
28,layer_from,8
28,node_to,Salix_appendiculata
28,layer_to,8
28,type,host-parasite
28,method,field_observation
28,weight,1
29,node_from,Chalcidoidea_indet.
29,layer_from,8
29,node_to,Pontania_bridgmanii
29,layer_to,8
29,type,host-parasite
29,method,field_observation
29,weight,1
30,node_from,Euphranta_toxoneura
30,layer_from,8
30,node_to,Pontania_bridgmanii
30,layer_to,8
