node_id,attribute,value
1,node_name,Aelosoma
1,type,organism
1,taxa_verified,FALSE
1,verification_level,NA
2,node_name,Brachycentrus_sp1
2,type,organism
2,taxa_verified,TRUE
2,verification_level,genus
3,node_name,Cambarus_bartoni
3,type,organism
3,taxa_verified,FALSE
3,verification_level,NA
4,node_name,Dicranota_sp1
4,type,organism
4,taxa_verified,TRUE
4,verification_level,genus
5,node_name,Ectopria_thoracica
5,type,organism
5,taxa_verified,TRUE
5,verification_level,species
6,node_name,Epeorus_dispar
6,type,organism
6,taxa_verified,TRUE
6,verification_level,species
7,node_name,Glossosoma_sp1
7,type,organism
7,taxa_verified,TRUE
7,verification_level,genus
8,node_name,Homoplectra_sp1
8,type,organism
8,taxa_verified,TRUE
8,verification_level,genus
9,node_name,Hudsonimya_sp1
9,type,organism
9,taxa_verified,FALSE
9,verification_level,NA
10,node_name,Hydropsyche_sp1
10,type,organism
10,taxa_verified,TRUE
10,verification_level,genus
11,node_name,Leucrocuta_sp1
11,type,organism
11,taxa_verified,TRUE
11,verification_level,genus
12,node_name,Leuctra_sp1
12,type,organism
12,taxa_verified,TRUE
12,verification_level,genus
13,node_name,Lumbriculiid_oligochaete
13,type,organism
13,taxa_verified,FALSE
13,verification_level,NA
14,node_name,Parametriocnemus_sp1
14,type,organism
14,taxa_verified,TRUE
14,verification_level,genus
15,node_name,Ophiogomphus_sp1
15,type,organism
15,taxa_verified,TRUE
15,verification_level,genus
16,node_name,Palpomyia_sp1
16,type,organism
16,taxa_verified,TRUE
16,verification_level,genus
17,node_name,Palpomyia_sp2
17,type,organism
17,taxa_verified,TRUE
17,verification_level,genus
18,node_name,Promoresia_sp1
18,type,organism
18,taxa_verified,TRUE
18,verification_level,genus
19,node_name,Psephenus_sp1
19,type,organism
19,taxa_verified,TRUE
19,verification_level,genus
20,node_name,Soliperla_sp1
20,type,organism
20,taxa_verified,TRUE
20,verification_level,genus
21,node_name,Stenelmis_adult
21,type,organism
21,taxa_verified,FALSE
21,verification_level,NA
22,node_name,Stenelmis_sp1
22,type,organism
22,taxa_verified,TRUE
22,verification_level,genus
23,node_name,Suwalia_sp1
23,type,organism
23,taxa_verified,FALSE
23,verification_level,NA
24,node_name,Tallaperla_maria
24,type,organism
24,taxa_verified,TRUE
24,verification_level,species
25,node_name,Tipula_abdominalis
25,type,organism
25,taxa_verified,TRUE
25,verification_level,species
26,node_name,Salamander
26,type,organism
26,taxa_verified,FALSE
26,verification_level,NA
27,node_name,Cordulegaster_maculata
27,type,organism
27,taxa_verified,TRUE
27,verification_level,species
28,node_name,Neureclipsis_sp1
28,type,organism
28,taxa_verified,TRUE
28,verification_level,genus
29,node_name,Thaumalea_sp1
29,type,organism
29,taxa_verified,TRUE
29,verification_level,genus
30,node_name,Chauliodes_sp1
30,type,organism
30,taxa_verified,TRUE
30,verification_level,genus
31,node_name,Aeolosoma_sp1
31,type,organism
31,taxa_verified,TRUE
31,verification_level,genus
32,node_name,Ajax_longipes
32,type,organism
32,taxa_verified,FALSE
32,verification_level,NA
33,node_name,Amphinemura_wui
33,type,organism
33,taxa_verified,TRUE
33,verification_level,species
34,node_name,Anchytarsus_bicolor
34,type,organism
34,taxa_verified,FALSE
34,verification_level,NA
35,node_name,Baetis
35,type,organism
35,taxa_verified,TRUE
35,verification_level,genus
36,node_name,Hudsonimya
36,type,organism
36,taxa_verified,FALSE
36,verification_level,NA
37,node_name,Cricotopus
37,type,organism
37,taxa_verified,TRUE
37,verification_level,genus
38,node_name,Dicranota
38,type,organism
38,taxa_verified,TRUE
38,verification_level,genus
39,node_name,Eukieffidrella_pseudomontana
39,type,organism
39,taxa_verified,FALSE
39,verification_level,NA
40,node_name,Diplectrona_modesta
40,type,organism
40,taxa_verified,TRUE
40,verification_level,species
41,node_name,Dixella
41,type,organism
41,taxa_verified,TRUE
41,verification_level,genus
42,node_name,Dolophilodes
42,type,organism
42,taxa_verified,TRUE
42,verification_level,genus
43,node_name,Fatigia_pele
43,type,organism
43,taxa_verified,FALSE
43,verification_level,NA
44,node_name,Hexatoma_sp1
44,type,organism
44,taxa_verified,TRUE
44,verification_level,genus
45,node_name,Leuctra
45,type,organism
45,taxa_verified,TRUE
45,verification_level,genus
46,node_name,Oligo_Lumbr__Blue
46,type,organism
46,taxa_verified,FALSE
46,verification_level,NA
47,node_name,Oligo__Lumbr__Pink
47,type,organism
47,taxa_verified,FALSE
47,verification_level,NA
48,node_name,Ophiogomphus
48,type,organism
48,taxa_verified,TRUE
48,verification_level,genus
49,node_name,Paraleptophelebia
49,type,organism
49,taxa_verified,FALSE
49,verification_level,NA
50,node_name,Pericoma
50,type,organism
50,taxa_verified,TRUE
50,verification_level,genus
51,node_name,Pilaria
51,type,organism
51,taxa_verified,TRUE
51,verification_level,genus
52,node_name,Pentaneuri_sp1
52,type,organism
52,taxa_verified,FALSE
52,verification_level,NA
53,node_name,Stenelmis
53,type,organism
53,taxa_verified,TRUE
53,verification_level,genus
54,node_name,Tanyderid
54,type,organism
54,taxa_verified,FALSE
54,verification_level,NA
55,node_name,Conchapelopia
55,type,organism
55,taxa_verified,TRUE
55,verification_level,genus
56,node_name,Tipula
56,type,organism
56,taxa_verified,TRUE
56,verification_level,subgenus
57,node_name,Wormaldia_moesta
57,type,organism
57,taxa_verified,TRUE
57,verification_level,species
58,node_name,Crayfish
58,type,organism
