interaction_id,attribute,value
1,node_from,Macrobranchium
1,layer_from,Food_web_of_the_Brackish_lagoon
1,node_to,meio-benthos
1,layer_to,Food_web_of_the_Brackish_lagoon
1,weight,1
1,type,trophic
2,node_from,Macrobranchium
2,layer_from,Food_web_of_the_Brackish_lagoon
2,node_to,detritus
2,layer_to,Food_web_of_the_Brackish_lagoon
2,weight,1
2,type,trophic
3,node_from,Macrobranchium
3,layer_from,Food_web_of_the_Brackish_lagoon
3,node_to,micro-
3,layer_to,Food_web_of_the_Brackish_lagoon
3,weight,1
3,type,trophic
4,node_from,fishes_(type_1)
4,layer_from,Food_web_of_the_Brackish_lagoon
4,node_to,detritus
4,layer_to,Food_web_of_the_Brackish_lagoon
4,weight,1
4,type,trophic
5,node_from,fishes_(type_1)
5,layer_from,Food_web_of_the_Brackish_lagoon
5,node_to,phytoplankton
5,layer_to,Food_web_of_the_Brackish_lagoon
5,weight,1
5,type,trophic
6,node_from,micro-
6,layer_from,Food_web_of_the_Brackish_lagoon
6,node_to,benthic_algae
6,layer_to,Food_web_of_the_Brackish_lagoon
6,weight,1
6,type,trophic
7,node_from,meio-benthos
7,layer_from,Food_web_of_the_Brackish_lagoon
7,node_to,benthic_algae
7,layer_to,Food_web_of_the_Brackish_lagoon
7,weight,1
7,type,trophic
8,node_from,micro-
8,layer_from,Food_web_of_the_Brackish_lagoon
8,node_to,detritus
8,layer_to,Food_web_of_the_Brackish_lagoon
8,weight,1
8,type,trophic
9,node_from,meio-benthos
9,layer_from,Food_web_of_the_Brackish_lagoon
9,node_to,detritus
9,layer_to,Food_web_of_the_Brackish_lagoon
9,weight,1
9,type,trophic
10,node_from,zooplankton
10,layer_from,Food_web_of_the_Brackish_lagoon
10,node_to,detritus
10,layer_to,Food_web_of_the_Brackish_lagoon
10,weight,1
10,type,trophic
11,node_from,insects
11,layer_from,Food_web_of_the_Brackish_lagoon
11,node_to,detritus
11,layer_to,Food_web_of_the_Brackish_lagoon
11,weight,1
11,type,trophic
12,node_from,zooplankton
12,layer_from,Food_web_of_the_Brackish_lagoon
12,node_to,phytoplankton
12,layer_to,Food_web_of_the_Brackish_lagoon
12,weight,1
12,type,trophic
13,node_from,insects
13,layer_from,Food_web_of_the_Brackish_lagoon
13,node_to,phytoplankton
13,layer_to,Food_web_of_the_Brackish_lagoon
13,weight,1
13,type,trophic
