"node_id","attribute","value"
1,"node_name","insects"
1,"type","taxon"
1,"taxonomy_name","Insecta"
1,"taxonomy_rank","class"
1,"taxa_verified","TRUE"
1,"verification_level","class"
2,"node_name","Macrobranchium"
2,"type","taxon"
2,"taxonomy_name","Macrobrachium"
2,"taxonomy_rank","genus"
2,"taxa_verified","TRUE"
2,"verification_level","genus"
3,"node_name","fishes_(type_1)"
3,"type","taxon"
3,"taxonomy_name","Salmo trutta"
3,"taxonomy_rank","species"
3,"taxa_verified","TRUE"
3,"verification_level","species"
4,"node_name","fishes_(type_3)"
4,"type","taxon"
4,"taxonomy_name","Salvelinus alpinus"
4,"taxonomy_rank","species"
4,"taxa_verified","TRUE"
4,"verification_level","species"
5,"node_name","benthic_algae"
5,"type","taxon"
5,"taxonomy_name","Archanara algae"
5,"taxonomy_rank","species"
5,"taxa_verified","FALSE"
6,"node_name","detritus"
6,"type","taxon"
6,"taxonomy_name",NA
6,"taxonomy_rank",NA
6,"taxa_verified","FALSE"
7,"node_name","zooplankton"
7,"type","taxon"
7,"taxonomy_name",NA
7,"taxonomy_rank",NA
7,"taxa_verified","FALSE"
8,"node_name","fishes_(type_2)"
8,"type","taxon"
8,"taxonomy_name",NA
8,"taxonomy_rank",NA
8,"taxa_verified","FALSE"
9,"node_name","phytoplankton"
9,"type","taxon"
9,"taxonomy_name",NA
9,"taxonomy_rank",NA
9,"taxa_verified","FALSE"
10,"node_name","micro-"
10,"type","taxon"
10,"taxonomy_name",NA
10,"taxonomy_rank",NA
10,"taxa_verified","FALSE"
11,"node_name","meio-benthos"
11,"type","taxon"
11,"taxonomy_name",NA
11,"taxonomy_rank",NA
11,"taxa_verified","FALSE"
12,"node_name","mollusks"
12,"type","taxon"
12,"taxonomy_name","Mollusca"
12,"taxonomy_rank","phylum"
12,"taxa_verified","TRUE"
12,"verification_level","phylum"
13,"node_name","Callinectes"
13,"type","taxon"
13,"taxonomy_name","Callinectes"
13,"taxonomy_rank","genus"
13,"taxa_verified","TRUE"
13,"verification_level","genus"
14,"node_name","Penaeus"
14,"type","taxon"
14,"taxonomy_name","Penaeus"
14,"taxonomy_rank","genus"
14,"taxa_verified","TRUE"
14,"verification_level","genus"
