interaction_id,attribute,value
1,node_from,cop.sp2
1,layer_from,1
1,node_to,aca.ser
1,layer_to,1
1,weight,19
1,type,pollination
2,node_from,exo.sp1
2,layer_from,1
2,node_to,aca.ser
2,layer_to,1
2,weight,2
2,type,pollination
3,node_from,str.eur
3,layer_from,1
3,node_to,aca.ser
3,layer_to,1
3,weight,1
3,type,pollination
4,node_from,api.mel
4,layer_from,1
4,node_to,alo.gra
4,layer_to,1
4,weight,368
4,type,pollination
5,node_from,aug.sp
5,layer_from,1
5,node_to,alo.gra
5,layer_to,1
5,weight,3
5,type,pollination
6,node_from,bom.opi
6,layer_from,1
6,node_to,alo.gra
6,layer_to,1
6,weight,5
6,type,pollination
7,node_from,cop.sp2
7,layer_from,1
7,node_to,alo.gra
7,layer_to,1
7,weight,83
7,type,pollination
8,node_from,cop.sp3
8,layer_from,1
8,node_to,alo.gra
8,layer_to,1
8,weight,1
8,type,pollination
9,node_from,pla.sp1
9,layer_from,1
9,node_to,alo.gra
9,layer_to,1
9,weight,1
9,type,pollination
10,node_from,str.eur
10,layer_from,1
10,node_to,alo.gra
10,layer_to,1
10,weight,2
10,type,pollination
11,node_from,syr.sp1
11,layer_from,1
11,node_to,alo.gra
11,layer_to,1
11,weight,6
11,type,pollination
12,node_from,xyl.ord
12,layer_from,1
12,node_to,alo.gra
12,layer_to,1
12,weight,1
12,type,pollination
13,node_from,amm.sp1
13,layer_from,1
13,node_to,bud.men
13,layer_to,1
13,weight,2
13,type,pollination
14,node_from,aug.sp
14,layer_from,1
14,node_to,bud.men
14,layer_to,1
14,weight,6
14,type,pollination
15,node_from,exo.sp1
15,layer_from,1
15,node_to,bud.men
15,layer_to,1
15,weight,6
15,type,pollination
16,node_from,hir.sp1
16,layer_from,1
16,node_to,bud.men
16,layer_to,1
16,weight,4
16,type,pollination
17,node_from,mel.coc
17,layer_from,1
17,node_to,bud.men
17,layer_to,1
17,weight,3
17,type,pollination
18,node_from,bombil8
18,layer_from,1
18,node_to,cap.ata
18,layer_to,1
18,weight,1
18,type,pollination
19,node_from,cen.bre
19,layer_from,1
19,node_to,cap.ata
19,layer_to,1
19,weight,50
19,type,pollination
20,node_from,cop.ari
20,layer_from,1
20,node_to,cap.ata
20,layer_to,1
20,weight,6
20,type,pollination
21,node_from,cos.chi
21,layer_from,1
21,node_to,cap.ata
21,layer_to,1
21,weight,5
21,type,pollination
22,node_from,xyl.ord
22,layer_from,1
22,node_to,cap.ata
22,layer_to,1
22,weight,35
22,type,pollination
23,node_from,amm.sp1
23,layer_from,1
23,node_to,cle.mon
23,layer_to,1
23,weight,7
23,type,pollination
24,node_from,cam.mus
24,layer_from,1
