interaction_id,attribute,value
1,node_from,A._longimana
1,layer_from,1
1,node_to,Diatoms
1,layer_to,1
1,weight,1
1,type,herbivory
1,method,observation
2,node_from,A._longimana
2,layer_from,1
2,node_to,Macroalgae
2,layer_to,1
2,weight,1
2,type,herbivory
2,method,observation
3,node_from,A._longimana
3,layer_from,1
3,node_to,Unid._Macrophytes
3,layer_to,1
3,weight,1
3,type,herbivory
3,method,observation
4,node_from,A._valida
4,layer_from,1
4,node_to,Unid._Macrophytes
4,layer_to,1
4,weight,1
4,type,herbivory
4,method,observation
5,node_from,C._penantis
5,layer_from,1
5,node_to,Dinoflagellates
5,layer_to,1
5,weight,1
5,type,herbivory
5,method,observation
6,node_from,Cymadusa
6,layer_from,1
6,node_to,Macroalgae
6,layer_to,1
6,weight,1
6,type,herbivory
6,method,observation
7,node_from,Gammarus
7,layer_from,1
7,node_to,Dinoflagellates
7,layer_to,1
7,weight,1
7,type,herbivory
7,method,observation
8,node_from,Gammarus
8,layer_from,1
8,node_to,Unid._Macrophytes
8,layer_to,1
8,weight,1
8,type,herbivory
8,method,observation
9,node_from,Palaemonetes_vulgaris
9,layer_from,1
9,node_to,Gammaridean_amphipods
9,layer_to,1
9,weight,1
9,type,predation
9,method,observation
10,node_from,Palaemonetes_vulgaris
10,layer_from,1
10,node_to,Crustacean_Parts
10,layer_to,1
10,weight,1
10,type,predation
10,method,observation
11,node_from,Sygnathus_fuscus
11,layer_from,1
11,node_to,Gammaridean_amphipods
11,layer_to,1
11,weight,1
11,type,predation
11,method,observation
12,node_from,Blue_crab
12,layer_from,1
12,node_to,Diatoms
12,layer_to,1
12,weight,1
12,type,herbivory
12,method,observation
13,node_from,Blue_crab
13,layer_from,1
13,node_to,Bivalves
13,layer_to,1
13,weight,1
13,type,predation
13,method,observation
14,node_from,A._longimana
14,layer_from,1
14,node_to,Detritus
14,layer_to,1
14,weight,1
14,type,detritivore
14,method,observation
15,node_from,Hippolyte
15,layer_from,1
15,node_to,Sediment
15,layer_to,1
15,weight,1
15,type,detritivore
15,method,observation
