interaction_id,attribute,value
1,node_from,Antirhea_borbonica
1,layer_from,CMA1
1,node_to,Melanostoma_annulipes_Macquart
1,layer_to,CMA1
1,weight,0.003952568
1,type,pollination
1,method,observation
2,node_from,Antirhea_borbonica
2,layer_from,CMA1
2,node_to,Nacoleia_sp_1
2,layer_to,CMA1
2,weight,0.003952568
2,type,pollination
2,method,observation
3,node_from,Aphloia_theiformis
3,layer_from,CMA1
3,node_to,Chrysomya_megacephala_Fabricius
3,layer_to,CMA1
3,weight,0.139130437
3,type,pollination
3,method,observation
4,node_from,Aphloia_theiformis
4,layer_from,CMA1
4,node_to,Fannia_pusio_Wiedemann
4,layer_to,CMA1
4,weight,0.11304348
4,type,pollination
4,method,observation
5,node_from,Aphloia_theiformis
5,layer_from,CMA1
5,node_to,Limnophora_quaterna_Loew
5,layer_to,CMA1
5,weight,0.039319471
5,type,pollination
5,method,observation
6,node_from,Aphloia_theiformis
6,layer_from,CMA1
6,node_to,Melanostoma_annulipes_Macquart
6,layer_to,CMA1
6,weight,0.457844998
6,type,pollination
6,method,observation
7,node_from,Aphloia_theiformis
7,layer_from,CMA1
7,node_to,Musca_domestica_Linnaeus
7,layer_to,CMA1
7,weight,0.747826098
7,type,pollination
7,method,observation
8,node_from,Aphloia_theiformis
8,layer_from,CMA1
8,node_to,Nacoleia_sp_1
8,layer_to,CMA1
8,weight,0.039319471
8,type,pollination
8,method,observation
9,node_from,Aphloia_theiformis
9,layer_from,CMA1
9,node_to,Nyctemera_insulare_Boisduval
9,layer_to,CMA1
9,weight,0.11304348
9,type,pollination
9,method,observation
10,node_from,Aphloia_theiformis
10,layer_from,CMA1
10,node_to,Pachycerina_crinicornis_Thomson
10,layer_to,CMA1
10,weight,0.078638943
10,type,pollination
10,method,observation
11,node_from,Aphloia_theiformis
11,layer_from,CMA1
11,node_to,Pelecophora_intemipta_All
11,layer_to,CMA1
11,weight,0.039319471
11,type,pollination
11,method,observation
12,node_from,Aphloia_theiformis
12,layer_from,CMA1
12,node_to,Stomorhina_lunata_Fabricius
12,layer_to,CMA1
12,weight,0.039319471
12,type,pollination
12,method,observation
13,node_from,Aphloia_theiformis
13,layer_from,CMA1
13,node_to,Stomoxys_calcitrans_Linnaeus
13,layer_to,CMA1
13,weight,0.214492757
13,type,pollination
13,method,observation
