interaction_id,attribute,value
1,node_from,Lactuca_serriola
1,layer_from,1
1,node_to,Lasioglossum_incompletum
1,layer_to,1
1,weight,1
1,type,pollination
1,method,field capture
2,node_from,Centaurea_solstitialis
2,layer_from,1
2,node_to,Lasioglossum_incompletum
2,layer_to,1
2,weight,2
2,type,pollination
2,method,field capture
3,node_from,Malva_parviflora
3,layer_from,1
3,node_to,Paragus_haemorrhous
3,layer_to,1
3,weight,3
3,type,pollination
3,method,field capture
4,node_from,Conyza_bonariensis
4,layer_from,1
4,node_to,Lasioglossum_tegulare_group
4,layer_to,1
4,weight,1
4,type,pollination
4,method,field capture
5,node_from,Conyza_bonariensis
5,layer_from,1
5,node_to,Halictus_tripartitus
5,layer_to,1
5,weight,1
5,type,pollination
5,method,field capture
6,node_from,Brassica_sp.
6,layer_from,1
6,node_to,Eupeodes_fumipennis
6,layer_to,1
6,weight,2
6,type,pollination
6,method,field capture
7,node_from,Malva_parviflora
7,layer_from,1
7,node_to,Lasioglossum_incompletum
7,layer_to,1
7,weight,1
7,type,pollination
7,method,field capture
8,node_from,Brassica_sp.
8,layer_from,1
8,node_to,Halictus_ligatus
8,layer_to,1
8,weight,1
8,type,pollination
8,method,field capture
9,node_from,Centaurea_solstitialis
9,layer_from,1
9,node_to,Halictus_tripartitus
9,layer_to,1
9,weight,1
9,type,pollination
9,method,field capture
10,node_from,Brassica_sp.
10,layer_from,1
10,node_to,Syritta_pipiens
10,layer_to,1
10,weight,1
10,type,pollination
10,method,field capture
11,node_from,Brassica_sp.
11,layer_from,1
11,node_to,Toxomerus_marginatus
11,layer_to,1
11,weight,3
11,type,pollination
11,method,field capture
12,node_from,Brassica_sp.
12,layer_from,1
12,node_to,Syrphus_opinator
12,layer_to,1
12,weight,1
12,type,pollination
12,method,field capture
13,node_from,Brassica_sp.
13,layer_from,1
13,node_to,Syritta_flaviventris
13,layer_to,1
13,weight,1
13,type,pollination
13,method,field capture
14,node_from,Conyza_bonariensis
14,layer_from,1
14,node_to,Paragus_haemorrhous
14,layer_to,1
14,weight,8
14,type,pollination
14,method,field capture
15,node_from,Brassica_sp.
15,layer_from,1
15,node_to,Halictus_tripartitus
15,layer_to,1
15,weight,53
15,type,pollination
15,method,field capture
16,node_from,Brassica_sp.
16,layer_from,1
16,node_to,Helophilus_latifrons
16,layer_to,1
16,weight,1
16,type,pollination
16,method,field capture
17,node_from,Brassica_sp.
17,layer_from,1
17,node_to,Scaeva_pyrastri
17,layer_to,1
17,weight,2
17,type,pollination
17,method,field capture
18,node_from,Brassica_sp.
18,layer_from,1
18,node_to,Sphaerophoria_contigua
18,layer_to,1
18,weight,7
18,type,pollination
18,method,field capture
19,node_from,Brassica_sp.
19,layer_from,1
19,node_to,Sphaerophoria_pyrrhina
19,layer_to,1
19,weight,2
19,type,pollination
19,method,field capture
20,node_from,Brassica_sp.
20,layer_from,1
20,node_to,Eumerus_strigatus
20,layer_to,1
20,weight,1
20,type,pollination
20,method,field capture
21,node_from,Brassica_sp.
21,layer_from,1
21,node_to,Lasioglossum_incompletum
21,layer_to,1
21,weight,13
21,type,pollination
21,method,field capture
22,node_from,Brassica_sp.
22,layer_from,1
22,node_to,Paragus_haemorrhous
22,layer_to,1
22,weight,4
22,type,pollination
22,method,field capture
