interaction_id,attribute,value
1,node_from,B26
1,layer_from,nov13
1,node_to,P3
1,layer_to,nov13
1,weight,1
1,type,seed-dispersal
1,method,observation
2,node_from,B40
2,layer_from,nov13
2,node_to,P2
2,layer_to,nov13
2,weight,1
2,type,seed-dispersal
2,method,observation
3,node_from,B40
3,layer_from,nov13
3,node_to,P29
3,layer_to,nov13
3,weight,1
3,type,seed-dispersal
3,method,observation
4,node_from,B30
4,layer_from,nov13
4,node_to,P3
4,layer_to,nov13
4,weight,1
4,type,seed-dispersal
4,method,observation
5,node_from,B10
5,layer_from,nov13
5,node_to,P3
5,layer_to,nov13
5,weight,1
5,type,seed-dispersal
5,method,observation
6,node_from,B13
6,layer_from,nov13
6,node_to,P3
6,layer_to,nov13
6,weight,11
6,type,seed-dispersal
6,method,observation
7,node_from,B13
7,layer_from,nov13
7,node_to,P23
7,layer_to,nov13
7,weight,2
7,type,seed-dispersal
7,method,observation
8,node_from,B13
8,layer_from,nov13
8,node_to,P20
8,layer_to,nov13
8,weight,2
8,type,seed-dispersal
8,method,observation
9,node_from,B14
9,layer_from,nov13
9,node_to,P3
9,layer_to,nov13
9,weight,8
9,type,seed-dispersal
9,method,observation
10,node_from,B19
10,layer_from,nov13
10,node_to,P3
10,layer_to,nov13
10,weight,12
10,type,seed-dispersal
10,method,observation
11,node_from,B20
11,layer_from,nov13
11,node_to,P24
11,layer_to,nov13
11,weight,2
11,type,seed-dispersal
11,method,observation
12,node_from,B21
12,layer_from,nov13
12,node_to,P28
12,layer_to,nov13
12,weight,1
12,type,seed-dispersal
12,method,observation
13,node_from,B25
13,layer_from,nov13
13,node_to,P20
13,layer_to,nov13
13,weight,1
13,type,seed-dispersal
13,method,observation
14,node_from,B27
14,layer_from,nov13
14,node_to,P3
14,layer_to,nov13
14,weight,27
14,type,seed-dispersal
14,method,observation
15,node_from,B28
15,layer_from,nov13
15,node_to,P41
15,layer_to,nov13
15,weight,1
15,type,seed-dispersal
15,method,observation
16,node_from,B29
16,layer_from,nov13
16,node_to,P3
16,layer_to,nov13
16,weight,4
16,type,seed-dispersal
16,method,observation
17,node_from,B31
17,layer_from,nov13
17,node_to,P9
17,layer_to,nov13
17,weight,2
17,type,seed-dispersal
17,method,observation
18,node_from,B35
18,layer_from,nov13
18,node_to,P3
18,layer_to,nov13
18,weight,1
18,type,seed-dispersal
18,method,observation
19,node_from,B4
19,layer_from,jan14
19,node_to,P2
19,layer_to,jan14
19,weight,1
19,type,seed-dispersal
19,method,observation
20,node_from,B4
20,layer_from,jan14
20,node_to,P3
20,layer_to,jan14
20,weight,1
20,type,seed-dispersal
20,method,observation
21,node_from,B4
21,layer_from,jan14
21,node_to,P5
21,layer_to,jan14
21,weight,3
21,type,seed-dispersal
21,method,observation
22,node_from,B4
22,layer_from,jan14
22,node_to,P20
22,layer_to,jan14
22,weight,3
22,type,seed-dispersal
22,method,observation
23,node_from,B4
23,layer_from,jan14
23,node_to,P30
23,layer_to,jan14
23,weight,9
23,type,seed-dispersal
23,method,observation
24,node_from,B6
24,layer_from,jan14
24,node_to,P10
24,layer_to,jan14
24,weight,1
24,type,seed-dispersal
24,method,observation
25,node_from,B8
25,layer_from,jan14
25,node_to,P3
25,layer_to,jan14
25,weight,8
25,type,seed-dispersal
25,method,observation
26,node_from,B15
26,layer_from,jan14
26,node_to,P3
26,layer_to,jan14
26,weight,2
26,type,seed-dispersal
26,method,observation
27,node_from,B40
27,layer_from,jan14
27,node_to,P2
27,layer_to,jan14
27,weight,1
27,type,seed-dispersal
27,method,observation
28,node_from,B40
28,layer_from,jan14
28,node_to,P3
28,layer_to,jan14
28,weight,1
28,type,seed-dispersal
28,method,observation
29,node_from,B40
29,layer_from,jan14
29,node_to,P5
29,layer_to,jan14
29,weight,3
29,type,seed-dispersal
29,method,observation
30,node_from,B40
30,layer_from,jan14
30,node_to,P22
30,layer_to,jan14
30,weight,3
30,type,seed-dispersal
30,method,observation
31,node_from,B42
31,layer_from,jan14
31,node_to,P31
31,layer_to,jan14
31,weight,1
31,type,seed-dispersal
31,method,observation
32,node_from,B13
32,layer_from,jan14
32,node_to,P25
32,layer_to,jan14
32,weight,3
32,type,seed-dispersal
32,method,observation
33,node_from,B13
33,layer_from,jan14
33,node_to,P26
33,layer_to,jan14
33,weight,2
33,type,seed-dispersal
33,method,observation
34,node_from,B19
34,layer_from,jan14
34,node_to,P3
34,layer_to,jan14
34,weight,5
34,type,seed-dispersal
34,method,observation
35,node_from,B19
35,layer_from,jan14
35,node_to,P23
35,layer_to,jan14
35,weight,5
35,type,seed-dispersal
35,method,observation
36,node_from,B21
36,layer_from,jan14
36,node_to,P3
36,layer_to,jan14
36,weight,3
36,type,seed-dispersal
36,method,observation
37,node_from,B27
37,layer_from,jan14
37,node_to,P23
37,layer_to,jan14
37,weight,1
37,type,seed-dispersal
37,method,observation
38,node_from,B27
38,layer_from,jan14
38,node_to,P25
38,layer_to,jan14
38,weight,1
38,type,seed-dispersal
38,method,observation
39,node_from,B33
39,layer_from,jan14
39,node_to,P23
39,layer_to,jan14
39,weight,1
39,type,seed-dispersal
39,method,observation
40,node_from,B34
40,layer_from,jan14
40,node_to,P3
40,layer_to,jan14
40,weight,10
40,type,seed-dispersal
40,method,observation
41,node_from,B34
41,layer_from,jan14
41,node_to,P13
