"node_id","attribute","value"
1,"node_name","B1"
1,"type","seed_disperser"
1,"species","Eupsittula_nana"
1,"migratory_status","Resident"
1,"taxa_verified","TRUE"
1,"verification_level","species"
2,"node_name","B2"
2,"type","seed_disperser"
2,"species","Campylorhynchus_rufinucha"
2,"migratory_status","Resident"
2,"taxa_verified","TRUE"
2,"verification_level","species"
3,"node_name","B3"
3,"type","seed_disperser"
3,"species","Dives_dives"
3,"migratory_status","Resident"
3,"taxa_verified","TRUE"
3,"verification_level","species"
4,"node_name","B4"
4,"type","seed_disperser"
4,"species","Dumetella_carolinensis"
4,"migratory_status","Migratory"
4,"taxa_verified","TRUE"
4,"verification_level","species"
5,"node_name","B5"
5,"type","seed_disperser"
5,"species","Empidonax_virescens"
5,"migratory_status","Migratory"
5,"taxa_verified","TRUE"
5,"verification_level","species"
6,"node_name","B6"
6,"type","seed_disperser"
6,"species","Hylocichla_mustelina"
6,"migratory_status","Migratory"
6,"taxa_verified","TRUE"
6,"verification_level","species"
7,"node_name","B7"
7,"type","seed_disperser"
7,"species","Icteria_virens"
7,"migratory_status","Migratory"
7,"taxa_verified","TRUE"
7,"verification_level","species"
8,"node_name","B8"
8,"type","seed_disperser"
8,"species","Icterus_galbula"
8,"migratory_status","Migratory"
8,"taxa_verified","TRUE"
8,"verification_level","species"
9,"node_name","B9"
9,"type","seed_disperser"
9,"species","Icterus_graduacauda"
9,"migratory_status","Resident"
9,"taxa_verified","TRUE"
9,"verification_level","species"
10,"node_name","B10"
10,"type","seed_disperser"
10,"species","Icterus_gularis"
10,"migratory_status","Resident"
10,"taxa_verified","TRUE"
10,"verification_level","species"
11,"node_name","B11"
11,"type","seed_disperser"
11,"species","Icterus_spurius"
11,"migratory_status","Migratory"
11,"taxa_verified","TRUE"
11,"verification_level","species"
12,"node_name","B12"
12,"type","seed_disperser"
12,"species","Leptotila_verreauxi"
12,"migratory_status","Resident"
12,"taxa_verified","TRUE"
12,"verification_level","species"
13,"node_name","B13"
13,"type","seed_disperser"
13,"species","Megarynchus_pitangua"
13,"migratory_status","Resident"
13,"taxa_verified","TRUE"
13,"verification_level","species"
14,"node_name","B14"
14,"type","seed_disperser"
14,"species","Melanerpes_aurifrons"
14,"migratory_status","Resident"
14,"taxa_verified","TRUE"
14,"verification_level","species"
15,"node_name","B15"
15,"type","seed_disperser"
15,"species","Myiarchus_crinitus"
15,"migratory_status","Migratory"
15,"taxa_verified","TRUE"
15,"verification_level","species"
16,"node_name","B16"
16,"type","seed_disperser"
16,"species","Myiarchus_tuberculifer"
16,"migratory_status","Resident"
16,"taxa_verified","TRUE"
16,"verification_level","species"
17,"node_name","B17"
17,"type","seed_disperser"
17,"species","Myiarchus_tyrannulus"
17,"migratory_status","Resident"
17,"taxa_verified","TRUE"
17,"verification_level","species"
18,"node_name","B18"
18,"type","seed_disperser"
18,"species","Myiodynastes_luteiventris"
18,"migratory_status","Migratory"
18,"taxa_verified","TRUE"
18,"verification_level","species"
19,"node_name","B19"
19,"type","seed_disperser"
19,"species","Myiozetetes_similis"
19,"migratory_status","Resident"
19,"taxa_verified","TRUE"
19,"verification_level","species"
20,"node_name","B20"
20,"type","seed_disperser"
20,"species","Ortalis_vetula"
20,"migratory_status","Resident"
20,"taxa_verified","TRUE"
20,"verification_level","species"
21,"node_name","B21"
21,"type","seed_disperser"
21,"species","Pachyramphus_aglaiae"
21,"migratory_status","Resident"
21,"taxa_verified","TRUE"
21,"verification_level","species"
22,"node_name","B22"
22,"type","seed_disperser"
22,"species","Passerina_caerulea"
22,"migratory_status","Migratory"
22,"taxa_verified","TRUE"
22,"verification_level","species"
23,"node_name","B23"
23,"type","seed_disperser"
23,"species","Patagioenas_flavirostris"
23,"migratory_status","Resident"
23,"taxa_verified","TRUE"
23,"verification_level","species"
24,"node_name","B24"
24,"type","seed_disperser"
24,"species","Pheucticus_ludovicianus"
24,"migratory_status","Migratory"
24,"taxa_verified","TRUE"
24,"verification_level","species"
25,"node_name","B25"
25,"type","seed_disperser"
25,"species","Piaya_cayana"
25,"migratory_status","Resident"
25,"taxa_verified","TRUE"
25,"verification_level","species"
26,"node_name","B26"
26,"type","seed_disperser"
26,"species","Piranga_rubra"
26,"migratory_status","Migratory"
26,"taxa_verified","TRUE"
26,"verification_level","species"
27,"node_name","B27"
27,"type","seed_disperser"
27,"species","Pitangus_sulphuratus"
27,"migratory_status","Resident"
27,"taxa_verified","TRUE"
27,"verification_level","species"
28,"node_name","B28"
28,"type","seed_disperser"
28,"species","Polioptila_caerulea"
28,"migratory_status","Resident"
28,"taxa_verified","TRUE"
28,"verification_level","species"
29,"node_name","B29"
29,"type","seed_disperser"
29,"species","Psarocolius_montezuma"
29,"migratory_status","Resident"
29,"taxa_verified","TRUE"
29,"verification_level","species"
30,"node_name","B30"
30,"type","seed_disperser"
30,"species","Psilorhinus_morio"
30,"migratory_status","Resident"
30,"taxa_verified","TRUE"
30,"verification_level","species"
31,"node_name","B31"
31,"type","seed_disperser"
31,"species","Quiscalus_mexicanus"
31,"migratory_status","Resident"
31,"taxa_verified","TRUE"
31,"verification_level","species"
32,"node_name","B32"
32,"type","seed_disperser"
32,"species","Thraupis_abbas"
32,"migratory_status","Resident"
32,"taxa_verified","TRUE"
32,"verification_level","species"
33,"node_name","B33"
33,"type","seed_disperser"
33,"species","Thraupis_episcopus"
33,"migratory_status","Resident"
33,"taxa_verified","TRUE"
33,"verification_level","species"
34,"node_name","B34"
34,"type","seed_disperser"
34,"species","Tityra_semifasciata"
34,"migratory_status","Resident"
34,"taxa_verified","TRUE"
34,"verification_level","species"
35,"node_name","B35"
35,"type","seed_disperser"
35,"species","Trogon_melanocephalus"
35,"migratory_status","Resident"
35,"taxa_verified","TRUE"
35,"verification_level","species"
36,"node_name","B36"
36,"type","seed_disperser"
36,"species","Turdus_grayi"
36,"migratory_status","Resident"
36,"taxa_verified","TRUE"
36,"verification_level","species"
37,"node_name","B37"
37,"type","seed_disperser"
37,"species","Tyrannus_forficatus"
37,"migratory_status","Migratory"
37,"taxa_verified","TRUE"
37,"verification_level","species"
38,"node_name","B38"
38,"type","seed_disperser"
38,"species","Tyrannus_melancholicus"
38,"migratory_status","Resident"
38,"taxa_verified","TRUE"
38,"verification_level","species"
39,"node_name","B39"
39,"type","seed_disperser"
39,"species","Tyrannus_tyrannus"
39,"migratory_status","Migratory"
39,"taxa_verified","TRUE"
39,"verification_level","species"
