,Plants
ID,Species
P1,Achatocarpus nigricans Triana
P2,Bursera fagaroides (Kunth) Engl.
P3,Bursera simaruba (L.) Sarg.
P4,Casearia corymbosa Kunth
P5,Chiococca alba (L.) Hitchc.
P6,Coccoloba barbadensis Jacq.
P7,Cordia dentata Poir.
P8,Crateva tapia L.
P9,Chrysobalanus icaco L.
P10,Crossopetalum uragoga (Jacq.) Kuntze
P11,Cupania dentata Moc. & Sessé ex DC.
P12,Dendropanax arboreus (L.) Decne. & Planch.
P13,Diospyros verae-crucis (Standl.) Standl.
P14,Ehretia tinifolia L.
P15,Ficus cotinifolia Kunth
P16,Ficus insipida Willd.
P17,Ficus sp
P18,Karwinskia humboldtiana (Schult.) Zucc.
P19,Maclura tinctoria (L.) D.Don ex Steud.
P20,Nectandra salicifolia (Kunth) Nees
P21,Opuntia stricta (Haw.) Haw.
P22,Paullinia tomentosa Jacq.
P23,Psittacanthus calyculatus (DC.) G.Don
P24,Psychotria erythrocarpa Schltdl.
P25,Rourea glabra Kunth
P26,Smilax aristolochiifolia Mill.
P27,Solanum diphyllum L.
P28,Sp1
P29,Sp2
P30,Sp3
P31,Sp4
P32,Sp5
P33,Sp6
P34,Sp7
P35,Sp8
P36,Sp9
P37,Sp10
P38,Sp11
P39,Sp12
P40,Sp13
P41,Stemmadenia galeottiana (A.Rich.) Miers
P42,Trichilia hirta L.
P43,Vitis bourgaeana Planch.
P44,Xylosma panamensis Turcz.
