"node_id","attribute","value"
1,"node_name","copepods_(large,_>=_0.025mg_C)"
1,"type","taxon"
1,"taxonomy_name","Copepods"
1,"taxonomy_rank",NA
1,"taxa_verified","TRUE"
1,"verification_level","subclass"
2,"node_name","copepods_(small,_<_0.025mg_C)"
2,"type","taxon"
2,"taxonomy_name","Copepods"
2,"taxonomy_rank",NA
2,"taxa_verified","TRUE"
2,"verification_level","subclass"
3,"node_name","pteropods"
3,"type","taxon"
3,"taxonomy_name","Pteropoda"
3,"taxonomy_rank","order"
3,"taxa_verified","TRUE"
3,"verification_level","order"
4,"node_name","pelagic_amphipods"
4,"type","taxon"
4,"taxonomy_name","Amphipoda"
4,"taxonomy_rank","order"
4,"taxa_verified","TRUE"
4,"verification_level","order"
5,"node_name","small_jellyfish"
5,"type","taxon"
5,"taxonomy_name","Medusozoa"
5,"taxonomy_rank",NA
5,"taxa_verified","FALSE"
6,"node_name","large_jellyfish"
6,"type","taxon"
6,"taxonomy_name","Medusozoa"
6,"taxonomy_rank",NA
6,"taxa_verified","FALSE"
7,"node_name","E._pacifica_(adult_and_juveniles)"
7,"type","taxon"
7,"taxonomy_name","Pacifica"
7,"taxonomy_rank","genus"
7,"taxa_verified","FALSE"
8,"node_name","T._spinifera_(adult_and_juveniles)"
8,"type","taxon"
8,"taxonomy_name","Acantheurytoma spinifera"
8,"taxonomy_rank","species"
8,"taxa_verified","FALSE"
9,"node_name","cephalopod_aggregate"
9,"type","taxon"
9,"taxonomy_name","Cephalopoda"
9,"taxonomy_rank","class"
9,"taxa_verified","TRUE"
9,"verification_level","class"
10,"node_name","smelt_aggregate"
10,"type","taxon"
10,"taxonomy_name","Osmeridae"
10,"taxonomy_rank","family"
10,"taxa_verified","TRUE"
10,"verification_level","family"
11,"node_name","shad"
11,"type","taxon"
11,"taxonomy_name","Alosa"
11,"taxonomy_rank","genus"
11,"taxa_verified","TRUE"
11,"verification_level","genus"
12,"node_name","sardine"
12,"type","taxon"
12,"taxonomy_name","Clupeidae"
12,"taxonomy_rank","family"
12,"taxa_verified","TRUE"
12,"verification_level","family"
13,"node_name","herring"
13,"type","taxon"
13,"taxonomy_name","Clupeidae"
13,"taxonomy_rank","family"
13,"taxa_verified","TRUE"
13,"verification_level","family"
14,"node_name","anchovy"
14,"type","taxon"
14,"taxonomy_name","Engraulidae"
14,"taxonomy_rank","family"
14,"taxa_verified","TRUE"
14,"verification_level","family"
15,"node_name","saury"
15,"type","taxon"
15,"taxonomy_name","Scomberesocidae"
15,"taxonomy_rank","family"
15,"taxa_verified","TRUE"
15,"verification_level","family"
16,"node_name","coho_yearling"
16,"type","taxon"
16,"taxonomy_name","Oncorhynchus kisutch"
16,"taxonomy_rank","species"
16,"taxa_verified","TRUE"
16,"verification_level","species"
17,"node_name","Chinook_subyearling"
17,"type","taxon"
17,"taxonomy_name","Oncorhynchus tshawytscha"
17,"taxonomy_rank","species"
17,"taxa_verified","TRUE"
17,"verification_level","species"
18,"node_name","Chinook_yearling"
18,"type","taxon"
18,"taxonomy_name","Oncorhynchus tshawytscha"
18,"taxonomy_rank","species"
18,"taxa_verified","TRUE"
18,"verification_level","species"
19,"node_name","other_juvenile_salmon"
19,"type","taxon"
19,"taxonomy_name","Salmonidae"
19,"taxonomy_rank","family"
19,"taxa_verified","TRUE"
19,"verification_level","family"
20,"node_name","planktivorous_rockfish"
20,"type","taxon"
20,"taxonomy_name","Sebastes"
20,"taxonomy_rank","genus"
20,"taxa_verified","TRUE"
20,"verification_level","genus"
21,"node_name","coho"
21,"type","taxon"
21,"taxonomy_name","Oncorhynchus kisutch"
21,"taxonomy_rank","species"
21,"taxa_verified","TRUE"
21,"verification_level","species"
22,"node_name","Chinook"
22,"type","taxon"
22,"taxonomy_name","Oncorhynchus tshawytscha"
22,"taxonomy_rank","species"
22,"taxa_verified","TRUE"
22,"verification_level","species"
23,"node_name","shark_aggregate"
23,"type","taxon"
23,"taxonomy_name","Selachimorpha"
23,"taxonomy_rank",NA
23,"taxa_verified","FALSE"
24,"node_name","jack_mackerel"
24,"type","taxon"
24,"taxonomy_name","Trachurus symmetricus"
24,"taxonomy_rank","species"
24,"taxa_verified","TRUE"
24,"verification_level","species"
25,"node_name","Pacific_mackerel"
25,"type","taxon"
25,"taxonomy_name","Scomber japonicus"
25,"taxonomy_rank","species"
25,"taxa_verified","TRUE"
25,"verification_level","species"
26,"node_name","piscivorous_rockfish"
26,"type","taxon"
26,"taxonomy_name","Sebastes"
26,"taxonomy_rank","genus"
26,"taxa_verified","TRUE"
26,"verification_level","genus"
27,"node_name","dogfish_aggregate"
27,"type","taxon"
27,"taxonomy_name","Squalus"
27,"taxonomy_rank","genus"
27,"taxa_verified","TRUE"
