interaction_id,attribute,value
1,node_from,Pheidole_sp.
1,layer_from,1
1,node_to,dipteran_eggs_(unknown)
1,layer_to,1
1,weight,1
1,type,predation
1,method,field observation and literature
2,node_from,Blaesoxipha_plinthopyga
2,layer_from,1
2,node_to,rabbit_carcass_(L._californicus)
2,layer_to,1
2,weight,1
2,type,scavenger
2,method,field observation and literature
3,node_from,Cochyliomyia_macellaria
3,layer_from,1
3,node_to,rabbit_carcass_(L._californicus)
3,layer_to,1
3,weight,1
3,type,scavenger
3,method,field observation and literature
4,node_from,Musca_domestica
4,layer_from,1
4,node_to,rabbit_carcass_(L._californicus)
4,layer_to,1
4,weight,1
4,type,scavenger
4,method,field observation and literature
5,node_from,Boreocanthon_puncticollis
5,layer_from,1
5,node_to,rabbit_carcass_(L._californicus)
5,layer_to,1
5,weight,1
5,type,scavenger
5,method,field observation and literature
6,node_from,Dermestes_marmoratus
6,layer_from,1
6,node_to,rabbit_carcass_(L._californicus)
6,layer_to,1
6,weight,1
6,type,scavenger
6,method,field observation and literature
7,node_from,Eleodes_carbonarius
7,layer_from,1
7,node_to,rabbit_carcass_(L._californicus)
7,layer_to,1
7,weight,1
7,type,scavenger
7,method,field observation and literature
8,node_from,E._longicollis
8,layer_from,1
8,node_to,rabbit_carcass_(L._californicus)
8,layer_to,1
8,weight,1
8,type,scavenger
8,method,field observation and literature
9,node_from,Embaphion_sp.
9,layer_from,1
9,node_to,rabbit_carcass_(L._californicus)
9,layer_to,1
9,weight,1
9,type,scavenger
9,method,field observation and literature
10,node_from,Silpha_truncata
10,layer_from,1
10,node_to,B._plinthopyga_larvae
10,layer_to,1
10,weight,1
10,type,predation
10,method,field observation and literature
11,node_from,Silpha_truncata
11,layer_from,1
11,node_to,C._macellaria_larvae
11,layer_to,1
11,weight,1
11,type,predation
11,method,field observation and literature
12,node_from,Silpha_truncata
12,layer_from,1
12,node_to,M._domestica_larvae
12,layer_to,1
12,weight,1
12,type,predation
12,method,field observation and literature
13,node_from,Silpha_truncata
13,layer_from,1
13,node_to,rabbit_carcass_(L._californicus)
13,layer_to,1
13,weight,1
13,type,scavenger
13,method,field observation and literature
14,node_from,Necrophorus_marginatus
14,layer_from,1
