interaction_id,attribute,value
1,node_from,Parasitus_sp.
1,layer_from,1
1,node_to,Sarcophaga_sp.
1,layer_to,1
1,weight,1
1,type,predation
1,method,field observation/experiment
2,node_from,Philonthus_cruentatus
2,layer_from,1
2,node_to,dung
2,layer_to,1
2,weight,1
2,type,detritivore
2,method,field observation/experiment
3,node_from,Acarid_sp.
3,layer_from,1
3,node_to,dung
3,layer_to,1
3,weight,1
3,type,detritivore
3,method,field observation/experiment
4,node_from,A._prodiomus
4,layer_from,1
4,node_to,dung
4,layer_to,1
4,weight,1
4,type,detritivore
4,method,field observation/experiment
5,node_from,Cercyon_sp._F
5,layer_from,1
5,node_to,dung
5,layer_to,1
5,weight,1
5,type,detritivore
5,method,field observation/experiment
6,node_from,Sphaeridium_bipostulatum
6,layer_from,1
6,node_to,dung
6,layer_to,1
6,weight,1
6,type,detritivore
6,method,field observation/experiment
7,node_from,Uropodid_sp.
7,layer_from,1
7,node_to,dung
7,layer_to,1
7,weight,1
7,type,detritivore
7,method,field observation/experiment
8,node_from,Aphodius_haemorrhoidalis
8,layer_from,1
8,node_to,dung
8,layer_to,1
8,weight,1
8,type,detritivore
8,method,field observation/experiment
9,node_from,A._fossor
9,layer_from,1
9,node_to,dung
9,layer_to,1
9,weight,1
9,type,detritivore
9,method,field observation/experiment
10,node_from,Sarcophaga_sp.
10,layer_from,1
10,node_to,dung
10,layer_to,1
10,weight,1
10,type,detritivore
10,method,field observation/experiment
11,node_from,S._scarabaeoides
11,layer_from,1
11,node_to,dung
11,layer_to,1
11,weight,1
11,type,detritivore
11,method,field observation/experiment
12,node_from,Parasitus_sp.
12,layer_from,1
12,node_to,dung
12,layer_to,1
12,weight,1
12,type,detritivore
12,method,field observation/experiment
13,node_from,A._erraticus
13,layer_from,1
13,node_to,dung
13,layer_to,1
13,weight,1
13,type,detritivore
13,method,field observation/experiment
14,node_from,Cercyon_sp._A
14,layer_from,1
14,node_to,dung
14,layer_to,1
14,weight,1
14,type,detritivore
14,method,field observation/experiment
15,node_from,Ravinia_l'herminieri
15,layer_from,1
15,node_to,dung
15,layer_to,1
15,weight,1
15,type,detritivore
15,method,field observation/experiment
16,node_from,S._lunatum
16,layer_from,1
16,node_to,dung
16,layer_to,1
16,weight,1
16,type,detritivore
16,method,field observation/experiment
17,node_from,Aleochara_sp.
17,layer_from,1
17,node_to,dung
17,layer_to,1
17,weight,1
17,type,detritivore
17,method,field observation/experiment
18,node_from,Macrochelus_sp.
18,layer_from,1
18,node_to,dung
18,layer_to,1
18,weight,1
18,type,detritivore
18,method,field observation/experiment
19,node_from,A._fimetarius
19,layer_from,1
19,node_to,dung
19,layer_to,1
19,weight,1
19,type,detritivore
19,method,field observation/experiment
20,node_from,Cercyon_sp._B
20,layer_from,1
20,node_to,dung
20,layer_to,1
20,weight,1
20,type,detritivore
20,method,field observation/experiment
21,node_from,Musca_autumnalis
21,layer_from,1
21,node_to,dung
21,layer_to,1
21,weight,1
21,type,detritivore
21,method,field observation/experiment
22,node_from,Aleochara_bipustulata
22,layer_from,1
22,node_to,dung
