layer,attribute,value
1,date,1996-06-21
1,latitude,74.466667
1,location,"high–arctic research station Zackenberg, NE Greenland"
1,longitude,-20.583333
1,name,6/21/96
1,type,time
2,date,1996-06-23
2,latitude,74.466667
2,location,"high–arctic research station Zackenberg, NE Greenland"
2,longitude,-20.583333
2,name,6/23/96
2,type,time
3,date,1996-06-24
3,latitude,74.466667
3,location,"high–arctic research station Zackenberg, NE Greenland"
3,longitude,-20.583333
3,name,6/24/96
3,type,time
4,date,1996-06-25
4,latitude,74.466667
4,location,"high–arctic research station Zackenberg, NE Greenland"
4,longitude,-20.583333
4,name,6/25/96
4,type,time
5,date,1996-06-27
5,latitude,74.466667
5,location,"high–arctic research station Zackenberg, NE Greenland"
5,longitude,-20.583333
5,name,6/27/96
5,type,time
6,date,1996-06-28
6,latitude,74.466667
6,location,"high–arctic research station Zackenberg, NE Greenland"
6,longitude,-20.583333
6,name,6/28/96
6,type,time
7,date,1996-07-01
7,latitude,74.466667
7,location,"high–arctic research station Zackenberg, NE Greenland"
7,longitude,-20.583333
7,name,7/1/96
7,type,time
8,date,1996-07-02
8,latitude,74.466667
8,location,"high–arctic research station Zackenberg, NE Greenland"
8,longitude,-20.583333
8,name,7/2/96
8,type,time
9,date,1996-07-03
9,latitude,74.466667
9,location,"high–arctic research station Zackenberg, NE Greenland"
9,longitude,-20.583333
9,name,7/3/96
9,type,time
10,date,1996-07-04
10,latitude,74.466667
10,location,"high–arctic research station Zackenberg, NE Greenland"
10,longitude,-20.583333
10,name,7/4/96
10,type,time
11,date,1996-07-05
11,latitude,74.466667
11,location,"high–arctic research station Zackenberg, NE Greenland"
11,longitude,-20.583333
11,name,7/5/96
11,type,time
12,date,1996-07-06
12,latitude,74.466667
12,location,"high–arctic research station Zackenberg, NE Greenland"
12,longitude,-20.583333
12,name,7/6/96
12,type,time
13,date,1996-07-07
13,latitude,74.466667
13,location,"high–arctic research station Zackenberg, NE Greenland"
13,longitude,-20.583333
13,name,7/7/96
13,type,time
14,date,1996-07-09
14,latitude,74.466667
14,location,"high–arctic research station Zackenberg, NE Greenland"
14,longitude,-20.583333
14,name,7/9/96
14,type,time
15,date,1996-07-10
15,latitude,74.466667
15,location,"high–arctic research station Zackenberg, NE Greenland"
15,longitude,-20.583333
15,name,7/10/96
15,type,time
16,date,1996-07-11
16,latitude,74.466667
16,location,"high–arctic research station Zackenberg, NE Greenland"
16,longitude,-20.583333
16,name,7/11/96
16,type,time
17,date,1996-07-14
17,latitude,74.466667
17,location,"high–arctic research station Zackenberg, NE Greenland"
17,longitude,-20.583333
17,name,7/14/96
17,type,time
18,date,1996-07-15
18,latitude,74.466667
18,location,"high–arctic research station Zackenberg, NE Greenland"
18,longitude,-20.583333
18,name,7/15/96
18,type,time
19,date,1996-07-16
19,latitude,74.466667
19,location,"high–arctic research station Zackenberg, NE Greenland"
19,longitude,-20.583333
19,name,7/16/96
19,type,time
20,date,1996-07-17
20,latitude,74.466667
20,location,"high–arctic research station Zackenberg, NE Greenland"
20,longitude,-20.583333
20,name,7/17/96
20,type,time
21,date,1996-07-18
21,latitude,74.466667
21,location,"high–arctic research station Zackenberg, NE Greenland"
21,longitude,-20.583333
21,name,7/18/96
21,type,time
22,date,1996-07-21
22,latitude,74.466667
22,location,"high–arctic research station Zackenberg, NE Greenland"
22,longitude,-20.583333
22,name,7/21/96
22,type,time
23,date,1996-07-22
23,latitude,74.466667
23,location,"high–arctic research station Zackenberg, NE Greenland"
23,longitude,-20.583333
23,name,7/22/96
23,type,time
24,date,1996-07-23
24,latitude,74.466667
24,location,"high–arctic research station Zackenberg, NE Greenland"
24,longitude,-20.583333
24,name,7/23/96
24,type,time
25,date,1996-07-24
25,latitude,74.466667
25,location,"high–arctic research station Zackenberg, NE Greenland"
25,longitude,-20.583333
25,name,7/24/96
25,type,time
26,date,1996-07-27
26,latitude,74.466667
26,location,"high–arctic research station Zackenberg, NE Greenland"
26,longitude,-20.583333
26,name,7/27/96
26,type,time
27,date,1996-08-01
27,latitude,74.466667
27,location,"high–arctic research station Zackenberg, NE Greenland"
27,longitude,-20.583333
27,name,8/1/96
27,type,time
28,date,1997-06-17
28,latitude,74.466667
28,location,"high–arctic research station Zackenberg, NE Greenland"
28,longitude,-20.583333
28,name,6/17/97
28,type,time
29,date,1997-06-18
29,latitude,74.466667
29,location,"high–arctic research station Zackenberg, NE Greenland"
29,longitude,-20.583333
29,name,6/18/97
29,type,time
30,date,1997-06-21
30,latitude,74.466667
30,location,"high–arctic research station Zackenberg, NE Greenland"
30,longitude,-20.583333
30,name,6/21/97
30,type,time
31,date,1997-06-22
31,latitude,74.466667
31,location,"high–arctic research station Zackenberg, NE Greenland"
31,longitude,-20.583333
31,name,6/22/97
31,type,time
32,date,1997-06-23
32,latitude,74.466667
32,location,"high–arctic research station Zackenberg, NE Greenland"
32,longitude,-20.583333
32,name,6/23/97
32,type,time
33,date,1997-06-24
33,latitude,74.466667
33,location,"high–arctic research station Zackenberg, NE Greenland"
33,longitude,-20.583333
33,name,6/24/97
33,type,time
34,date,1997-06-25
34,latitude,74.466667
34,location,"high–arctic research station Zackenberg, NE Greenland"
34,longitude,-20.583333
34,name,6/25/97
34,type,time
35,date,1997-06-29
35,latitude,74.466667
35,location,"high–arctic research station Zackenberg, NE Greenland"
35,longitude,-20.583333
35,name,6/29/97
35,type,time
36,date,1997-07-02
36,latitude,74.466667
36,location,"high–arctic research station Zackenberg, NE Greenland"
36,longitude,-20.583333
36,name,7/2/97
36,type,time
37,date,1997-07-09
37,latitude,74.466667
37,location,"high–arctic research station Zackenberg, NE Greenland"
37,longitude,-20.583333
37,name,7/9/97
37,type,time
38,date,1997-07-12
38,latitude,74.466667
38,location,"high–arctic research station Zackenberg, NE Greenland"
38,longitude,-20.583333
38,name,7/12/97
38,type,time
39,date,1997-07-14
39,latitude,74.466667
39,location,"high–arctic research station Zackenberg, NE Greenland"
39,longitude,-20.583333
39,name,7/14/97
39,type,time
40,date,1997-07-15
40,latitude,74.466667
40,location,"high–arctic research station Zackenberg, NE Greenland"
40,longitude,-20.583333
40,name,7/15/97
40,type,time
41,date,1997-07-17
41,latitude,74.466667
41,location,"high–arctic research station Zackenberg, NE Greenland"
41,longitude,-20.583333
41,name,7/17/97
41,type,time
42,date,1997-07-20
42,latitude,74.466667
42,location,"high–arctic research station Zackenberg, NE Greenland"
42,longitude,-20.583333
42,name,7/20/97
42,type,time
43,date,1997-07-21
43,latitude,74.466667
43,location,"high–arctic research station Zackenberg, NE Greenland"
43,longitude,-20.583333
43,name,7/21/97
43,type,time
44,date,1997-07-22
44,latitude,74.466667
44,location,"high–arctic research station Zackenberg, NE Greenland"
44,longitude,-20.583333
44,name,7/22/97
44,type,time
45,date,1997-07-23
45,latitude,74.466667
45,location,"high–arctic research station Zackenberg, NE Greenland"
45,longitude,-20.583333
45,name,7/23/97
45,type,time
46,date,1997-07-24
46,latitude,74.466667
46,location,"high–arctic research station Zackenberg, NE Greenland"
46,longitude,-20.583333
46,name,7/24/97
46,type,time
47,date,1997-07-28
47,latitude,74.466667
47,location,"high–arctic research station Zackenberg, NE Greenland"
47,longitude,-20.583333
47,name,7/28/97
47,type,time
48,date,1997-07-29
48,latitude,74.466667
48,location,"high–arctic research station Zackenberg, NE Greenland"
48,longitude,-20.583333
48,name,7/29/97
48,type,time
49,date,1997-07-31
49,latitude,74.466667
49,location,"high–arctic research station Zackenberg, NE Greenland"
49,longitude,-20.583333
49,name,7/31/97
49,type,time
50,date,1997-08-05
50,latitude,74.466667
50,location,"high–arctic research station Zackenberg, NE Greenland"
50,longitude,-20.583333
50,name,8/5/97
50,type,time
51,date,1997-08-09
51,latitude,74.466667
51,location,"high–arctic research station Zackenberg, NE Greenland"
51,longitude,-20.583333
51,name,8/9/97
51,type,time
52,date,1997-08-10
52,latitude,74.466667
52,location,"high–arctic research station Zackenberg, NE Greenland"
52,longitude,-20.583333
52,name,8/10/97
52,type,time
53,date,1997-08-19
53,latitude,74.466667
53,location,"high–arctic research station Zackenberg, NE Greenland"
53,longitude,-20.583333
53,name,8/19/97
53,type,time
54,date,1997-08-20
54,latitude,74.466667
54,location,"high–arctic research station Zackenberg, NE Greenland"
54,longitude,-20.583333
54,name,8/20/97
54,type,time
55,date,1997-08-21
55,latitude,74.466667
55,location,"high–arctic research station Zackenberg, NE Greenland"
55,longitude,-20.583333
55,name,8/21/97
55,type,time
56,date,1997-08-24
56,latitude,74.466667
56,location,"high–arctic research station Zackenberg, NE Greenland"
56,longitude,-20.583333
56,name,8/24/97
56,type,time
57,date,2010-06-15
57,latitude,74.466667
57,location,"high–arctic research station Zackenberg, NE Greenland"
57,longitude,-20.583333
57,name,6/15/10
57,type,time
58,date,2010-06-16
58,latitude,74.466667
58,location,"high–arctic research station Zackenberg, NE Greenland"
58,longitude,-20.583333
58,name,6/16/10
58,type,time
59,date,2010-06-17
59,latitude,74.466667
59,location,"high–arctic research station Zackenberg, NE Greenland"
59,longitude,-20.583333
59,name,6/17/10
59,type,time
60,date,2010-06-18
60,latitude,74.466667
60,location,"high–arctic research station Zackenberg, NE Greenland"
60,longitude,-20.583333
60,name,6/18/10
60,type,time
61,date,2010-06-19
61,latitude,74.466667
61,location,"high–arctic research station Zackenberg, NE Greenland"
61,longitude,-20.583333
61,name,6/19/10
61,type,time
62,date,2010-06-22
62,latitude,74.466667
62,location,"high–arctic research station Zackenberg, NE Greenland"
62,longitude,-20.583333
62,name,6/22/10
62,type,time
63,date,2010-06-23
63,latitude,74.466667
63,location,"high–arctic research station Zackenberg, NE Greenland"
63,longitude,-20.583333
63,name,6/23/10
63,type,time
64,date,2010-06-24
64,latitude,74.466667
64,location,"high–arctic research station Zackenberg, NE Greenland"
64,longitude,-20.583333
64,name,6/24/10
64,type,time
65,date,2010-06-25
65,latitude,74.466667
65,location,"high–arctic research station Zackenberg, NE Greenland"
65,longitude,-20.583333
65,name,6/25/10
65,type,time
66,date,2010-06-26
66,latitude,74.466667
66,location,"high–arctic research station Zackenberg, NE Greenland"
66,longitude,-20.583333
66,name,6/26/10
66,type,time
67,date,2010-06-29
67,latitude,74.466667
67,location,"high–arctic research station Zackenberg, NE Greenland"
67,longitude,-20.583333
67,name,6/29/10
67,type,time
68,date,2010-06-30
68,latitude,74.466667
68,location,"high–arctic research station Zackenberg, NE Greenland"
68,longitude,-20.583333
68,name,6/30/10
68,type,time
69,date,2010-07-01
69,latitude,74.466667
69,location,"high–arctic research station Zackenberg, NE Greenland"
69,longitude,-20.583333
69,name,7/1/10
69,type,time
70,date,2010-07-02
70,latitude,74.466667
70,location,"high–arctic research station Zackenberg, NE Greenland"
70,longitude,-20.583333
70,name,7/2/10
70,type,time
71,date,2010-07-03
71,latitude,74.466667
71,location,"high–arctic research station Zackenberg, NE Greenland"
71,longitude,-20.583333
71,name,7/3/10
71,type,time
72,date,2010-07-06
72,latitude,74.466667
72,location,"high–arctic research station Zackenberg, NE Greenland"
72,longitude,-20.583333
72,name,7/6/10
72,type,time
73,date,2010-07-07
73,latitude,74.466667
73,location,"high–arctic research station Zackenberg, NE Greenland"
73,longitude,-20.583333
73,name,7/7/10
73,type,time
74,date,2010-07-08
74,latitude,74.466667
74,location,"high–arctic research station Zackenberg, NE Greenland"
74,longitude,-20.583333
74,name,7/8/10
74,type,time
75,date,2010-07-09
75,latitude,74.466667
75,location,"high–arctic research station Zackenberg, NE Greenland"
75,longitude,-20.583333
75,name,7/9/10
75,type,time
76,date,2010-07-10
76,latitude,74.466667
76,location,"high–arctic research station Zackenberg, NE Greenland"
76,longitude,-20.583333
76,name,7/10/10
76,type,time
77,date,2010-07-12
77,latitude,74.466667
