"node_id","attribute","value"
1,"node_name","Trioxys_pallidus"
1,"type","taxon"
1,"taxonomy_name","Trioxys pallidus"
1,"taxonomy_rank","species"
1,"taxa_verified","TRUE"
1,"verification_level","species"
2,"node_name","T._curvicaudus"
2,"type","taxon"
2,"taxonomy_name","Trioxys curvicaudus"
2,"taxonomy_rank","species"
2,"taxa_verified","FALSE"
3,"node_name","T._tenvicaudus"
3,"type","taxon"
3,"taxonomy_name","Trioxys tenuicaudus"
3,"taxonomy_rank","species"
3,"taxa_verified","FALSE"
4,"node_name","Praon_flavinode"
4,"type","taxon"
4,"taxonomy_name","Praon flavinode"
4,"taxonomy_rank","species"
4,"taxa_verified","TRUE"
4,"verification_level","species"
5,"node_name","Thelaxes_dryophila"
5,"type","taxon"
5,"taxonomy_name","Thelaxes dryophila"
5,"taxonomy_rank","species"
5,"taxa_verified","TRUE"
5,"verification_level","species"
6,"node_name","Stomaphis_quercus"
6,"type","taxon"
6,"taxonomy_name","Stomaphis quercus"
6,"taxonomy_rank","species"
6,"taxa_verified","TRUE"
6,"verification_level","species"
7,"node_name","Tuberculoides_annulatus"
7,"type","taxon"
7,"taxonomy_name","Tuberculatus annulatus"
7,"taxonomy_rank","species"
7,"taxa_verified","TRUE"
7,"verification_level","species"
8,"node_name","Myzocallis_castanicola"
8,"type","taxon"
8,"taxonomy_name","Myzocallis castanicola"
8,"taxonomy_rank","species"
8,"taxa_verified","TRUE"
8,"verification_level","species"
9,"node_name","Quercus_robur"
9,"type","taxon"
9,"taxonomy_name","Quercus robur"
9,"taxonomy_rank","species"
9,"taxa_verified","TRUE"
9,"verification_level","species"
10,"node_name","Lysiphlebus_thelaxis"
10,"type","taxon"
10,"taxonomy_name",NA
10,"taxonomy_rank",NA
10,"taxa_verified","FALSE"
11,"node_name","Aphidencyrtus_aphidivorus"
11,"type","taxon"
11,"taxonomy_name",NA
11,"taxonomy_rank",NA
11,"taxa_verified","FALSE"
12,"node_name","A._quercicola"
12,"type","taxon"
12,"taxonomy_name",NA
12,"taxonomy_rank",NA
12,"taxa_verified","FALSE"
13,"node_name","Protophidius_wissmanii"
13,"type","taxon"
13,"taxonomy_name",NA
13,"taxonomy_rank",NA
13,"taxa_verified","FALSE"
14,"node_name","Aphelinus_chaonia"
14,"type","taxon"
14,"taxonomy_name","Aphelinus chaonia"
14,"taxonomy_rank","species"
14,"taxa_verified","TRUE"
14,"verification_level","species"
15,"node_name","Trioxys_betulae"
15,"type","taxon"
15,"taxonomy_name","Trioxys betulae"
15,"taxonomy_rank","species"
15,"taxa_verified","TRUE"
15,"verification_level","species"
16,"node_name","T._compressicornis"
16,"type","taxon"
16,"taxonomy_name","Betuloxys compressicornis"
16,"taxonomy_rank","species"
16,"taxa_verified","FALSE"
17,"node_name","Aphidius_aquilus"
17,"type","taxon"
17,"taxonomy_name","Aphidius aquilus"
17,"taxonomy_rank","species"
17,"taxa_verified","TRUE"
17,"verification_level","species"
18,"node_name","Calaphidius_elegans"
18,"type","taxon"
18,"taxonomy_name","Calaphidius elegans"
18,"taxonomy_rank","species"
18,"taxa_verified","FALSE"
19,"node_name","Symydobius_oblongus"
19,"type","taxon"
19,"taxonomy_name","Symydobius oblongus"
19,"taxonomy_rank","species"
19,"taxa_verified","FALSE"
20,"node_name","Euceraphis_betulae"
20,"type","taxon"
20,"taxonomy_name","Euceraphis betulae"
20,"taxonomy_rank","species"
20,"taxa_verified","TRUE"
20,"verification_level","species"
21,"node_name","Betulaphis_quadrituberculata"
21,"type","taxon"
21,"taxonomy_name","Betulaphis quadrituberculata"
21,"taxonomy_rank","species"
21,"taxa_verified","TRUE"
21,"verification_level","species"
22,"node_name","Calaphis_betulicola"
22,"type","taxon"
22,"taxonomy_name","Calaphis betulicola"
22,"taxonomy_rank","species"
22,"taxa_verified","TRUE"
22,"verification_level","species"
23,"node_name","Betulaphis_brevipilosa"
23,"type","taxon"
23,"taxonomy_name","Betulaphis brevipilosa"
23,"taxonomy_rank","species"
23,"taxa_verified","TRUE"
23,"verification_level","species"
24,"node_name","Hamamelistes_betulinus"
24,"type","taxon"
24,"taxonomy_name","Hamamelistes betulinus"
24,"taxonomy_rank","species"
24,"taxa_verified","TRUE"
24,"verification_level","species"
25,"node_name","Betula_pendula"
25,"type","taxon"
25,"taxonomy_name","Betula pendula"
25,"taxonomy_rank","species"
25,"taxa_verified","TRUE"
25,"verification_level","species"
26,"node_name","Pauesia_picta"
26,"type","taxon"
26,"taxonomy_name","Pauesia picta"
26,"taxonomy_rank","species"
26,"taxa_verified","TRUE"
26,"verification_level","species"
27,"node_name","P._jezoensis"
27,"type","taxon"
27,"taxonomy_name","Pauesia jezoensis"
27,"taxonomy_rank","species"
27,"taxa_verified","TRUE"
27,"verification_level","species"
28,"node_name","P._pini"
28,"type","taxon"
28,"taxonomy_name","Pauesia pini"
28,"taxonomy_rank","species"
28,"taxa_verified","TRUE"
28,"verification_level","species"
29,"node_name","Praon_bicolor"
29,"type","taxon"
29,"taxonomy_name","Praon bicolor"
29,"taxonomy_rank","species"
29,"taxa_verified","TRUE"
29,"verification_level","species"
30,"node_name","Diaeretus_leucopterus"
30,"type","taxon"
30,"taxonomy_name","Diaeretus leucopterus"
30,"taxonomy_rank","species"
30,"taxa_verified","TRUE"
30,"verification_level","species"
31,"node_name","Pauesia_unilachni"
31,"type","taxon"
31,"taxonomy_name","Pauesia unilachni"
31,"taxonomy_rank","species"
31,"taxa_verified","TRUE"
31,"verification_level","species"
32,"node_name","Cinara_pini"
32,"type","taxon"
32,"taxonomy_name","Cinara pini"
32,"taxonomy_rank","species"
32,"taxa_verified","TRUE"
32,"verification_level","species"
33,"node_name","C._pinea"
33,"type","taxon"
33,"taxonomy_name","Cinara pinea"
33,"taxonomy_rank","species"
33,"taxa_verified","TRUE"
33,"verification_level","species"
34,"node_name","Eulachnus_agilis"
34,"type","taxon"
34,"taxonomy_name","Eulachnus agilis"
34,"taxonomy_rank","species"
34,"taxa_verified","TRUE"
34,"verification_level","species"
35,"node_name","Schizolachnus_pineti"
35,"type","taxon"
35,"taxonomy_name","Cinara pineti"
35,"taxonomy_rank","species"
35,"taxa_verified","FALSE"
36,"node_name","Pinus_silvestris"
36,"type","taxon"
36,"taxonomy_name","Pinus sylvestris"
36,"taxonomy_rank","species"
36,"taxa_verified","TRUE"
36,"verification_level","species"
37,"node_name","P._laricia"
37,"type","taxon"
37,"taxonomy_name",NA
37,"taxonomy_rank",NA
37,"taxa_verified","FALSE"
38,"node_name","T._tenuicaudus"
38,"type","taxon"
38,"taxonomy_name","Trioxys tenuicaudus"
38,"taxonomy_rank","species"
38,"taxa_verified","FALSE"
39,"node_name","Protaphidius_wissmanii"
39,"type","taxon"
39,"taxonomy_name",NA
39,"taxonomy_rank",NA
39,"taxa_verified","FALSE"
