"node_id","attribute","value"
1,"node_name","fungi"
1,"type","taxon"
1,"taxonomy_name",NA
1,"taxonomy_rank",NA
1,"taxa_verified","FALSE"
2,"node_name","Entomobrya_ligate"
2,"type","taxon"
2,"taxonomy_name","Entomobrya ligata"
2,"taxonomy_rank","species"
2,"taxa_verified","TRUE"
2,"verification_level","species"
3,"node_name","Lepidocyrtus_cyaneus"
3,"type","taxon"
3,"taxonomy_name","Lepidocyrtus cyaneus"
3,"taxonomy_rank","species"
3,"taxa_verified","TRUE"
3,"verification_level","species"
4,"node_name","Isotoma_sensibilis"
4,"type","taxon"
4,"taxonomy_name","Isotoma sensibilis"
4,"taxonomy_rank","species"
4,"taxa_verified","FALSE"
5,"node_name","Uropoda_sp."
5,"type","taxon"
5,"taxonomy_name","Uropoda"
5,"taxonomy_rank","genus"
5,"taxa_verified","TRUE"
5,"verification_level","genus"
6,"node_name","Pergamasus_sp."
6,"type","taxon"
6,"taxonomy_name","Pergamasus"
6,"taxonomy_rank","genus"
6,"taxa_verified","TRUE"
6,"verification_level","genus"
7,"node_name","Megisthanus_sp."
7,"type","taxon"
7,"taxonomy_name","Megisthanidae"
7,"taxonomy_rank",NA
7,"taxa_verified","TRUE"
7,"verification_level","family"
8,"node_name","Dendrolaelops_sp."
8,"type","taxon"
8,"taxonomy_name","Dendrolaelaps"
8,"taxonomy_rank",NA
8,"taxa_verified","TRUE"
8,"verification_level","genus"
9,"node_name","S._planatus"
9,"type","taxon"
9,"taxonomy_name","Silvanus planatus"
9,"taxonomy_rank","species"
9,"taxa_verified","FALSE"
10,"node_name","Brontes_dubius_larvae"
10,"type","taxon"
10,"taxonomy_name","Uleiota dubius"
10,"taxonomy_rank","species"
10,"taxa_verified","TRUE"
10,"verification_level","species"
11,"node_name","Megaselia_sp._larvae"
11,"type","taxon"
11,"taxonomy_name","Megaselia"
11,"taxonomy_rank","genus"
11,"taxa_verified","TRUE"
11,"verification_level","genus"
12,"node_name","Lonchaea_sp._larvae"
12,"type","taxon"
12,"taxonomy_name","Lonchaeidae"
12,"taxonomy_rank","family"
12,"taxa_verified","TRUE"
12,"verification_level","family"
13,"node_name","tachinid_larvae"
13,"type","taxon"
13,"taxonomy_name","Tachinidae"
13,"taxonomy_rank","family"
13,"taxa_verified","TRUE"
13,"verification_level","family"
14,"node_name","phloem_(Quercus_spp.)"
14,"type","taxon"
14,"taxonomy_name","Quercus"
14,"taxonomy_rank","genus"
14,"taxa_verified","TRUE"
14,"verification_level","genus"
15,"node_name","sapwood"
15,"type","taxon"
15,"taxonomy_name","Quercus"
15,"taxonomy_rank","genus"
15,"taxa_verified","TRUE"
15,"verification_level","genus"
16,"node_name","Chrysobothris_femorata_larvae"
16,"type","taxon"
16,"taxonomy_name","Chrysobothris femorata"
16,"taxonomy_rank","species"
16,"taxa_verified","TRUE"
16,"verification_level","species"
17,"node_name","Parcoblatta_sp."
17,"type","taxon"
17,"taxonomy_name","Parcoblatta"
17,"taxonomy_rank","genus"
17,"taxa_verified","TRUE"
17,"verification_level","genus"
18,"node_name","Tachyta_nana"
18,"type","taxon"
18,"taxonomy_name","Tachyta nana"
18,"taxonomy_rank","species"
18,"taxa_verified","TRUE"
18,"verification_level","species"
19,"node_name","Thoracophorus_costalis"
19,"type","taxon"
19,"taxonomy_name","Thoracophorus costalis"
19,"taxonomy_rank","species"
19,"taxa_verified","TRUE"
19,"verification_level","species"
20,"node_name","Acritus_exiguus"
20,"type","taxon"
20,"taxonomy_name","Acritus exiguus"
20,"taxonomy_rank","species"
20,"taxa_verified","FALSE"
21,"node_name","Chariessa_pilosa"
21,"type","taxon"
21,"taxonomy_name","Chariessa pilosa"
21,"taxonomy_rank","species"
21,"taxa_verified","TRUE"
21,"verification_level","species"
22,"node_name","Alaus_oculatus_larvae"
22,"type","taxon"
22,"taxonomy_name","Alaus oculatus"
22,"taxonomy_rank","species"
22,"taxa_verified","TRUE"
22,"verification_level","species"
23,"node_name","Melanopus_sp._larvae"
23,"type","taxon"
23,"taxonomy_name","Neocrepidodera melanopus"
23,"taxonomy_rank",NA
23,"taxa_verified","FALSE"
24,"node_name","Agrilus_sp._larvae"
24,"type","taxon"
24,"taxonomy_name","Agrilus"
24,"taxonomy_rank","genus"
24,"taxa_verified","TRUE"
24,"verification_level","genus"
25,"node_name","Megalodacne_fasciata"
25,"type","taxon"
25,"taxonomy_name","Megalodacne fasciata"
25,"taxonomy_rank","species"
25,"taxa_verified","TRUE"
25,"verification_level","species"
26,"node_name","Xylotrechus_colonus_larvae"
26,"type","taxon"
26,"taxonomy_name","Xylotrechus colonus"
26,"taxonomy_rank","species"
26,"taxa_verified","TRUE"
26,"verification_level","species"
27,"node_name","Neoclytus_scutellaris_larvae"
27,"type","taxon"
27,"taxonomy_name","Neoclytus scutellaris"
27,"taxonomy_rank","species"
27,"taxa_verified","FALSE"
28,"node_name","Graphisurus_fasciatus_larvae"
28,"type","taxon"
28,"taxonomy_name","Graphisurus fasciatus"
28,"taxonomy_rank","species"
28,"taxa_verified","TRUE"
28,"verification_level","species"
29,"node_name","Tremex_columba_larvae"
29,"type","taxon"
29,"taxonomy_name","Tremex columba"
29,"taxonomy_rank","species"
29,"taxa_verified","TRUE"
29,"verification_level","species"
30,"node_name","Atanycolus_simplex"
30,"type","taxon"
30,"taxonomy_name","Atanycolus simplex"
30,"taxonomy_rank","species"
30,"taxa_verified","TRUE"
30,"verification_level","species"
31,"node_name","Sparhius_floridanus"
31,"type","taxon"
31,"taxonomy_name","Spathius floridanus"
31,"taxonomy_rank","species"
31,"taxa_verified","TRUE"
31,"verification_level","species"
32,"node_name","Camponotus_herculeanus"
32,"type","taxon"
32,"taxonomy_name","Camponotus herculeanus"
32,"taxonomy_rank","species"
32,"taxa_verified","TRUE"
32,"verification_level","species"
33,"node_name","Crematogaster_lineolata"
33,"type","taxon"
33,"taxonomy_name","Crematogaster lineolata"
33,"taxonomy_rank","species"
33,"taxa_verified","TRUE"
33,"verification_level","species"
34,"node_name","Leptothorax_curvispinosus"
34,"type","taxon"
34,"taxonomy_name","Leptothorax curvispinosus"
34,"taxonomy_rank","species"
34,"taxa_verified","TRUE"
34,"verification_level","species"
35,"node_name","Ponera_coarcta"
35,"type","taxon"
35,"taxonomy_name","Ponera coarctata"
35,"taxonomy_rank","species"
35,"taxa_verified","TRUE"
35,"verification_level","species"
36,"node_name","Proceratium_croceum"
36,"type","taxon"
36,"taxonomy_name","Proceratium croceum"
36,"taxonomy_rank","species"
36,"taxa_verified","FALSE"
37,"node_name","Geophilus_varians"
37,"type","taxon"
37,"taxonomy_name","Geophilus varians"
37,"taxonomy_rank","species"
37,"taxa_verified","FALSE"
38,"node_name","Chthonius_spinosus"
38,"type","taxon"
38,"taxonomy_name","Chthonius spinosus"
38,"taxonomy_rank","species"
38,"taxa_verified","FALSE"
39,"node_name","C._longipalpus"
39,"type","taxon"
39,"taxonomy_name","Chthonius longipalpus"
39,"taxonomy_rank",NA
39,"taxa_verified","FALSE"
40,"node_name","various_larvae_(unspecified)"
40,"type","taxon"
40,"taxonomy_name",NA
40,"taxonomy_rank",NA
40,"taxa_verified","FALSE"
41,"node_name","Pseudistoma_sensibilis"
41,"type","taxon"
41,"taxonomy_name",NA
41,"taxonomy_rank",NA
41,"taxa_verified","FALSE"
42,"node_name","Discopoma_sp."
42,"type","taxon"
42,"taxonomy_name",NA
42,"taxonomy_rank",NA
42,"taxa_verified","FALSE"
43,"node_name","Silvanus_embellis"
43,"type","taxon"
43,"taxonomy_name",NA
43,"taxonomy_rank",NA
43,"taxa_verified","FALSE"
44,"node_name","Romaleum_atomarium_larvae"
44,"type","taxon"
44,"taxonomy_name",NA
44,"taxonomy_rank",NA
44,"taxa_verified","FALSE"
45,"node_name","Canosoma_crassus"
45,"type","taxon"
45,"taxonomy_name",NA
45,"taxonomy_rank",NA
45,"taxa_verified","FALSE"
46,"node_name","Orthotomicus_coelatus"
46,"type","taxon"
46,"taxonomy_name",NA
46,"taxonomy_rank",NA
46,"taxa_verified","FALSE"
47,"node_name","Linotaenia_bidens"
47,"type","taxon"
47,"taxonomy_name",NA
47,"taxonomy_rank",NA
47,"taxa_verified","FALSE"
48,"node_name","rotting_wood"
48,"type","taxon"
48,"taxonomy_name","Quercus"
48,"taxonomy_rank","genus"
48,"taxa_verified","TRUE"
48,"verification_level","genus"
49,"node_name","Podothrombium_sp."
49,"type","taxon"
49,"taxonomy_name","Podothrombium"
49,"taxonomy_rank",NA
49,"taxa_verified","TRUE"
49,"verification_level","genus"
50,"node_name","Zetes_sp."
50,"type","taxon"
50,"taxonomy_name","Acraea zetes"
50,"taxonomy_rank","species"
50,"taxa_verified","TRUE"
50,"verification_level","species"
51,"node_name","mycetophilid_larvae_(undet.)"
51,"type","taxon"
51,"taxonomy_name","Mycetophilidae"
51,"taxonomy_rank","family"
51,"taxa_verified","TRUE"
51,"verification_level","family"
52,"node_name","cecidomyid_larvae_(undet.)"
52,"type","taxon"
52,"taxonomy_name","Cecidomyiidae"
52,"taxonomy_rank","family"
52,"taxa_verified","TRUE"
52,"verification_level","family"
53,"node_name","dolicopodid_larvae_(undet.)"
53,"type","taxon"
53,"taxonomy_name","Dolichopodidae"
53,"taxonomy_rank","family"
53,"taxa_verified","TRUE"
53,"verification_level","family"
54,"node_name","pollen_(undet.)"
54,"type","taxon"
54,"taxonomy_name","Zaprochilus australis"
54,"taxonomy_rank","species"
54,"taxa_verified","FALSE"
55,"node_name","Reticulitermes_flavipes"
55,"type","taxon"
55,"taxonomy_name","Reticulitermes flavipes"
55,"taxonomy_rank","species"
55,"taxa_verified","TRUE"
55,"verification_level","species"
56,"node_name","Coproporus_ventriculus"
56,"type","taxon"
56,"taxonomy_name","Coproporus ventriculus"
56,"taxonomy_rank","species"
56,"taxa_verified","TRUE"
56,"verification_level","species"
57,"node_name","Actium_sp."
57,"type","taxon"
57,"taxonomy_name","Actium"
57,"taxonomy_rank","genus"
57,"taxa_verified","TRUE"
57,"verification_level","genus"
58,"node_name","Epierus_regularis"
58,"type","taxon"
58,"taxonomy_name","Epierus regularis"
58,"taxonomy_rank","species"
58,"taxa_verified","FALSE"
59,"node_name","Epierus_sp."
59,"type","taxon"
59,"taxonomy_name","Epierus"
59,"taxonomy_rank","genus"
59,"taxa_verified","TRUE"
59,"verification_level","genus"
60,"node_name","Platysoma_lecontei"
60,"type","taxon"
60,"taxonomy_name","Platysoma leconti"
60,"taxonomy_rank","species"
60,"taxa_verified","FALSE"
61,"node_name","Dendroides_bicolor_larvae"
61,"type","taxon"
61,"taxonomy_name","Dendroides bicolor"
61,"taxonomy_rank",NA
61,"taxa_verified","FALSE"
62,"node_name","Orthostethus_infuscatus_larvae"
62,"type","taxon"
62,"taxonomy_name","Orthostethus infuscatus"
62,"taxonomy_rank",NA
62,"taxa_verified","TRUE"
62,"verification_level","species"
63,"node_name","Deltometopus_amoenicornis_larvae"
63,"type","taxon"
63,"taxonomy_name","Deltometopus amoenicornis"
63,"taxonomy_rank",NA
63,"taxa_verified","TRUE"
63,"verification_level","species"
64,"node_name","Elaterinae_larvae_(undet.)"
64,"type","taxon"
64,"taxonomy_name","Elaterinae"
64,"taxonomy_rank",NA
64,"taxa_verified","TRUE"
64,"verification_level","subfamily"
65,"node_name","Rhysodes_americanus"
65,"type","taxon"
65,"taxonomy_name","Omoglymmius americanus"
65,"taxonomy_rank","species"
65,"taxa_verified","TRUE"
65,"verification_level","species"
66,"node_name","Triplax_thoracica"
66,"type","taxon"
66,"taxonomy_name","Triplax thoracica"
66,"taxonomy_rank","species"
66,"taxa_verified","TRUE"
66,"verification_level","species"
67,"node_name","mycetyphagid_(undet.)"
67,"type","taxon"
67,"taxonomy_name","Mycetophagidae"
67,"taxonomy_rank","family"
67,"taxa_verified","TRUE"
67,"verification_level","family"
68,"node_name","Hymenorus_sp."
68,"type","taxon"
68,"taxonomy_name","Hymenorus"
68,"taxonomy_rank","genus"
68,"taxa_verified","TRUE"
68,"verification_level","genus"
69,"node_name","Platydema_subcostatum"
69,"type","taxon"
69,"taxonomy_name","Platydema subcostatum"
69,"taxonomy_rank",NA
69,"taxa_verified","FALSE"
70,"node_name","P._ruficorne"
70,"type","taxon"
70,"taxonomy_name","Platydema ruficorne"
70,"taxonomy_rank",NA
70,"taxa_verified","TRUE"
70,"verification_level","species"
71,"node_name","Uloma_imberbis"
71,"type","taxon"
71,"taxonomy_name","Uloma imberbis"
71,"taxonomy_rank",NA
71,"taxa_verified","FALSE"
72,"node_name","Dioedus_punctatus"
72,"type","taxon"
72,"taxonomy_name","Dioedus punctatus"
72,"taxonomy_rank",NA
72,"taxa_verified","FALSE"
73,"node_name","Xylopinus_saperdoides"
73,"type","taxon"
